Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,367.8,171.1,743.2,94890,14970,46890,127.5,20.12,63.02,0.23,0.77,0.23,0,0.0043,0,0.35,46.8
2,5,801.4,238.4,1754,123400,23190,84790,183.7,34.51,125.2,0.15,0.82,0.18,0,0,0,0.7,45.5
3,6,1476,451.1,2759,140500,55510,117900,188.8,74.61,158.5,0.12,0.69,0.31,0,0,0,0.88,34.4
4,7,2250,475.5,4287,137500,54500,110000,191,75.69,152.7,0.099,0.54,0.46,0,0,0,0.85,24.5
5,8,1772,327.8,3202,135100,29600,112300,181.6,39.79,151,0.16,0.6,0.4,0,0,0,0.84,28.9
6,9,936,222,1704,127400,12960,94550,176.9,18.01,131.3,0.22,0.75,0.25,0,0.0089,0,0.73,40.2
7,10,555,170.3,841.1,90740,0,58600,122,0,78.77,0.33,0.67,0.33,0.0054,0.028,0,0.44,38.5
8,11,372.5,134.2,539.5,53330,0,34860,71.69,0,46.85,0.42,0.58,0.42,0.026,0.051,0,0.26,33.6
9,12,259.7,99.09,366.1,35210,0,23150,48.91,0,32.16,0.44,0.55,0.45,0.043,0.021,0,0.18,33.3
10,1,196.1,77.48,265.7,25980,0,16650,34.91,0,22.38,0.43,0.55,0.45,0.047,0.12,0,0.12,30.5
11,2,192.8,95.44,244.2,24540,696.6,19540,34.08,0.9674,27.14,0.36,0.64,0.36,0.021,0.038,0,0.15,38.4
12,3,232.8,131.5,332.7,41990,11630,28590,56.44,15.63,38.43,0.28,0.73,0.27,0,0.0011,0,0.21,45.3
