waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance
1944,365,826.8,192.8,25.08,94.38,1005,195.3,3909,31.7,4.82,17.1,0.253,0.0597,0.547,0,0,0,0,0,0,0.524,0.32,0.12,0.22,0.35,0,0,0,14.6,0.15,0.54,0.46,26.1,0.7120300751879701
1945,365,896.4,192.8,0,102.3,687.4,197.9,1571,21.7,4.04,16.9,0.262,0.0957,0.482,0,4,0,0,0.011,0,0.569,0.38,0.077,0.18,0.37,0,4,0.010958904109589041,4.8,0.19,0.78,0.22,41.3,0.3003144654088051
1946,365,865,192.8,27.68,98.75,1252,196.6,4776,39.5,5.45,18.8,0.236,0.0463,0.478,0,0,0,0,0,0,0.549,0.37,0.13,0.23,0.27,0,0,0,20.7,0.14,0.48,0.52,21.9,0.5286885245901638
1947,366,774.7,192.8,0,88.19,1722,259.4,6157,54.5,6.27,20.3,0.232,0.0388,0.487,0,0,37,0,0,0.1,0.491,0.42,0.12,0.22,0.24,0,37,0.10136986301369863,34.2,0.12,0.37,0.63,14.2,0.8945054945054945
1948,365,660.1,155.4,0,75.35,468.3,196.6,919.2,14.8,3.37,11.4,0.264,0.131,0.463,0,5,0,0,0.014,0,0.419,0.014,0.24,0.41,0.33,0,5,0.0136986301369863,3.4,0.23,0.77,0.23,44.6,0.9642436149312377
1949,365,782.5,192.8,21.38,89.32,1388,170.2,5234,43.8,5.33,18.1,0.24,0.031,0.544,0,0,0,0,0,0,0.496,0.37,0.11,0.18,0.35,0,0,0,25.7,0.12,0.41,0.59,17.9,0.8730769230769231
1950,365,874.6,192.8,0,99.84,1237,196.6,4481,39,5.5,19,0.245,0.0529,0.505,0,3,0,0,0.0082,0,0.555,0.38,0.15,0.2,0.27,0,3,0.00821917808219178,20,0.14,0.49,0.51,22.4,0.4206896551724128
1951,366,832.6,192.8,0,94.79,1606,254.6,6157,50.8,5.65,20.5,0.229,0.0392,0.478,0,0,20,0,0,0.055,0.528,0.46,0.044,0.22,0.27,0,20,0.0547945205479452,30.3,0.11,0.4,0.6,16.4,0.6821917808219176
1952,365,841.8,192.8,0,96.1,1504,216.8,5874,47.4,5.96,19.7,0.235,0.0444,0.481,0,0,11,0,0,0.03,0.534,0.39,0.12,0.28,0.21,0,11,0.030136986301369864,27.7,0.13,0.42,0.58,17.8,0.6211538461538464
1953,365,931.5,192.8,26.22,106.3,1111,256.9,3835,35,5.45,19.3,0.25,0.0577,0.537,0,0,0,0,0,0,0.591,0.39,0.14,0.2,0.27,0,0,0,15.7,0.16,0.55,0.45,26.6,0.17329545454545464
1954,365,948.3,192.8,25.51,108.3,1293,211.9,3818,40.8,5.83,20.7,0.24,0.0609,0.476,0,0,0,0,0,0,0.601,0.47,0.088,0.19,0.26,0,0,0,20.1,0.14,0.51,0.49,23.2,0.1197183098591551
1955,366,876.3,192.8,0,99.76,1785,250.3,5744,56.5,6.2,21.8,0.208,0.05,0.44,0,0,16,0,0,0.044,0.556,0.46,0.14,0.25,0.16,0,16,0.043835616438356165,34.7,0.11,0.39,0.61,15.5,0.39479166666666676
1956,365,812.5,192.8,0,92.75,1535,290,9124,48.4,5.83,19.1,0.238,0.0262,0.5,0,0,27,0,0,0.074,0.515,0.33,0.18,0.28,0.21,0,27,0.07397260273972603,29.3,0.12,0.39,0.61,16.8,0.7855932203389829
1957,365,760.2,192.8,0,86.78,2342,283.2,9912,73.9,6.22,21.7,0.211,0.0199,0.426,0,0,61,0,0,0.17,0.482,0.46,0.1,0.3,0.13,0,61,0.16712328767123288,52.2,0.084,0.29,0.71,10.3,0.9114468864468864
