month,waterMonth,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
10,1,49654,46771,41616,38213,36609,35686,34602,33901,33045,31546,31388,31196,31043,30502,29969,29842,29455,28924,28300,27832,27558,27370,27296,27139,26835,26779,26720,26677,26251,25887,25756,25679,25496,25324,25020,24172,23574,23007,22863,22807,22773,22674,22494,22211,22033,21936,21772,21634,21525,21447,21331,21178,21054,21031,20900,20780,20710,20680,20608,20361,20036,19946,19894,19860,19774,19751,19728,19694,19659,19592,19444,19291,19205,19034,18979,18956,18933,18848,18792,18763,18683,18618,18594,18576,18543,18488,18471,18352,18341,18240,18194,18100,17655,17403,17041,16583,16458,14979,10178,9462.4,9328
11,2,62079,61372,54833,50657,46662,44935,42943,40984,40604,40515,40187,39554,38563,37588,36835,36405,36220,36130,35853,35560,35285,34670,33830,33435,32446,32175,31498,30979,30806,30505,30188,29972,29801,29630,29480,29351,29261,29010,28959,28920,28913,28826,28622,28484,28397,28236,27984,27682,27344,27103,26837,26791,26729,26718,26715,26351,25932,25684,25569,25536,25438,25246,25106,25076,24736,24498,24185,24021,23843,23698,23582,23455,23367,23097,22983,22951,22945,22925,22910,22875,22801,22755,22609,22340,22098,21893,21856,21844,21758,21703,21638,21565,21037,20699,20441,19682,18888,18293,16368,15974,15920
12,3,99728,96075,91379,88022,86282,83983,77207,70588,68433,68006,67778,66828,66245,66128,66012,65698,65536,64238,63350,63019,62652,62294,61962,61503,60477,60171,59230,58999,58422,57201,55941,55358,55042,54664,54512,54314,53925,53462,52659,52612,51620,51094,50703,50193,49798,49503,48920,48200,47991,47006,46923,46884,46709,46646,46483,46024,45680,45387,45057,44915,44788,44684,44595,44519,44355,44110,43927,43797,43354,43019,42931,42814,42761,42687,42452,42367,42367,41952,41603,41217,41052,40942,40695,40355,40036,39713,39123,38686,38423,38369,37938,37544,37310,37103,36775,36265,35599,33563,28814,28653,27920
1,4,129550,129400,128570,128190,123800,121000,119990,119520,119260,118680,117320,112970,110770,109930,109620,108370,108060,106170,104220,103390,103030,102240,101110,100300,98586,97284,96052,95700,95102,94647,91529,89436,88550,87455,87118,86617,86455,86014,85863,84504,84260,83774,83060,82602,81493,80256,79573,78294,77056,76785,76468,75963,75653,75356,75094,74844,74396,74003,73881,73798,73479,72642,72077,71938,71878,71581,71401,71342,71290,71190,70715,70065,69941,69732,69041,68720,68684,67998,67681,67430,67155,66800,66344,66003,65905,65716,65127,63432,63140,62143,61737,60550,59738,59169,57997,56304,54623,53346,52294,46548,40706
2,5,128200,124300,122720,122230,122140,122100,122090,121650,120920,120430,119970,119770,118860,118660,117640,116450,115870,114320,113450,113250,113010,112760,112490,112290,112160,111930,111660,111470,111060,110920,110880,110720,109970,109170,109050,108700,107980,106480,105860,105050,104260,103990,102580,101460,101040,100580,100070,99817,99656,99465,97871,97765,97709,97552,97312,96967,96756,96672,96572,96464,96149,95255,95122,94207,93947,93851,93766,93409,92993,92793,92005,90686,90178,89630,89326,89094,88348,86363,84849,84118,83491,83041,82356,81516,81233,81152,80946,79583,79158,79111,78402,76721,74591,73651,73192,71602,67125,59592,54067,49380,4941.5
3,6,137970,135030,134280,134060,133490,133140,133070,132580,131730,131020,130260,130060,129830,129790,129210,129130,128420,127730,127090,126600,126390,125270,122920,122730,122640,122510,121890,121320,121090,120410,119590,119200,118790,118200,117960,117840,117720,117470,116850,116410,116200,115480,114190,113430,113000,112670,112630,112480,112190,112120,111640,111470,111250,111010,110700,110450,110120,109880,109380,108420,108080,107630,107470,106890,105570,105030,104310,103770,103480,103310,103070,102130,100610,99691,95470,93339,93130,92317,92066,90366,88137,87174,86542,85546,84322,81950,81421,80568,79636,79383,76218,74141,68171,53494,35274,18951,8543.1,5882,2272.6,2019.2,0
4,7,138470,137210,136430,135970,135480,134800,133930,133410,133180,132240,130470,129550,129180,128810,128060,127690,127170,125880,124250,123080,122350,121150,118760,115970,115790,115680,114570,114030,113510,112840,111710,109830,108500,108170,107780,107360,106820,105090,104640,104530,103270,102840,102480,102130,101980,101580,100960,100780,100670,100640,100330,100240,99283,98967,98887,98799,97765,96657,96373,96228,95964,95626,94288,94164,93845,93739,93661,92567,91934,91640,91320,91206,90982,90349,88121,86882,83585,82653,81820,81490,81232,79724,78034,77289,76638,75516,73936,73319,73043,72384,68533,67175,61268,57209,56396,47558,33603,27286,11567,0,0
5,8,140160,139550,138750,138400,136470,134910,134340,133350,132200,132150,132110,132080,131900,131830,131760,131620,131510,131350,130620,130010,129780,129490,129270,129110,128840,127500,127310,126020,125650,125600,125390,125160,124720,124190,123970,123610,122630,121450,120330,120110,119870,119370,118730,118310,118120,118020,117940,117820,117640,117570,117220,116640,116460,116270,116120,116070,115320,114470,114220,113990,113490,113290,113000,112280,112200,112010,111450,110890,110220,109850,109830,109480,108730,108410,107180,106400,103370,102970,102230,101240,100850,100420,99943,99679,99201,98292,96962,96144,94460,92846,91087,90574,89441,88474,88027,87408,85926,83378,78220,62167,35940
6,9,127640,126260,125950,125690,125530,125470,125220,124900,124710,124530,124370,124160,123770,123600,123550,123490,123080,122910,122840,122740,122620,122500,122410,122370,122360,122280,121850,121780,121650,121450,120850,120470,120350,120230,120100,119780,119680,119200,118970,118910,118730,118650,118060,117660,117580,117510,117130,116190,115120,114330,114290,113710,113560,112740,112480,112380,112270,112060,111330,109950,108630,107900,106460,106390,106040,105960,105000,104430,103900,103450,103290,103240,102600,100130,96293,94840,94540,94142,93259,92388,91735,91396,88686,84667,82917,81459,80431,75161,72816,72385,71348,68020,65683,57913,51422,50142,47908,42463,36720,34717,32245
