month,waterMonth,flowMean,flowMin,flowMax,energyMax,energyMin,energyMean,plantPowerMax,plantPowerMin,plantPowerMean,eFlowProportionMean,generationProportionMean,bypassProportionMean,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactorMean,specificEnergyMean
10,1,238.7,116.4,437.1,49650,9328,23370,66.74,12.54,31.41,0.4,0.6,0.4,0,0,0,0.17,36.3
11,2,275.9,153.7,525.8,62080,15920,29040,86.22,22.11,40.33,0.33,0.67,0.33,0,0,0,0.22,40.5
12,3,432.3,229.5,803.1,99730,27920,51740,134,37.53,69.54,0.24,0.76,0.24,0,0,0,0.39,44.7
1,4,719.2,329.9,1700,129500,40710,83240,174.1,54.71,111.9,0.18,0.8,0.2,0,0,0,0.62,44.9
2,5,1347,451.8,8630,128200,4941,98050,184.2,7.353,144.6,0.13,0.75,0.25,0,0,0.01,0.8,38.6
3,6,2531,588.1,7995,138000,0,103600,185.4,0,139.3,0.096,0.53,0.47,0,0,0.07,0.77,23.6
4,7,2965,758.8,7423,138500,0,97630,192.3,0,135.6,0.086,0.45,0.55,0,0,0.053,0.75,17.8
5,8,2219,686,5182,140200,35940,114500,188.4,48.31,153.9,0.13,0.54,0.46,0,0,0.0076,0.85,23.2
6,9,1203,326.6,2822,127600,32240,105100,177.3,44.78,146,0.2,0.72,0.28,0,0,0,0.81,36.3
7,10,589.3,243.9,1321,123700,21990,59820,166.3,29.55,80.41,0.34,0.67,0.33,0,0,0,0.45,38
8,11,384.9,199,676.5,71420,16930,36410,95.99,22.75,48.93,0.41,0.6,0.4,0,0,0,0.27,35.3
9,12,287.6,152.7,490.5,52010,11910,26610,72.24,16.54,36.96,0.41,0.59,0.41,0,0,0,0.21,35.6
