Exceedance,Power,Energy
0,194,4660
0.01,191,4580
0.02,189,4530
0.03,187,4480
0.04,185,4450
0.05,183,4390
0.06,181,4360
0.07,179,4310
0.08,178,4260
0.09,176,4220
0.1,174,4180
0.11,172,4130
0.12,170,4080
0.13,168,4030
0.14,166,3990
0.15,165,3950
0.16,162,3900
0.17,161,3860
0.18,159,3820
0.19,158,3780
0.2,156,3740
0.21,154,3700
0.22,152,3650
0.23,150,3590
0.24,147,3540
0.25,145,3490
0.26,144,3450
0.27,142,3410
0.28,140,3360
0.29,138,3320
0.3,137,3280
0.31,135,3230
0.32,132,3180
0.33,130,3120
0.34,128,3060
0.35,126,3020
0.36,124,2970
0.37,121,2900
0.38,118,2830
0.39,115,2770
0.4,113,2700
0.41,110,2630
0.42,107,2560
0.43,104,2490
0.44,101,2430
0.45,98.3,2360
0.46,95.8,2300
0.47,94.3,2260
0.48,92.5,2220
0.49,90.1,2160
0.5,86.9,2080
0.51,83.7,2010
0.52,80.5,1930
0.53,77.9,1870
0.54,75.1,1800
0.55,72.8,1750
0.56,70.6,1690
0.57,68.3,1640
0.58,66.4,1590
0.59,64.6,1550
0.6,62.8,1510
0.61,60.9,1460
0.62,59.4,1430
0.63,57.5,1380
0.64,56.1,1350
0.65,54.2,1300
0.66,52.9,1270
0.67,51.1,1230
0.68,49.6,1190
0.69,48.6,1170
0.7,47.7,1150
0.71,47.3,1130
0.72,46.5,1120
0.73,46,1100
0.74,45,1080
0.75,43.7,1050
0.76,42.6,1020
0.77,41.4,994
0.78,40.3,968
0.79,39.2,940
0.8,38.2,916
0.81,37.1,890
0.82,36.3,871
0.83,35.4,851
0.84,34.4,826
0.85,33.7,809
0.86,33,792
0.87,32,767
0.88,31.2,748
0.89,30.3,728
0.9,29.6,710
0.91,28.7,690
0.92,28.1,674
0.93,27.4,658
0.94,26.6,638
0.95,25.8,619
0.96,24.4,586
0.97,23,551
0.98,20.9,501
0.99,0,0
1,0,0
