exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.00,8794.4,0.0025,66.1,12.5,14.9,17.3,169,280,0.032,8514,0.97,1100,7410,33.9,5.55,10.1,62.7,7300,100,18,25,80,7470,1240,990.5,981.7,8.78,0.802,0.48,0.0547,1.28,0.146,4,0.535,1.82,0.207,6.96,0,0,0,0,0,0,0
0.01,5816.3,0.01,72.4,13.6,17.5,22.6,193,319,0.055,5497,0.94,1100,4400,27.6,4.41,7.5,57.4,4300,100,18,25,80,4490,1240,990.1,978.7,11.4,0.899,0.48,0.0424,1.38,0.122,4,0.535,1.91,0.169,9.45,0.235,0.264,0.228,6.44,6.25,25,267000
0.02,4839.9,0.019,70.2,13.1,16.5,21,181,302,0.063,4538,0.94,1100,3440,29.8,4.94,8.47,59,3340,100,18,25,80,3520,1240,990,977.2,12.8,0.925,0.48,0.0375,1.41,0.11,4,0.535,1.94,0.152,10.9,0.864,0.97,0.838,25.3,24.5,98.1,593000
0.03,4357.5,0.029,67.1,12.8,15.7,19.8,169,285,0.065,4073,0.93,1100,2970,32.9,5.21,9.25,60.1,2870,100,18,25,80,3030,1240,990,976.3,13.7,0.926,0.48,0.0351,1.41,0.103,4,0.535,1.94,0.142,11.7,0.864,0.97,0.838,27.3,26.5,106,952000
0.04,3922.4,0.04,66.3,12.9,15.8,20.3,169,285,0.073,3638,0.93,1100,2540,33.7,5.1,9.18,55.7,2430,100,18,25,76,2600,1240,990,975.5,14.5,0.926,0.48,0.0331,1.41,0.0971,4,0.535,1.94,0.134,12.5,0.876,0.97,0.85,29.6,28.7,115,1150000
0.05,3652.9,0.05,65.3,13,15.8,20.5,166,281,0.077,3372,0.92,1100,2270,34.7,5,9.19,47.5,2180,100,18,25,68.1,2340,1240,990,974.9,15.1,0.926,0.48,0.0319,1.41,0.0934,4,0.535,1.94,0.129,13.1,0.888,0.97,0.861,31.4,30.4,122,722000
0.06,3460.6,0.06,63.9,13,15.7,20.5,163,276,0.08,3184,0.92,1100,2080,36.1,4.95,9.33,42,1990,100,18,25,62.5,2160,1240,990,974.5,15.5,0.926,0.48,0.031,1.41,0.0909,4,0.535,1.94,0.126,13.5,0.894,0.97,0.867,32.6,31.6,127,1290000
0.07,3268.3,0.07,61.5,12.5,14.6,18.5,153,260,0.08,3008,0.92,1100,1910,38.5,5.48,10.4,38.8,1810,100,18,25,57.3,1970,1240,990,974.1,15.9,0.926,0.48,0.0302,1.41,0.0886,4,0.535,1.94,0.122,13.9,0.901,0.97,0.874,33.8,32.8,131,885000
0.08,3089.2,0.08,60,12.7,14.5,18.7,149,255,0.082,2835,0.92,1100,1730,40,5.33,10.5,33.3,1650,100,18,25,52.1,1790,1240,990,973.7,16.3,0.926,0.48,0.0295,1.41,0.0864,4,0.535,1.94,0.119,14.3,0.906,0.97,0.879,35,34,136,1280000
0.09,2949.8,0.091,59.4,12.6,14.4,18.6,149,254,0.086,2696,0.91,1100,1600,40.6,5.36,10.6,29.3,1510,100,18,25,47.9,1660,1240,990,973.4,16.6,0.926,0.48,0.0289,1.41,0.0847,4,0.535,1.94,0.117,14.7,0.909,0.97,0.882,36,34.9,140,1110000
