year,energy
1924,830391.6108593113
1925,764309.1896537081
1926,859620.1419790913
1927,826039.3941776869
1928,746331.6655108524
1929,867559.9658196083
1930,808310.3339238463
1931,892198.9036106485
1932,761847.2915306762
1933,776320.450558844
1934,858067.9758094983
1935,811779.4303312011
1936,830077.6411064223
1937,838407.3781078634
1938,822869.1293318182
1939,886776.6904357285
1940,864922.0653236593
1941,758118.6814772415
1942,808360.2007580107
1943,844274.3328669016
1944,793343.0917390125
1945,869958.9274720233
1946,828067.8864254329
1947,749834.6253693539
1948,633824.7919525853
1949,753145.3447749469
1950,841066.1153089765
1951,802503.1987888837
1952,807484.1452137993
1953,894851.1434667174
1954,911872.5451965148
1955,841393.0517178514
1956,774167.6640173937
1957,727809.7902434015
1958,930695.5346027171
1959,815167.1524436456
1960,793912.0821051248
1961,862941.7030941721
1962,808523.2163453555
1963,1015041.092613098
1964,885664.0759172312
1965,848970.9179352242
1966,885699.3058048029
1967,857822.7177721926
1968,779541.9670665618
1969,975989.6002016246
1970,952776.7623843476
1971,933152.8662835136
1972,797139.2068544539
1973,917084.8779481339
1974,844645.5853893578
1975,833492.4553213821
1976,957286.4878673687
1977,876228.5145782134
1978,1007426.5155999851
1979,997500.0363347789
1980,919389.3272089424
1981,788654.9178187408
1982,834983.5737957951
1983,799702.9201037053
1984,842280.5761309649
1985,766392.5397920492
1986,901422.2935725371
1987,831484.8426259878
1988,840551.6361300333
1989,742756.343070651
1990,790176.1660443486
1991,673720.6059862507
1992,769190.5541844155
1993,693816.6090895345
1994,557471.7020856667
1995,490801.4370060434
1996,736478.1319100121
1997,783799.5715885812
1998,797787.5839825588
1999,766196.7135235678
2000,819051.678857368
2001,851215.68181752
2002,836027.2089114583
2003,809729.540887538
2004,849879.9688638176
2005,849708.5707832857
2006,833996.8417446822
2007,891993.9201138036
2008,806330.8300538394
2009,863163.8425171667
2010,866744.6043759787
2011,903752.8978845503
2012,840559.6687235045
2013,925604.3414377145
2014,884717.0620527667
2015,786154.8208531832
2016,850090.9873851533
