waterYear,year,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy
1924,1924,365,846.9,192.8,0,96.68,992.1,111.4,3452,31.3,4.47,17.9,0.247,0.053,0.531,0,20,0,0,0.055,0,0.537,0.41,0.06,0.1,0.42,0,20,0.0547945205479452,13.4,0.14,0.57,0.43,27.1
1925,1925,365,786,192.8,0,89.73,1112,158.5,4501,35.1,4.69,16.9,0.234,0.0407,0.571,0,2,0,0,0.0055,0,0.498,0.33,0.09,0.23,0.35,0,2,0.005479452054794521,18.2,0.13,0.48,0.52,22.4
1926,1926,365,870.4,192.8,0,99.37,990.4,192.9,3313,31.2,4.9,18.2,0.253,0.0655,0.498,0,18,0,0,0.049,0,0.552,0.39,0.068,0.18,0.36,0,18,0.049315068493150684,13,0.16,0.58,0.42,27.9
1927,1927,366,847.2,192.8,23.61,96.44,848.1,179.8,2261,26.8,4.37,16.9,0.247,0.0655,0.472,0,0,0,0,0,0,0.537,0.32,0.12,0.18,0.39,0,0,0,9.9,0.16,0.63,0.37,31.6
1928,1928,365,760.1,192.8,24.42,86.77,564.5,195.2,1589,17.8,3.48,13.8,0.257,0.0931,0.499,0,0,0,0,0,0,0.482,0.18,0.18,0.23,0.41,0,0,0,4,0.2,0.78,0.22,42.7
1929,1929,365,884.7,192.8,25.76,101,720.2,188.7,2188,22.7,4.37,16.6,0.252,0.0878,0.456,0,0,0,0,0,0,0.561,0.25,0.21,0.24,0.3,0,0,0,6.1,0.19,0.73,0.27,39
1930,1930,365,822.3,192.8,0,93.87,942.6,201.2,3356,29.7,4.92,16.8,0.26,0.054,0.565,0,7,0,0,0.019,0,0.522,0.29,0.13,0.28,0.3,0,7,0.019178082191780823,12.9,0.17,0.57,0.43,27.7
1931,1931,366,915,192.8,30.86,104.2,1065,236.2,3803,33.7,5.29,18.9,0.253,0.0628,0.479,0,0,0,0,0,0,0.58,0.39,0.11,0.2,0.3,0,0,0,14.8,0.16,0.56,0.44,27.2
1932,1932,365,766.2,192.8,0,87.47,583.1,188.7,1617,18.4,3.48,14.2,0.262,0.0892,0.497,0,20,0,0,0.055,0,0.486,0.24,0.14,0.21,0.41,0,20,0.0547945205479452,4.2,0.19,0.77,0.23,41.6
1933,1933,365,801.3,192.8,0,91.47,1218,158.5,5589,38.4,5.18,17.7,0.241,0.0428,0.507,0,0,4,0,0,0.011,0.508,0.33,0.15,0.21,0.32,0,4,0.010958904109589041,20.7,0.13,0.46,0.54,20.9
1934,1934,365,874.8,192.8,0,99.86,952.3,178.3,3279,30,4.82,17.8,0.258,0.0716,0.522,0,10,0,0,0.027,0,0.555,0.35,0.12,0.21,0.33,0,10,0.0273972602739726,12.2,0.16,0.59,0.41,29.2
1935,1935,366,824.4,192.8,0,93.86,809.1,189.2,2497,25.6,4.25,16.4,0.25,0.0624,0.491,0,14,0,0,0.038,0,0.523,0.3,0.12,0.24,0.35,0,14,0.038356164383561646,9.2,0.17,0.64,0.36,32.2
1936,1936,365,847,192.8,0,96.69,1197,201.2,3600,37.7,5.58,18.7,0.258,0.0502,0.544,0,14,0,0,0.038,0,0.537,0.39,0.074,0.22,0.31,0,14,0.038356164383561646,19,0.15,0.5,0.5,22.5
1937,1937,365,856.3,192.8,26.97,97.75,828.5,224.7,3228,26.1,4.41,16.7,0.262,0.0459,0.551,0,0,0,0,0,0,0.543,0.31,0.13,0.25,0.31,0,0,0,9.4,0.17,0.64,0.36,32.8
1938,1938,365,844,192.8,26.17,96.35,879.3,220.5,2873,27.7,4.55,16.8,0.258,0.0701,0.5,0,0,0,0,0,0,0.535,0.32,0.11,0.24,0.33,0,0,0,10.9,0.16,0.61,0.39,30.5
1939,1939,366,910.7,192.8,26.18,103.7,1342,214.8,5260,42.4,5.92,19.9,0.25,0.0467,0.538,0,0,0,0,0,0,0.578,0.43,0.11,0.21,0.25,0,0,0,22.5,0.14,0.47,0.53,21.5
1940,1940,365,887.3,192.8,23.49,101.3,956.8,224.7,3356,30.2,4.7,18,0.244,0.0545,0.525,0,0,0,0,0,0,0.563,0.37,0.066,0.26,0.3,0,0,0,12.2,0.16,0.6,0.4,29.4
1941,1941,365,769.6,192.8,0,87.85,649.5,189.2,2188,20.5,3.58,14.6,0.254,0.0676,0.482,0,10,0,0,0.027,0,0.488,0.23,0.12,0.26,0.39,0,10,0.0273972602739726,5.9,0.17,0.71,0.29,37.5
1942,1942,365,825.9,192.8,25.71,94.28,669.4,171.1,1708,21.1,3.71,15.6,0.244,0.0867,0.456,0,0,0,0,0,0,0.524,0.26,0.12,0.28,0.34,0,0,0,5.5,0.18,0.74,0.26,39.1
1943,1943,366,861.2,192.8,0,98.04,927.9,178.3,2543,29.3,4.61,17.7,0.248,0.0809,0.457,0,8,0,0,0.022,0,0.546,0.36,0.099,0.18,0.37,0,8,0.021917808219178082,11.6,0.16,0.6,0.4,29.4
1944,1944,365,814,192.8,25.06,92.92,996.7,192.9,3886,31.4,4.82,16.9,0.256,0.0597,0.547,0,0,0,0,0,0,0.516,0.31,0.12,0.21,0.36,0,0,0,14.5,0.15,0.54,0.46,25.9
1945,1945,365,876.9,192.8,0,100.1,680.8,194.8,1589,21.5,4.04,16.7,0.264,0.0954,0.487,0,20,0,0,0.055,0,0.556,0.37,0.074,0.18,0.38,0,20,0.0547945205479452,4.8,0.19,0.78,0.22,40.8
1946,1946,365,851.9,192.8,26.77,97.25,1234,192.9,4629,38.9,5.47,18.5,0.241,0.0469,0.483,0,0,0,0,0,0,0.54,0.37,0.12,0.24,0.28,0,0,0,20.4,0.14,0.48,0.52,21.9
1947,1947,366,772.8,192.8,0,87.98,1706,261.4,6170,53.9,6.36,20,0.237,0.0387,0.487,0,0,31,0,0,0.085,0.49,0.42,0.11,0.22,0.25,0,31,0.08493150684931507,33.9,0.12,0.37,0.63,14.3
1948,1948,365,639.6,144.6,0,73.01,457.3,192.9,905.4,14.4,3.37,11,0.268,0.137,0.472,0,10,0,0,0.027,0,0.406,0,0.23,0.42,0.35,0,10,0.0273972602739726,3.4,0.23,0.76,0.24,44.4
1949,1949,365,777.5,192.8,21.58,88.75,1374,171.1,5187,43.3,5.29,18,0.237,0.0312,0.535,0,0,0,0,0,0,0.493,0.37,0.093,0.19,0.35,0,0,0,25.3,0.12,0.42,0.58,18
1950,1950,365,860.1,192.8,0,98.19,1224,192.9,4402,38.6,5.5,18.8,0.248,0.053,0.504,0,6,0,0,0.016,0,0.545,0.38,0.13,0.22,0.28,0,6,0.01643835616438356,19.8,0.14,0.49,0.51,22.3
1951,1951,366,825.2,192.8,0,93.95,1592,256.7,6170,50.3,5.65,20.3,0.232,0.0397,0.479,0,0,20,0,0,0.055,0.523,0.46,0.041,0.22,0.28,0,20,0.0547945205479452,30,0.11,0.4,0.6,16.4
1952,1952,365,832.3,192.8,0,95.01,1486,220.5,5886,46.9,5.96,19.5,0.238,0.045,0.481,0,0,10,0,0,0.027,0.528,0.39,0.1,0.29,0.21,0,10,0.0273972602739726,27.4,0.13,0.42,0.58,17.7
1953,1953,365,918.8,192.8,26.67,104.9,1103,258.8,3812,34.8,5.51,19.1,0.255,0.0575,0.533,0,0,0,0,0,0,0.583,0.38,0.12,0.2,0.29,0,0,0,15.7,0.16,0.55,0.45,26.4
1954,1954,365,938.5,192.8,25.55,107.1,1286,212.1,3803,40.6,5.83,20.5,0.243,0.0606,0.476,0,0,0,0,0,0,0.595,0.46,0.085,0.19,0.27,0,0,0,20.1,0.14,0.5,0.5,23.1
1955,1955,366,875,192.8,0,99.61,1761,249.8,5673,55.7,6.2,21.5,0.211,0.0516,0.44,0,0,12,0,0,0.033,0.555,0.45,0.13,0.25,0.16,0,12,0.03287671232876712,34.2,0.11,0.39,0.61,15.7
1956,1956,365,791.7,192.8,0,90.38,1522,290.5,9154,48,5.87,18.7,0.246,0.0261,0.505,0,0,27,0,0,0.074,0.502,0.33,0.15,0.3,0.21,0,27,0.07397260273972603,29.3,0.12,0.39,0.61,16.5
1957,1957,365,749.6,192.8,0,85.57,2334,283.6,9912,73.6,6.22,21.5,0.215,0.0199,0.44,0,0,60,0,0,0.16,0.475,0.46,0.1,0.3,0.14,0,60,0.1643835616438356,52.1,0.085,0.29,0.71,10.2
1958,1958,365,953.9,192.8,27.81,108.9,1104,243.3,4432,34.8,5.44,19.6,0.24,0.0528,0.485,0,0,0,0,0,0,0.605,0.36,0.19,0.29,0.16,0,0,0,15.2,0.16,0.56,0.44,27.4
1959,1959,366,826.2,192.8,0,94.06,1134,194.8,4629,35.9,5.48,17.8,0.27,0.0586,0.534,0,18,0,0,0.049,0,0.524,0.34,0.13,0.22,0.32,0,18,0.049315068493150684,18.1,0.15,0.5,0.5,23
1960,1960,365,812.1,192.8,0,92.7,1474,201.2,6081,46.5,6.04,19.5,0.24,0.0347,0.482,0,11,22,0,0.03,0.06,0.515,0.38,0.14,0.3,0.19,0,33,0.09041095890410959,27,0.13,0.42,0.58,17.5
1961,1961,365,898.1,192.8,0,102.5,1729,266.8,5570,54.5,6.51,21.7,0.218,0.0461,0.428,0,0,10,0,0,0.027,0.57,0.47,0.085,0.3,0.14,0,10,0.0273972602739726,32.8,0.12,0.4,0.6,16.5
1962,1962,365,836.6,192.8,0,95.5,2103,283.6,7115,66.3,6.69,23,0.205,0.0384,0.428,0,0,44,0,0,0.12,0.531,0.53,0.071,0.27,0.12,0,44,0.12054794520547946,43.3,0.1,0.35,0.65,12.6
1963,1963,366,1039,192.8,33.93,118.3,1018,290.5,2450,32.2,5.12,20.8,0.227,0.0747,0.52,0,0,0,0,0,0,0.659,0.43,0.14,0.31,0.12,0,0,0,11.4,0.16,0.65,0.35,32.3
1964,1964,365,908.3,192.8,33.17,103.7,968.1,264.1,2743,30.5,5.07,18.3,0.253,0.0685,0.481,0,0,0,0,0,0,0.576,0.35,0.11,0.27,0.27,0,0,0,12.2,0.17,0.6,0.4,29.8
1965,1965,365,875,192.8,31.16,99.89,1210,246.2,5396,38.1,5.55,18.7,0.252,0.0342,0.473,0,0,0,0,0,0,0.555,0.37,0.099,0.31,0.22,0,0,0,19.4,0.15,0.49,0.51,23
1966,1966,365,907.2,192.8,31.82,103.6,975.5,266.8,3452,30.8,5.06,18.3,0.247,0.0447,0.493,0,0,0,0,0,0,0.575,0.35,0.13,0.26,0.26,0,0,0,12.5,0.16,0.59,0.41,29.5
1967,1967,366,893,192.8,0,101.7,1845,256.7,5513,58.3,6.41,21.9,0.215,0.0373,0.453,0,0,2,0,0,0.0055,0.566,0.47,0.1,0.31,0.12,0,2,0.005479452054794521,36.4,0.11,0.38,0.62,15.3
1968,1968,365,801.5,192.8,0,91.5,2149,281.3,8540,67.8,6.73,22.1,0.204,0.0359,0.391,0,0,59,0,0,0.16,0.508,0.45,0.17,0.25,0.12,0,59,0.16164383561643836,45.7,0.099,0.33,0.67,11.8
