Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,421.7,185,888.4,107800,17390,53820,144.8,23.37,72.33,0.22,0.79,0.21,0,0.0043,0,0.4,47.1
2,5,969.7,261,2095,128600,26570,94270,191.3,39.54,139.2,0.14,0.8,0.2,0,0,0,0.77,43.2
3,6,1529,443.3,2910,141900,54280,119000,190.7,72.95,159.9,0.12,0.68,0.32,0,0,0,0.89,34
4,7,2020,425,3789,137500,46650,111700,190.9,64.79,155.1,0.11,0.58,0.42,0,0,0,0.86,26.9
5,8,1456,290.2,2532,134600,23670,112700,180.9,31.82,151.5,0.18,0.66,0.34,0,0,0,0.84,32.9
6,9,783.9,201.4,1279,123600,5827,85640,171.7,8.093,119,0.23,0.76,0.24,0,0.021,0,0.66,41.8
7,10,497.2,156.7,718.3,76670,0,51360,103,0,69.03,0.36,0.64,0.36,0.019,0.017,0,0.38,37.6
8,11,338.9,123,470.2,45650,0,30340,61.35,0,40.78,0.44,0.56,0.44,0.033,0.085,0,0.23,31.6
9,12,237.9,89.28,322.4,29430,0,20490,40.88,0,28.46,0.46,0.53,0.47,0.057,0.046,0,0.16,31.8
10,1,184.1,70.87,239.3,22940,0,15260,30.84,0,20.5,0.43,0.54,0.46,0.068,0.14,0,0.11,29.5
11,2,186.2,92.48,240.2,24150,664,18810,33.54,0.9223,26.13,0.35,0.64,0.36,0.023,0.057,0,0.15,38.1
12,3,232.1,129.5,337.3,42720,10900,28520,57.41,14.65,38.34,0.28,0.73,0.27,0,0.0022,0,0.21,45.2
