date,waterYear,waterMonth,energy
1993-01-01,1992,4,488.15034542117235
1993-01-02,1992,4,500.18813901349404
1993-01-03,1992,4,514.7752465397331
1993-01-04,1992,4,542.9206879460672
1993-01-05,1992,4,569.5904022680816
1993-01-06,1992,4,596.4426030285911
1993-01-07,1992,4,604.3306773311305
1993-01-08,1992,4,615.4934056987429
1993-01-09,1992,4,642.6573932391049
1993-01-10,1992,4,663.5187740161336
1993-01-11,1992,4,687.0245595524111
1993-01-12,1992,4,700.5009979190218
1993-01-13,1992,4,720.0217865718882
1993-01-14,1992,4,757.5346954182701
1993-01-15,1992,4,777.1201143828666
1993-01-16,1992,4,799.7044558533146
1993-01-17,1992,4,825.1239054348148
1993-01-18,1992,4,853.3198857573038
1993-01-19,1992,4,892.5498388462165
1993-01-20,1992,4,955.8075456027784
1993-01-21,1992,4,1008.3034165908889
1993-01-22,1992,4,1049.4152026698484
1993-01-23,1992,4,1102.5633456653168
1993-01-24,1992,4,1156.8000000000002
1993-01-25,1992,4,1156.8000000000002
1993-01-26,1992,4,1233.7667711850986
1993-01-27,1992,4,1287.9790272950888
1993-01-28,1992,4,1344.1668533622947
1993-01-29,1992,4,1391.1399708318208
1993-01-30,1992,4,1440.8926658493162
1993-01-31,1992,4,1496.2760598072446
1993-02-01,1992,5,1488.6062914585796
1993-02-02,1992,5,1555.1572684458138
1993-02-03,1992,5,1623.3253969169905
1993-02-04,1992,5,1691.3616574562661
1993-02-05,1992,5,1776.6447316070976
1993-02-06,1992,5,1874.3038476770591
1993-02-07,1992,5,1985.0522623831268
1993-02-08,1992,5,2098.1941475263325
1993-02-09,1992,5,2210.091808223301
1993-02-10,1992,5,2313.6000000000004
1993-02-11,1992,5,2313.6000000000004
1993-02-12,1992,5,2499.114031679368
1993-02-13,1992,5,2637.444552023725
1993-02-14,1992,5,2787.482601450516
1993-02-15,1992,5,2939.252418418215
1993-02-16,1992,5,3076.0011875739847
1993-02-17,1992,5,3210.5372054282466
1993-02-18,1992,5,3341.493139595348
1993-02-19,1992,5,3415.4803165147814
1993-02-20,1992,5,3470.4000000000005
1993-02-21,1992,5,3470.4000000000005
1993-02-22,1992,5,3470.4000000000005
1993-02-23,1992,5,3470.4000000000005
1993-02-24,1992,5,3772.1646474314566
1993-02-25,1992,5,3874.2451200320443
1993-02-26,1992,5,3975.006718280671
1993-02-27,1992,5,4071.744859940412
1993-02-28,1992,5,4170.4916634489355
1993-03-01,1992,6,3908.2934812007397
1993-03-02,1992,6,3978.3100981588464
1993-03-03,1992,6,4046.1874766039955
1993-03-04,1992,6,4113.9020518199995
1993-03-05,1992,6,4161.559053347847
