Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,385.1,172.6,806.4,101300,15610,49040,136.2,20.99,65.91,0.23,0.78,0.22,0.0032,0,0,0.37,46.7
2,5,897.5,243.5,1989,128000,23990,90200,190.5,35.71,133.2,0.14,0.81,0.19,0,0,0,0.74,44.3
3,6,1289,360.9,2515,142600,41240,115700,191.7,55.44,155.5,0.13,0.74,0.26,0,0,0,0.86,37.8
4,7,1475,321.7,2792,138400,31440,111800,192.2,43.67,155.2,0.13,0.68,0.32,0,0,0,0.86,34
5,8,979.5,222.1,1807,135600,10500,100500,182.3,14.11,135.1,0.21,0.74,0.26,0.0075,0,0,0.75,39.2
6,9,573.8,162.5,920.7,106700,2752,65430,148.1,3.822,90.88,0.27,0.73,0.27,0.022,0,0,0.5,42.3
7,10,389.8,129.6,590.7,63200,0,40640,84.95,0,54.62,0.38,0.62,0.38,0.033,0,0,0.3,37.4
8,11,275.1,101.8,394.6,38790,0,25630,52.14,0,34.44,0.45,0.54,0.46,0.071,0,0,0.19,33.1
9,12,197.1,73.31,273,24990,0,17020,34.72,0,23.65,0.47,0.5,0.5,0.14,0,0,0.13,30.9
10,1,156.2,58.74,210.8,20380,0,14520,27.39,0,19.51,0.43,0.52,0.48,0.15,0,0,0.11,32.2
11,2,166.9,83.03,223.7,23040,1017,17430,32,1.413,24.21,0.35,0.63,0.37,0.063,0,0,0.13,38.9
12,3,215.3,120.8,310,41390,9558,26030,55.63,12.85,34.98,0.29,0.71,0.29,0,0,0,0.19,44.3
