WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,580.6,192.8,0,88.61,597,133.6,1595,14.1,2.77,10.7,0.272,0.0886,0.546,0,2,0,0,0.0055,0,0.368,0.15,0.13,0.19,0.28,0,2,0.005479452054794521,3.4,0.2,0.76,0.24,41.2
1993,365,386.5,142.1,0,44.12,311.8,97.81,809.9,9.83,2.94,6.81,0.373,0.132,0.736,26,51,0,0.071,0.14,0,0.245,0,0.14,0.16,0.63,0.071,77,0.21095890410958903,3.02,0.3,0.69,0.31,39.3
1994,365,83.89,45.54,0,9.577,150.2,52.2,307.8,4.74,2.82,1.66,0.65,0.348,1,166,53,0,0.45,0.15,0,0.0532,0,0,0,0.55,0.45,219,0.6,3.08,0.59,0.35,0.65,17.7
1995,366,116.1,69.27,0,13.22,171.7,46.97,439.9,5.43,2.85,2.23,0.647,0.251,1,197,49,0,0.54,0.13,0,0.0736,0,0,0.11,0.35,0.54,246,0.673972602739726,3.2,0.52,0.41,0.59,21.4
1996,365,346.5,153.4,0,39.56,292.7,57.09,908.1,9.23,2.87,6.22,0.436,0.138,0.911,71,58,0,0.19,0.16,0,0.22,0.0082,0.088,0.24,0.47,0.19,129,0.35342465753424657,3.01,0.31,0.67,0.33,37.5
1997,365,334.7,143.1,0,38.2,286.7,103.6,837.3,9.04,2.87,6.12,0.393,0.149,0.652,15,82,0,0.041,0.22,0,0.212,0,0.099,0.21,0.65,0.041,97,0.26575342465753427,2.92,0.32,0.68,0.32,37
1998,365,643.1,192.8,0,73.41,519.2,91.26,1816,16.4,3.06,12,0.29,0.0733,0.57,26,18,0,0.071,0.049,0,0.408,0.16,0.17,0.17,0.43,0.071,44,0.12054794520547946,4.4,0.19,0.73,0.27,39.2
1999,366,591.1,192.8,20.35,67.29,468,144,1701,14.8,3.12,10.8,0.288,0.0726,0.454,0,0,0,0,0,0,0.375,0.14,0.093,0.2,0.57,0,0,0,4,0.21,0.73,0.27,39.9
2000,365,763.7,192.8,21.29,87.19,683,152.5,2124,21.5,3.76,14.7,0.259,0.0697,0.549,0,0,0,0,0,0,0.484,0.25,0.11,0.22,0.42,0,0,0,6.8,0.17,0.68,0.32,35.5
2001,365,342.1,109.9,0,39.05,291.9,100.8,656.2,9.21,3.01,6.09,0.377,0.19,0.714,31,60,0,0.085,0.16,0,0.217,0,0.06,0.24,0.61,0.085,91,0.2493150684931507,3.12,0.33,0.66,0.34,37.1
