year,energy
1924,846924.3812629314
1925,786011.2258002895
1926,870445.7410631357
1927,847170.0102293388
1928,760128.8921917907
1929,884657.6792374414
1930,822340.9611292864
1931,915000.9195215575
1932,766219.455439153
1933,808951.4066619787
1934,874817.7487378829
1935,824435.3549236881
1936,847016.204709274
1937,856321.9733923525
1938,843990.4932567525
1939,910715.3374635219
1940,887304.6229820399
1941,769595.9497521969
1942,825933.4619065473
1943,861209.8777478861
1944,814013.0985292298
1945,876908.4564122459
1946,851908.7256632192
1947,826048.1418833606
1948,639598.7373148407
1949,777465.8808694694
1950,860123.0965502796
1951,858367.8051659944
1952,850081.6183410785
1953,918817.8591227668
1954,938461.7106769768
1955,897166.9413630848
1956,807454.7267047536
1957,772111.1385047662
1958,953880.6011878415
1959,826227.6307130262
1960,848984.6237116513
1961,917488.2932606153
1962,901331.118592075
1963,1039299.0994451739
1964,908339.6436613024
1965,875044.5756870635
1966,907160.8805124417
1967,896975.627276313
1968,845789.3969260154
1969,1003842.6114888188
1970,976532.642063205
1971,951905.3591806493
1972,812894.7676666264
1973,942082.8019700433
1974,882006.7163427832
1975,863327.9666325806
1976,982407.073682242
1977,959962.8780097577
1978,1034085.5446131884
1979,1025469.1992162794
1980,942401.7641272128
1981,805066.0959803818
1982,851881.3069577009
1983,811558.0657764587
1984,858113.4030106828
1985,780284.8060545792
1986,921017.7783313692
1987,851083.3084206369
1988,865680.7979843246
1989,756618.2836420531
1990,798801.3798522162
1991,686222.2644900203
1992,784595.3037781251
1993,707359.3188905013
1994,558940.6795728498
1995,494253.4776757566
1996,745036.9073816955
1997,806478.6968379619
1998,818047.7139369475
1999,781448.4056689205
2000,841279.0411492435
2001,860394.7096194676
2002,847950.6188080811
2003,831945.147463473
2004,852759.2941846414
2005,870575.8335080796
2006,861466.566383903
2007,917536.3426746095
2008,861755.5907771375
2009,889112.7128067556
2010,898332.2801254223
2011,929361.6032248432
2012,866160.8742647783
2013,944430.8989389512
2014,901570.5237639322
2015,806181.9498230882
2016,873374.0172814231
