Exceedance,Power
0,193
0.01,193
0.02,192
0.03,191
0.04,189
0.05,187
0.06,185
0.07,183
0.08,181
0.09,180
0.1,178
0.11,176
0.12,174
0.13,172
0.14,170
0.15,168
0.16,167
0.17,165
0.18,164
0.19,162
0.2,160
0.21,158
0.22,156
0.23,154
0.24,151
0.25,148
0.26,145
0.27,145
0.28,144
0.29,142
0.3,141
0.31,139
0.32,136
0.33,134
0.34,132
0.35,130
0.36,128
0.37,125
0.38,123
0.39,120
0.4,117
0.41,114
0.42,111
0.43,108
0.44,104
0.45,96.4
0.46,96.4
0.47,96.3
0.48,93.7
0.49,91
0.5,88.2
0.51,85.5
0.52,83.2
0.53,80.6
0.54,77.8
0.55,75.7
0.56,73.3
0.57,70.9
0.58,69
0.59,67.3
0.6,65.4
0.61,63.7
0.62,61.8
0.63,60.4
0.64,58.8
0.65,57.1
0.66,55.5
0.67,54.3
0.68,52.3
0.69,50.8
0.7,49.9
0.71,48.2
0.72,48.2
0.73,48.2
0.74,47
0.75,45.9
0.76,44.6
0.77,43.5
0.78,42.3
0.79,41.1
0.8,40.1
0.81,39.1
0.82,38
0.83,37.1
0.84,36.1
0.85,35.1
0.86,34.4
0.87,33.7
0.88,32.7
0.89,31.8
0.9,31
0.91,30.2
0.92,29.4
0.93,28.8
0.94,28
0.95,27.2
0.96,26.3
0.97,25
0.98,22
0.99,0
1,0
