Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,298.1,139.5,571.8,75000,8054,36340,100.8,10.83,48.85,0.29,0.72,0.28,0.012,0.0043,0,0.27,44
2,5,693.7,198.3,1589,120600,6343,73950,179.4,9.439,109.2,0.17,0.8,0.2,0,0.023,0,0.61,44.9
3,6,995.9,263.2,2092,140000,26060,103300,188.1,35.03,138.8,0.16,0.78,0.22,0,0,0,0.77,41.8
4,7,1054,224.5,2150,138600,12100,102200,192.5,16.81,142,0.17,0.75,0.25,0,0.011,0,0.79,39.5
5,8,700.2,155.1,1285,129500,0,78840,174.1,0,106,0.28,0.71,0.29,0.034,0.0097,0,0.59,39.9
6,9,436.2,121.1,712.1,83140,0,46960,115.5,0,65.23,0.35,0.65,0.35,0.049,0.061,0,0.36,37.6
7,10,300.8,97.13,463.2,51580,0,28670,69.33,0,38.53,0.44,0.54,0.46,0.12,0.075,0,0.21,31.3
8,11,215.8,75.89,318.9,33640,0,15480,45.22,0,20.81,0.5,0.47,0.53,0.17,0.26,0,0.12,21.8
9,12,152.8,49.4,227.8,21180,0,10550,29.42,0,14.65,0.54,0.41,0.59,0.28,0.11,0,0.081,22.4
10,1,120.7,36.14,179.4,19460,0,8540,26.16,0,11.48,0.49,0.43,0.57,0.3,0.16,0,0.064,21.2
11,2,138.3,63.26,190.3,22750,0,12330,31.59,0,17.13,0.4,0.56,0.44,0.15,0.12,0,0.095,30.8
12,3,181.3,103.6,244.8,31010,0,19800,41.68,0,26.62,0.34,0.64,0.36,0.041,0.033,0,0.15,39.1
