date,waterYear,waterMonth,energy
1998-05-30,1997,8,1081.0402794264674
1998-05-31,1997,8,1049.8851300725496
1998-06-01,1997,9,1156.8000000000002
1998-06-02,1997,9,1153.2797819189757
1998-06-03,1997,9,1125.6524242331018
1998-06-04,1997,9,1100.8988924352977
1998-06-05,1997,9,1075.9043175324775
1998-06-06,1997,9,1050.4513926288946
1998-06-07,1997,9,1030.9594933799021
1998-06-08,1997,9,1008.5060074861088
1998-06-09,1997,9,986.0480517897236
1998-06-10,1997,9,961.587534713591
1998-06-11,1997,9,937.0392399593143
1998-06-12,1997,9,912.5427825271072
1998-06-13,1997,9,891.4738740542552
1998-06-14,1997,9,870.4882685803846
1998-06-15,1997,9,850.7630567933336
1998-06-16,1997,9,831.4459034538864
1998-06-17,1997,9,818.0122913456637
1998-06-18,1997,9,801.6823734103789
1998-06-19,1997,9,785.0552889679118
1998-06-20,1997,9,768.4492646915037
1998-06-21,1997,9,751.8600362957234
1998-06-22,1997,9,735.3486609058704
1998-06-23,1997,9,718.8053410188639
1998-06-24,1997,9,702.2850341864882
1998-06-25,1997,9,685.9081051132003
1998-06-26,1997,9,672.5671273856107
1998-06-27,1997,9,659.039891501205
1998-06-28,1997,9,645.31407851311
1998-06-29,1997,9,631.5921452044914
1998-06-30,1997,9,617.8753899539602
1998-07-01,1997,10,667.237889833229
1998-07-02,1997,10,653.4374483787954
1998-07-03,1997,10,639.585677328569
1998-07-04,1997,10,625.7960444354218
1998-07-05,1997,10,618.1755806843646
1998-07-06,1997,10,607.4215342088286
1998-07-07,1997,10,596.728999301823
1998-07-08,1997,10,585.9866349365516
1998-07-09,1997,10,575.306960491554
1998-07-10,1997,10,564.6346280611294
1998-07-11,1997,10,553.9144450882382
1998-07-12,1997,10,543.2587040337561
1998-07-13,1997,10,532.1150339515091
1998-07-14,1997,10,522.1709755873719
1998-07-15,1997,10,0
1998-07-16,1997,10,0
1998-07-17,1997,10,0
1998-07-18,1997,10,0
1998-07-19,1997,10,0
1998-07-20,1997,10,0
1998-07-21,1997,10,0
1998-07-22,1997,10,0
1998-07-23,1997,10,0
1998-07-24,1997,10,0
1998-07-25,1997,10,0
1998-07-26,1997,10,0
1998-07-27,1997,10,0
1998-07-28,1997,10,0
1998-07-29,1997,10,0
1998-07-30,1997,10,0
1998-07-31,1997,10,0
1998-08-01,1997,11,0
1998-08-02,1997,11,0
1998-08-03,1997,11,0
1998-08-04,1997,11,0
1998-08-05,1997,11,0
1998-08-06,1997,11,0
1998-08-07,1997,11,0
1998-08-08,1997,11,0
1998-08-09,1997,11,0
1998-08-10,1997,11,0
1998-08-11,1997,11,0
1998-08-12,1997,11,0
1998-08-13,1997,11,0
1998-08-14,1997,11,0
1998-08-15,1997,11,0
1998-08-16,1997,11,0
1998-08-17,1997,11,0
1998-08-18,1997,11,0
1998-08-19,1997,11,0
1998-08-20,1997,11,0
1998-08-21,1997,11,0
1998-08-22,1997,11,0
1998-08-23,1997,11,0
1998-08-24,1997,11,0
1998-08-25,1997,11,0
1998-08-26,1997,11,0
1998-08-27,1997,11,0
1998-08-28,1997,11,0
1998-08-29,1997,11,0
1998-08-30,1997,11,0
1998-08-31,1997,11,0
1998-09-01,1997,12,335.9024439747399
1998-09-02,1997,12,314.5634693800363
1998-09-03,1997,12,0
1998-09-04,1997,12,0
1998-09-05,1997,12,0
1998-09-06,1997,12,0
1998-09-07,1997,12,0
1998-09-08,1997,12,0
1998-09-09,1997,12,0
1998-09-10,1997,12,0
1998-09-11,1997,12,0
1998-09-12,1997,12,0
1998-09-13,1997,12,0
1998-09-14,1997,12,0
1998-09-15,1997,12,0
1998-09-16,1997,12,0
1998-09-17,1997,12,0
1998-09-18,1997,12,0
1998-09-19,1997,12,0
1998-09-20,1997,12,0
1998-09-21,1997,12,0
1998-09-22,1997,12,0
1998-09-23,1997,12,0
1998-09-24,1997,12,0
1998-09-25,1997,12,0
1998-09-26,1997,12,0
1998-09-27,1997,12,0
1998-09-28,1997,12,0
1998-09-29,1997,12,0
1998-09-30,1997,12,0
1998-10-01,1998,1,0
1998-10-02,1998,1,0
1998-10-03,1998,1,0
1998-10-04,1998,1,0
1998-10-05,1998,1,0
1998-10-06,1998,1,0
1998-10-07,1998,1,0
1998-10-08,1998,1,0
1998-10-09,1998,1,0
1998-10-10,1998,1,0
1998-10-11,1998,1,0
1998-10-12,1998,1,0
1998-10-13,1998,1,0
1998-10-14,1998,1,0
1998-10-15,1998,1,0
1998-10-16,1998,1,0
1998-10-17,1998,1,0
1998-10-18,1998,1,0
1998-10-19,1998,1,0
1998-10-20,1998,1,0
1998-10-21,1998,1,0
1998-10-22,1998,1,0
1998-10-23,1998,1,0
1998-10-24,1998,1,0
1998-10-25,1998,1,0
1998-10-26,1998,1,0
1998-10-27,1998,1,0
1998-10-28,1998,1,0
1998-10-29,1998,1,0
1998-10-30,1998,1,0
1998-10-31,1998,1,0
1998-11-01,1998,2,0
1998-11-02,1998,2,0
1998-11-03,1998,2,0
1998-11-04,1998,2,0
1998-11-05,1998,2,0
1998-11-06,1998,2,0
1998-11-07,1998,2,0
1998-11-08,1998,2,0
1998-11-09,1998,2,0
1998-11-10,1998,2,0
1998-11-11,1998,2,0
1998-11-12,1998,2,0
1998-11-13,1998,2,0
1998-11-14,1998,2,0
1998-11-15,1998,2,0
1998-11-16,1998,2,325.12377740477365
1998-11-17,1998,2,327.11595330067627
1998-11-18,1998,2,321.29456689896324
1998-11-19,1998,2,0
1998-11-20,1998,2,321.29456689896324
1998-11-21,1998,2,323.2070559672829
1998-11-22,1998,2,325.12377740477365
