WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,753.3,192.8,26.49,115,1386,191.7,3732,32.7,4.57,16.5,0.218,0.0586,0.472,0,0,0,0,0,0,0.478,0.35,0.093,0.19,0.12,0,0,0,16.2,0.14,0.5,0.5,23
1993,365,796.8,192.8,24.41,90.96,678.1,182.2,2107,21.4,3.86,15.1,0.257,0.0868,0.478,0,0,0,0,0,0,0.505,0.25,0.13,0.21,0.41,0,0,0,6.3,0.18,0.71,0.29,37.2
1994,365,342.2,125.8,0,39.06,285.5,105.9,715.9,9,2.89,6.05,0.378,0.149,0.68,19,74,0,0.052,0.2,0,0.217,0,0.12,0.12,0.71,0.052,93,0.2547945205479452,2.95,0.32,0.67,0.33,38
1995,366,503.3,190.6,0,57.3,378.2,90,1156,12,2.89,8.92,0.335,0.0945,0.578,38,55,0,0.1,0.15,0,0.319,0.099,0.099,0.22,0.48,0.1,93,0.2547945205479452,3.08,0.24,0.74,0.26,41.9
1996,365,787.7,192.8,15.88,89.92,680.4,123.9,2243,21.5,3.88,15.2,0.274,0.066,0.502,0,0,0,0,0,0,0.5,0.29,0.11,0.15,0.45,0,0,0,6.3,0.18,0.71,0.29,36.6
1997,365,776.7,192.8,0,88.67,670.8,192,2111,21.2,3.85,14.9,0.271,0.0701,0.54,0,10,0,0,0.027,0,0.493,0.27,0.1,0.15,0.47,0,10,0.0273972602739726,6.3,0.18,0.7,0.3,36.6
1998,365,864.7,192.8,20.6,98.7,1120,165.5,3823,35.3,5.13,18.5,0.237,0.0594,0.5,0,0,0,0,0,0,0.548,0.38,0.1,0.17,0.34,0,0,0,16.8,0.15,0.52,0.48,24.5
1999,366,788.6,192.8,25.91,89.77,923.9,211.7,3451,29.2,4.79,16.1,0.264,0.0454,0.517,0,0,0,0,0,0,0.5,0.27,0.14,0.18,0.41,0,0,0,13.1,0.16,0.55,0.45,27
2000,365,873.2,192.8,24.76,99.68,1375,208.4,4485,43.4,5.73,19.5,0.232,0.0599,0.465,0,0,0,0,0,0,0.554,0.39,0.13,0.26,0.22,0,0,0,23.9,0.13,0.45,0.55,20.1
2001,365,841.1,192.8,0,96.02,655.9,196.4,1695,20.7,3.85,15.6,0.245,0.089,0.463,0,4,0,0,0.011,0,0.533,0.26,0.11,0.36,0.28,0,4,0.010958904109589041,5.1,0.19,0.75,0.25,40.6
