Exceedance,Power
0,193
0.01,193
0.02,193
0.03,193
0.04,191
0.05,189
0.06,188
0.07,186
0.08,184
0.09,182
0.1,180
0.11,178
0.12,176
0.13,173
0.14,171
0.15,170
0.16,168
0.17,166
0.18,164
0.19,163
0.2,161
0.21,159
0.22,158
0.23,157
0.24,154
0.25,152
0.26,149
0.27,145
0.28,145
0.29,145
0.3,144
0.31,143
0.32,141
0.33,139
0.34,137
0.35,135
0.36,133
0.37,131
0.38,129
0.39,127
0.4,124
0.41,121
0.42,118
0.43,116
0.44,113
0.45,110
0.46,107
0.47,104
0.48,96.4
0.49,96.4
0.5,96.3
0.51,93.3
0.52,91
0.53,88.2
0.54,85.8
0.55,83.6
0.56,80.7
0.57,78
0.58,75.3
0.59,73.1
0.6,71.1
0.61,69.5
0.62,67.5
0.63,66.1
0.64,63.8
0.65,61.8
0.66,60.1
0.67,58.4
0.68,57.1
0.69,55.5
0.7,54.2
0.71,52.8
0.72,51.6
0.73,50.1
0.74,48.2
0.75,48.2
0.76,48.2
0.77,47.5
0.78,46.2
0.79,45.1
0.8,44
0.81,43
0.82,41.9
0.83,41
0.84,40.1
0.85,39.1
0.86,38
0.87,37
0.88,36
0.89,35.1
0.9,34.4
0.91,33.5
0.92,32.8
0.93,32
0.94,31.2
0.95,29.9
0.96,28.9
0.97,27.7
0.98,24.2
0.99,0
1,0
