Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,226,32.4,23800,24.3,145,24,0.908,0.248,0.24,0.63,0.27,37.8,0
0.65,220,31.7,23100,24.3,141,23.9,0.906,0.24,0.23,0.63,0.27,37.6,0
0.66,218,30.9,22200,24.3,139,23.8,0.905,0.238,0.23,0.63,0.261,37.2,0
0.67,215,30.3,21900,24.2,137,23.7,0.903,0.23,0.22,0.62,0.26,37.1,0
0.68,213,29.6,21600,24.1,135,23.7,0.902,0.227,0.21,0.62,0.26,36.3,0
0.69,207,29.2,21300,24.1,132,23.6,0.901,0.221,0.21,0.61,0.25,36.1,0
0.7,204,28.5,20900,24,129,23.5,0.9,0.218,0.21,0.61,0.25,35.9,0
0.71,201,28.2,20500,23.9,127,23.4,0.9,0.213,0.2,0.61,0.25,35.6,0
0.72,197,27.9,20300,23.9,126,23.4,0.899,0.212,0.2,0.605,0.24,35.5,0
0.73,196,27.6,20000,23.8,125,23.3,0.897,0.208,0.2,0.6,0.239,35,0
0.74,193,26.8,19600,23.7,122,23.2,0.894,0.206,0.193,0.6,0.23,34.6,0
0.75,190,25.4,18400,23.6,120,23,0.893,0.203,0.19,0.6,0.23,34.5,0
0.76,188,24.4,18000,23.4,116,22.8,0.891,0.195,0.19,0.59,0.22,34,0
0.77,185,24.1,17500,23.3,113,22.6,0.891,0.19,0.18,0.59,0.216,33.9,0
0.78,183,23.5,17300,23.2,110,22.4,0.89,0.186,0.17,0.58,0.21,33.7,0
0.79,181,23.1,17000,23.1,109,22.3,0.889,0.181,0.17,0.58,0.21,33.1,0
0.8,180,22.5,16600,23,108,22.3,0.889,0.18,0.16,0.57,0.21,32.6,0
0.81,175,22.1,16100,23,105,22.2,0.888,0.174,0.16,0.57,0.2,31.8,0
0.82,172,21.1,15600,22.9,104,22,0.887,0.17,0.15,0.56,0.2,30.6,0
0.83,168,20.2,15000,22.8,101,22,0.861,0.168,0.15,0.56,0.2,29.2,0
0.84,162,19.9,14800,22.7,98.9,21.8,0.83,0.164,0.15,0.55,0.19,26.8,0
0.85,157,18.8,13800,22.7,97,21.7,0.763,0.163,0.14,0.54,0.19,26,0
