WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,743.2,192.8,22.66,113.4,998.9,175.9,2514,23.6,3.88,15,0.242,0.059,0.517,0,0,0,0,0,0,0.471,0.31,0.096,0.15,0.19,0,0,0,8.6,0.16,0.64,0.36,31.5
1993,365,728.4,192.8,0,83.15,559.8,155.3,1593,17.7,3.46,13.5,0.269,0.0952,0.486,0,7,0,0,0.019,0,0.462,0.21,0.11,0.22,0.46,0,7,0.019178082191780823,4.2,0.2,0.76,0.24,41.2
1994,365,229.3,85.99,0,26.17,221.8,77.97,503.4,7,2.87,3.94,0.47,0.213,0.923,79,32,0,0.22,0.088,0,0.145,0,0,0.17,0.61,0.22,111,0.3041095890410959,3.06,0.41,0.56,0.44,32.8
1995,366,331.3,134.4,0,37.72,283.7,66.67,771.5,8.97,2.87,5.93,0.428,0.14,0.78,67,56,0,0.18,0.15,0,0.21,0,0.11,0.19,0.51,0.18,123,0.336986301369863,3.04,0.32,0.66,0.34,36.9
1996,365,680.8,192.8,0,77.72,512.2,95.13,1515,16.2,3.21,12.5,0.292,0.0832,0.547,26,15,0,0.071,0.041,0,0.432,0.24,0.11,0.14,0.44,0.071,41,0.11232876712328767,3.7,0.2,0.77,0.23,42
1997,365,717.7,192.8,21.59,81.93,520.4,150.4,1480,16.4,3.02,13,0.247,0.0882,0.408,0,0,0,0,0,0,0.455,0.23,0.11,0.18,0.48,0,0,0,3.4,0.18,0.79,0.21,43.8
1998,365,853.3,192.8,19.8,97.4,897.2,140.8,2858,28.3,4.44,17.4,0.242,0.0759,0.495,0,0,0,0,0,0,0.541,0.35,0.11,0.16,0.38,0,0,0,10.9,0.16,0.61,0.39,30.2
1999,366,725.3,192.8,0,82.57,653.8,188.7,2301,20.7,3.82,13.9,0.275,0.0531,0.548,0,11,0,0,0.03,0,0.46,0.19,0.17,0.17,0.47,0,11,0.030136986301369864,6.8,0.18,0.67,0.33,35
2000,365,854.2,192.8,0,97.51,1054,174.2,3224,33.2,4.95,18,0.25,0.0607,0.539,0,4,0,0,0.011,0,0.542,0.35,0.13,0.16,0.35,0,4,0.010958904109589041,15.2,0.15,0.54,0.46,25.7
2001,365,575.1,155.5,0,65.65,415.2,135.1,928.8,13.1,3.11,9.98,0.292,0.136,0.533,0,11,0,0,0.03,0,0.365,0.019,0.24,0.21,0.53,0,11,0.030136986301369864,3.12,0.24,0.76,0.24,43.9
2002,365,703.2,192.8,13.52,80.28,563.8,116.2,1914,17.8,3.61,12.9,0.288,0.0773,0.532,0,0,0,0,0,0,0.446,0.15,0.21,0.19,0.45,0,0,0,4.9,0.2,0.72,0.28,39.5
2003,366,794.2,192.8,0,90.41,1027,186.2,3988,32.5,4.81,16.9,0.254,0.0542,0.516,0,14,0,0,0.038,0,0.504,0.33,0.1,0.17,0.4,0,14,0.038356164383561646,15.6,0.15,0.52,0.48,24.4
2004,365,546.4,184.2,0,62.37,404.1,127.9,1104,12.7,3.04,9.71,0.3,0.113,0.563,0,37,0,0,0.1,0,0.346,0.058,0.16,0.23,0.55,0,37,0.10136986301369863,2.99,0.24,0.76,0.24,43
2005,365,740.3,192.8,0,84.51,619.2,102,1755,19.5,3.63,14.1,0.282,0.0843,0.539,1,22,0,0.0027,0.06,0,0.469,0.24,0.13,0.15,0.47,0.0027,23,0.06301369863013699,5.4,0.19,0.72,0.28,38
2006,365,840.4,192.8,22.38,95.93,1108,174.7,3170,34.9,5,18.1,0.247,0.0617,0.537,0,0,0,0,0,0,0.533,0.38,0.099,0.14,0.38,0,0,0,16.8,0.14,0.52,0.48,24.1
2007,366,803.8,192.8,0,91.51,823.8,192.5,2629,26.1,3.97,16.1,0.248,0.0621,0.473,0,5,0,0,0.014,0,0.51,0.3,0.11,0.19,0.4,0,5,0.0136986301369863,10,0.15,0.62,0.38,30.8
2008,365,782.2,192.8,19.86,89.29,717.7,162.4,2479,22.6,3.87,15,0.253,0.0599,0.522,0,0,0,0,0,0,0.496,0.23,0.15,0.22,0.4,0,0,0,7.6,0.17,0.66,0.34,34.6
2009,365,857.4,192.8,0,97.87,1158,184.3,3340,36.5,5.32,18.6,0.241,0.0661,0.523,0,5,0,0,0.014,0,0.544,0.38,0.093,0.22,0.3,0,5,0.0136986301369863,17.9,0.15,0.51,0.49,23.5
2010,365,894.9,192.8,25.25,102.2,1138,209.4,3236,35.9,5.3,19.1,0.251,0.0662,0.522,0,0,0,0,0,0,0.568,0.41,0.1,0.15,0.34,0,0,0,16.8,0.15,0.53,0.47,24.9
2011,366,733.3,192.8,0,83.48,518.7,157.2,1326,16.4,3.18,13.2,0.255,0.0943,0.497,0,5,0,0,0.014,0,0.465,0.16,0.18,0.26,0.41,0,5,0.0136986301369863,3.2,0.19,0.8,0.2,44.7
2012,365,833.2,192.8,0,95.11,775.4,140.5,2563,24.5,3.93,16.5,0.243,0.0763,0.477,0,5,0,0,0.014,0,0.528,0.32,0.099,0.16,0.42,0,5,0.0136986301369863,8,0.16,0.67,0.33,34
2013,365,900.1,192.8,21.03,102.8,878.8,168.4,2391,27.7,4.59,18.1,0.248,0.0831,0.524,0,0,0,0,0,0,0.571,0.38,0.096,0.17,0.36,0,0,0,9.6,0.17,0.65,0.35,32.5
2014,365,809.9,192.8,0,92.45,628.4,179.1,1518,19.8,3.75,15.3,0.265,0.0889,0.561,0,11,0,0,0.03,0,0.514,0.28,0.11,0.15,0.47,0,11,0.030136986301369864,4.5,0.19,0.77,0.23,40.9
2015,366,799.1,192.8,18.04,90.97,691.5,153.9,2020,21.9,3.86,15.3,0.259,0.0733,0.537,0,0,0,0,0,0,0.507,0.27,0.12,0.19,0.43,0,0,0,6.6,0.18,0.7,0.3,36.5
2016,365,826,192.8,19.41,94.3,994.4,160.5,3471,31.4,4.81,17.2,0.244,0.0546,0.522,0,0,0,0,0,0,0.524,0.33,0.12,0.18,0.37,0,0,0,14.2,0.15,0.55,0.45,26.3
2017,365,879.6,192.8,23.75,100.4,987,216.8,2918,31.1,5.01,18.1,0.249,0.0744,0.507,0,0,0,0,0,0,0.558,0.35,0.12,0.21,0.32,0,0,0,13,0.16,0.58,0.42,28.3
2018,365,523.3,144.2,0,59.74,387.4,119.5,822.6,12.2,3.1,9.1,0.317,0.11,0.603,4,33,0,0.011,0.09,0,0.332,0,0.24,0.18,0.58,0.011,37,0.10136986301369863,3.1,0.25,0.75,0.25,42.9
2019,366,778.4,192.8,0,88.61,974,100.6,3420,30.8,4.76,16.6,0.274,0.0638,0.517,7,32,0,0.019,0.088,0,0.494,0.34,0.09,0.15,0.4,0.019,39,0.10684931506849316,14.2,0.15,0.54,0.46,25.3
2020,365,917.8,192.8,0,104.8,1026,189.5,2614,32.4,5.16,19.1,0.252,0.0685,0.532,0,9,0,0,0.025,0,0.582,0.41,0.11,0.15,0.33,0,9,0.024657534246575342,13.3,0.16,0.59,0.41,28.3
2021,365,828,192.8,21.57,94.52,719.5,209.4,2074,22.7,4.07,15.9,0.262,0.0715,0.546,0,0,0,0,0,0,0.525,0.29,0.11,0.2,0.4,0,0,0,6.8,0.18,0.7,0.3,36.5
2022,92,80.86,77.41,0,36.62,237.9,181,412.6,1.89,0.564,1.33,0.317,0.143,0.483,0,2,0,0,0.0055,0,0.0513,0,0,0.049,0.2,0,2,0.005479452054794521,0.56,0.3,0.7,0.3,42.8
