Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,345,51.2,38100,22.8,233,22,0.917,0.325,0.17,0.61,0.3,35.5,0
0.65,338,49.2,36600,22.8,222,21.9,0.917,0.323,0.16,0.6,0.29,35.3,0
0.66,333,48.8,36300,22.6,219,21.7,0.916,0.32,0.16,0.6,0.281,35.1,0
0.67,329,47.8,34800,22.5,216,21.6,0.915,0.317,0.15,0.6,0.28,34.9,0
0.68,321,46.7,34400,22.4,210,21.4,0.915,0.316,0.15,0.59,0.28,34.7,0
0.69,307,45.2,33600,22.1,204,21,0.914,0.312,0.15,0.59,0.273,34.6,0
0.7,299,44.1,32000,22,199,20.8,0.914,0.31,0.14,0.59,0.27,34.5,0
0.71,293,43,31500,21.9,193,20.6,0.914,0.309,0.14,0.59,0.26,34.4,0
0.72,290,42.3,31100,21.8,190,20.4,0.913,0.308,0.13,0.585,0.25,34.2,0
0.73,281,41.9,30400,21.4,185,20,0.912,0.305,0.13,0.58,0.249,33.9,0
0.74,276,40.5,29600,21.2,178,19.7,0.911,0.303,0.13,0.58,0.24,33.3,0
0.75,272,39.3,29200,21.1,176,19.6,0.911,0.3,0.13,0.57,0.24,32.9,0
0.76,268,39,28100,20.9,173,19.4,0.91,0.297,0.13,0.57,0.24,32.6,0
0.77,265,38.4,27800,20.8,171,19.2,0.909,0.29,0.12,0.57,0.23,31.6,0
0.78,256,36.8,27000,20.7,165,19,0.908,0.281,0.12,0.56,0.22,30.5,0
0.79,252,35.6,26300,20.5,158,18.9,0.908,0.273,0.12,0.56,0.22,28.3,0
0.8,250,34.5,25300,20.4,154,18.6,0.907,0.265,0.12,0.56,0.22,27.2,0
0.81,245,34.1,24800,19.9,151,18.1,0.906,0.26,0.11,0.56,0.21,26.6,0
0.82,241,33.3,24200,19.7,148,17.9,0.905,0.255,0.11,0.56,0.21,25.7,0
0.83,237,32.9,23800,19.6,146,17.8,0.904,0.25,0.11,0.55,0.21,25.1,0
0.84,233,32.2,23500,19.3,143,17.5,0.904,0.245,0.11,0.54,0.2,24.3,0
0.85,231,31.4,23000,19.3,140,17.4,0.903,0.24,0.1,0.53,0.2,23.1,0
0.86,226,30.8,22200,19,137,17.2,0.902,0.232,0.1,0.523,0.183,22.2,0
0.87,219,30,22000,18.9,134,17,0.902,0.231,0.0957,0.483,0.18,20.1,0
0.88,217,29.8,21700,18.4,133,16.6,0.901,0.227,0.095,0.442,0.171,17,0
0.89,214,29.3,21500,17.8,132,16,0.9,0.224,0.0905,0.42,0.17,16.5,0
0.9,212,29.2,21300,17.6,131,15.7,0.897,0.221,0.087,0.409,0.169,15.1,0
0.91,206,28.3,20800,17.1,128,15.2,0.893,0.218,0.0843,0.39,0.16,14.3,0
0.92,204,26.5,19100,16.8,127,14.9,0.892,0.214,0.0827,0.38,0.15,13.9,0
0.93,197,24.8,18200,16.7,122,14.8,0.891,0.204,0.0811,0.353,0.15,12.6,0
0.94,186,24.4,17900,16.2,115,14.3,0.891,0.195,0.078,0.345,0.14,11.8,0
0.95,180,23.6,17100,15.9,112,14.1,0.888,0.185,0.076,0.33,0.13,11.3,0
0.96,171,21.3,15500,15.6,109,13.8,0.871,0.181,0.075,0.314,0.13,10.1,0
0.97,161,19.8,14600,15.2,96.7,13.3,0.771,0.163,0.0718,0.3,0.13,9.57,0
0.98,146,18.9,14100,14.9,88.8,13,0.663,0.144,0.07,0.28,0.12,7.56,0
0.99,136,9.27,6830,13.6,73.7,11.8,0.384,0.118,0.069,0.24,0.12,6.03,0
1,95.8,0,0,12.6,5.02,10.7,0,0.072,0.068,0.052,0.11,0,0
