Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,367.8,171.1,743.2,91760,14970,46720,123.3,20.12,62.8,0.23,0.77,0.23,0,0.0043,0,0.35,46.7
2,5,801.4,238.4,1754,123400,23190,84490,183.7,34.51,124.8,0.15,0.82,0.18,0,0,0,0.69,45.3
3,6,1476,451.1,2759,140500,55510,117800,188.8,74.61,158.4,0.12,0.69,0.31,0,0,0,0.88,34.4
4,7,2250,475.5,4287,137500,54500,110000,191,75.69,152.8,0.099,0.54,0.46,0,0,0,0.85,24.5
5,8,1772,327.8,3202,135100,29600,112400,181.6,39.79,151.1,0.16,0.6,0.4,0,0,0,0.84,29
6,9,936,222,1704,127400,12960,94450,176.9,18.01,131.2,0.22,0.75,0.25,0,0.0089,0,0.73,40.1
7,10,555,170.3,841.1,89400,0,58190,120.2,0,78.22,0.34,0.67,0.33,0.0054,0.033,0,0.43,38.3
8,11,372.5,134.2,539.5,53330,0,34750,71.69,0,46.71,0.42,0.58,0.42,0.026,0.076,0,0.26,33.5
9,12,259.7,99.09,366.1,35540,0,23140,49.37,0,32.14,0.44,0.55,0.45,0.043,0.064,0,0.18,33.3
10,1,196.1,77.48,265.7,25980,0,16680,34.91,0,22.42,0.43,0.55,0.45,0.047,0.16,0,0.12,30.5
11,2,192.8,95.44,244.2,24540,696.6,19260,34.08,0.9674,26.75,0.36,0.64,0.37,0.021,0.07,0,0.15,37.8
12,3,232.8,131.5,332.7,41990,11630,28560,56.44,15.63,38.39,0.28,0.73,0.27,0,0.0011,0,0.21,45.3
