Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,274.6,136.9,489.8,65200,7278,33000,87.63,9.782,44.36,0.3,0.71,0.29,0.011,0.015,0,0.25,43.5
2,5,553.5,195.2,1215,119500,6630,62170,177.9,9.866,91.8,0.2,0.8,0.2,0,0.024,0,0.51,45.8
3,6,1025,320.8,1971,141400,34960,104500,190.1,46.99,140.4,0.15,0.77,0.23,0,0,0,0.78,41
4,7,1440,319.5,2989,137300,31250,110500,190.8,43.41,153.4,0.13,0.68,0.32,0,0,0,0.85,34.4
5,8,1065,224.1,1948,138300,9059,102200,185.9,12.18,137.3,0.21,0.72,0.29,0.0065,0.014,0,0.76,37.5
6,9,611.6,163.2,1024,110600,0,68820,153.6,0,95.59,0.27,0.73,0.27,0.022,0.044,0,0.53,41.4
7,10,404.7,129.9,640.4,66150,0,40710,88.91,0,54.72,0.39,0.61,0.39,0.037,0.096,0,0.3,35.1
8,11,279.9,100.9,425.2,38830,0,23360,52.19,0,31.39,0.46,0.53,0.47,0.075,0.26,0,0.17,27.4
9,12,197.8,71.54,298.4,26110,0,15680,36.26,0,21.77,0.48,0.49,0.51,0.15,0.24,0,0.12,27.5
10,1,154.9,56.49,224.4,19690,0,12420,26.47,0,16.69,0.45,0.51,0.49,0.14,0.28,0,0.093,27
11,2,157.4,73.87,217.5,22930,0,14990,31.85,0,20.82,0.37,0.6,0.4,0.083,0.18,0,0.12,34.2
12,3,191,108.3,252.7,32400,0,21640,43.55,0,29.08,0.32,0.67,0.33,0.022,0.053,0,0.16,40.8
