exceedance,flow
0,9912.101149085864
0.01,5518.408467601354
0.02,4755.908819923774
0.03,4350.079605300594
0.04,3945.7905821347304
0.05,3659.911749918809
0.06,3456.3120822269
0.07,3247.504435539117
0.08,3077.9592573747263
0.09,2974.5867643199736
0.1,2833.7784858072
0.11,2693.3835570155875
0.12,2562.970658582
0.13,2464.1721193130406
0.14,2372.6553729584625
0.15,2291.2931984237584
0.16,2196.80414916478
0.17,2074.277711614128
0.18,1955.7167838595385
0.19,1855.6050297985278
0.2,1753.3483604128437
0.21,1651.6647655158217
0.22,1571.1617598413472
0.23,1505.9018790878047
0.24,1419.1791515560512
0.25,1339.3404876040215
0.26,1295.2400855823087
0.27,1240.7262503951906
0.28,1199.8325625536734
0.29,1159.688949814866
0.3,1120.8683101452523
0.31,1058.5664467546396
0.32,1035.2640252451852
0.33,1000.9303032369309
0.34,974.8856914172062
0.35,941.0812410941041
0.36,912.0134830007936
0.37,890.1522658046789
0.38,861.6933922567372
0.39,845.7979321455755
0.4,819.9378283840382
0.41,797.8953188064405
0.42,772.4790239397742
0.43,755.4576420159573
0.44,735.4577964051957
0.45,710.9145884918202
0.46,685.2881497053845
0.47,661.9724703331348
0.48,643.9459976181907
0.49,629.6537174892982
0.5,606.9465370462163
0.51,588.3224296656455
0.52,566.6781447524033
0.53,548.2220965164462
0.54,531.2518452874355
0.55,513.7361841698299
0.56,502.78711458791463
0.57,490.357429468972
0.58,481.2619091696472
0.59,470.01669261753335
0.6,456.4231901003585
0.61,446.5785846181075
0.62,435.072576070002
0.63,427.13455561928293
0.64,418.19591894878914
0.65,406.6998144009385
0.66,396.08395114131787
0.67,389.56845523635724
0.68,382.5955185449121
0.69,375.0600984081756
0.7,364.0219169855969
0.71,353.9854470549364
0.72,343.6813062294257
0.73,338.3895673738164
0.74,330.7299849541676
0.75,324.0504043030841
0.76,317.9418365445629
0.77,310.07615820224606
0.78,302.73962260738915
0.79,295.8177733816197
0.8,290.0148613432034
0.81,283.22183480614996
0.82,281.4649889839421
0.83,273.29546097521643
0.84,265.9546773532155
0.85,261.8631972982743
0.86,257.55805194993377
0.87,254.57965108781718
0.88,246.51613596706648
0.89,239.53935321175527
0.9,234.61701480289815
0.91,228.34284828898484
0.92,223.3518526164988
0.93,216.76015759639935
0.94,208.05193903097586
0.95,203.8089946506679
0.96,201.44597362677595
0.97,196.6159427295861
0.98,182.70994304697962
0.99,163.77348493444305
1,127.74072789856713
