Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,307.2,151.2,578,77070,10120,38030,103.6,13.6,51.12,0.27,0.74,0.26,0.0043,0.0065,0,0.28,45
2,5,585.8,208.2,1275,120800,12340,66100,179.7,18.37,97.62,0.19,0.81,0.19,0,0.013,0,0.54,46.4
3,6,1168,385.9,2239,136500,45280,109900,183.5,60.86,147.7,0.14,0.75,0.25,0,0,0,0.82,38.7
4,7,1856,417.5,3716,135500,45480,111600,188.2,63.17,155,0.11,0.61,0.39,0,0,0,0.86,29
5,8,1409,290.8,2693,134600,23750,109700,180.9,31.92,147.4,0.18,0.66,0.34,0,0,0,0.82,33.3
6,9,761.1,199.9,1414,124600,5258,82650,173.1,7.303,114.8,0.24,0.75,0.25,0,0.022,0,0.64,41.5
7,10,480.6,155.3,760.1,80680,0,49720,108.4,0,66.82,0.36,0.64,0.36,0.02,0.032,0,0.37,37.2
8,11,327,121.4,496.2,49570,0,29110,66.63,0,39.13,0.44,0.55,0.45,0.045,0.11,0,0.22,30.8
9,12,229.1,87.93,341.4,32280,0,19340,44.84,0,26.87,0.46,0.52,0.48,0.079,0.054,0,0.15,30.6
10,1,175.9,68.95,251.8,23550,0,14360,31.65,0,19.3,0.44,0.52,0.48,0.1,0.11,0,0.11,28.7
11,2,175.4,86.34,237.9,23360,0,17820,32.45,0,24.75,0.36,0.62,0.38,0.053,0.026,0,0.14,37.8
12,3,210.3,120.8,286.6,37650,3644,25070,50.61,4.898,33.69,0.3,0.7,0.3,0.0011,0.02,0,0.19,43.4
