Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,245,36.5,27100,24,161,23.6,0.911,0.261,0.21,0.64,0.26,37.9,0
0.65,244,34,24900,24,151,23.5,0.91,0.253,0.2,0.636,0.256,37.7,0
0.66,240,32.9,24400,24,146,23.5,0.909,0.251,0.2,0.63,0.25,37.5,0
0.67,236,32.5,23700,23.8,145,23.3,0.908,0.247,0.2,0.63,0.25,37.2,0
0.68,232,32,23200,23.7,143,23.1,0.908,0.245,0.199,0.63,0.24,37,0
0.69,224,31.5,22900,23.5,140,22.9,0.906,0.24,0.19,0.63,0.24,36.6,0
0.7,221,31,22600,23.5,139,22.8,0.906,0.236,0.18,0.62,0.23,36.3,0
0.71,218,30.6,22200,23.4,137,22.7,0.905,0.234,0.18,0.62,0.23,35.7,0
0.72,209,30.4,22000,23.3,136,22.6,0.904,0.23,0.17,0.61,0.22,35.4,0
0.73,207,29.9,21600,23.2,134,22.5,0.903,0.225,0.16,0.61,0.22,35.2,0
0.74,205,29.5,21200,23.1,132,22.3,0.901,0.223,0.16,0.6,0.21,35,0
0.75,204,28.5,20600,23,129,22.2,0.898,0.22,0.16,0.6,0.21,34.8,0
0.76,200,27.4,19900,22.9,128,22.1,0.898,0.217,0.15,0.59,0.21,34.4,0
0.77,196,27,19800,22.9,123,22.1,0.897,0.207,0.15,0.586,0.2,34.2,0
0.78,195,26.8,19400,22.8,121,22,0.896,0.204,0.15,0.58,0.2,33.9,0
0.79,194,26,19300,22.7,120,21.9,0.894,0.201,0.14,0.58,0.2,33.5,0
0.8,193,24.5,18200,22.6,117,21.6,0.893,0.2,0.14,0.578,0.2,33.1,0
0.81,190,24,17800,22.5,115,21.5,0.892,0.196,0.14,0.57,0.19,31.9,0
0.82,185,23.6,17500,22.3,112,21.3,0.891,0.189,0.136,0.56,0.19,30.8,0
0.83,179,23.3,17200,22.1,110,21,0.891,0.184,0.13,0.56,0.19,29.9,0
0.84,173,22.6,16300,21.9,109,20.6,0.89,0.18,0.13,0.55,0.18,29.4,0
0.85,171,21.9,16100,21.7,106,20.3,0.89,0.177,0.13,0.55,0.18,28.8,0
0.86,167,21.6,15800,21.5,104,20.1,0.889,0.171,0.13,0.55,0.173,27.4,0
0.87,164,21.3,15500,21.3,99.6,19.7,0.887,0.165,0.12,0.54,0.17,26.6,0
0.88,163,19.8,14700,21.1,98.4,19.4,0.875,0.162,0.12,0.53,0.17,24.5,0
0.89,160,19.5,14300,20.9,95.4,19.3,0.783,0.157,0.12,0.525,0.16,23,0
0.9,151,18.5,13800,20.8,88.9,19,0.716,0.15,0.12,0.51,0.16,20.6,0
0.91,149,17.7,13200,20.5,87,18.8,0.692,0.141,0.113,0.493,0.15,19.5,0
0.92,147,16.2,11700,20.4,82,18.7,0.603,0.132,0.11,0.477,0.15,18.2,0
0.93,140,12.7,9190,20.2,77.8,18.4,0.488,0.128,0.101,0.441,0.141,17.1,0
0.94,135,6.71,4830,19.9,68.3,18.1,0.324,0.118,0.0995,0.425,0.14,12.7,0
0.95,130,2.4,1730,19.7,56.1,17.9,0.141,0.0947,0.095,0.39,0.14,5.44,0
0.96,121,0,0,19.1,34.6,17.3,0,0.0851,0.093,0.258,0.134,0,0
0.97,109,0,0,18.7,19.3,16.8,0,0.0793,0.087,0.135,0.13,0,0
0.98,102,0,0,18.2,1.29,16.4,0,0.0712,0.086,0.0121,0.13,0,0
0.99,85.8,0,0,17.9,0,16,0,0.0708,0.081,0,0.126,0,0
1,58.7,0,0,17,0,15.1,0,0.0708,0.076,0,0.11,0,0
