Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,311.3,158.6,569,75530,11540,38710,101.5,15.51,52.02,0.26,0.74,0.26,0.0032,0.0065,0,0.29,45.4
2,5,745.5,222.4,1577,119100,17840,79100,177.2,26.54,116.8,0.16,0.81,0.19,0,0.006,0,0.65,45.3
3,6,1549,439.7,2818,140100,53770,116900,188.4,72.27,157.1,0.12,0.67,0.33,0,0,0,0.87,32.9
4,7,2649,521.5,5300,134800,39730,104400,187.2,55.18,145,0.091,0.49,0.51,0,0,0.013,0.81,21.1
5,8,2029,364.8,3621,134800,35410,110800,181.1,47.59,148.9,0.15,0.56,0.44,0,0,0,0.83,26.1
6,9,1027,237.2,1821,126900,17930,98010,176.3,24.9,136.1,0.21,0.73,0.27,0,0.0022,0,0.76,38.9
7,10,576.2,177.1,852.1,90560,0,60220,121.7,0,80.94,0.34,0.67,0.33,0.0011,0.032,0,0.45,38.2
8,11,375.8,132.4,529.9,51800,0,34970,69.63,0,47,0.42,0.58,0.42,0.026,0.046,0,0.26,33.5
9,12,256.2,95.41,351.6,33790,0,22340,46.93,0,31.02,0.45,0.54,0.46,0.034,0.041,0,0.17,32.5
10,1,192.8,74.47,253.4,23830,0,16460,32.03,0,22.13,0.44,0.55,0.45,0.044,0.11,0,0.12,30.7
11,2,187.7,90.96,237.9,23450,0,18220,32.57,0,25.3,0.37,0.63,0.37,0.024,0.068,0,0.14,36.7
12,3,218.4,125.2,296.8,37430,8747,26430,50.31,11.76,35.53,0.29,0.71,0.29,0,0.0065,0,0.2,44.5
