date,flow,datetime,conversionFactor,exceedance
1924-10-01,100,-1428019200000,1.3646025287737522,0.001
1924-10-02,100,-1427932800000,1.3646025287737522,0.001
1924-10-03,100,-1427846400000,1.3646025287737522,0.001
1924-10-04,100,-1427760000000,1.3646025287737522,0.001
1924-10-05,100,-1427673600000,1.3646025287737522,0.001
1924-10-06,100,-1427587200000,1.3646025287737522,0.001
1924-10-07,100,-1427500800000,1.3646025287737522,0.001
1924-10-08,100,-1427414400000,1.3646025287737522,0.001
1924-10-09,100,-1427328000000,1.3646025287737522,0.001
1924-10-10,100,-1427241600000,1.3646025287737522,0.001
1924-10-11,100,-1427155200000,1.3646025287737522,0.001
1924-10-12,100,-1427068800000,1.3646025287737522,0.001
1924-10-13,100,-1426982400000,1.3646025287737522,0.001
1924-10-14,100,-1426896000000,1.3646025287737522,0.001
1924-10-15,100,-1426809600000,1.3646025287737522,0.001
1924-10-16,100,-1426723200000,1.3646025287737522,0.001
1924-10-17,100,-1426636800000,1.3646025287737522,0.001
1924-10-18,100,-1426550400000,1.3646025287737522,0.001
1924-10-19,100,-1426464000000,1.3646025287737522,0.001
1924-10-20,100,-1426377600000,1.3646025287737522,0.001
1924-10-21,100,-1426291200000,1.3646025287737522,0.001
1924-10-22,100,-1426204800000,1.3646025287737522,0.001
1924-10-23,100,-1426118400000,1.3646025287737522,0.001
1924-10-24,100,-1426032000000,1.3646025287737522,0.001
1924-10-25,100,-1425945600000,1.3646025287737522,0.001
1924-10-26,100,-1425859200000,1.3646025287737522,0.001
1924-10-27,100,-1425772800000,1.3646025287737522,0.001
1924-10-28,100,-1425686400000,1.3646025287737522,0.001
1924-10-29,100,-1425600000000,1.3646025287737522,0.001
1924-10-30,100,-1425513600000,1.3646025287737522,0.001
1924-10-31,100,-1425427200000,1.3646025287737522,0.001
1924-11-01,109.1401,-1425340800000,1.2257548833451006,0.002
1924-11-02,111.1589,-1425254400000,1.2257548833451006,0.002
1924-11-03,111.1589,-1425168000000,1.2257548833451006,0.002
1924-11-04,113.2011,-1425081600000,1.2257548833451006,0.002
1924-11-05,115.2667,-1424995200000,1.1082188342215673,0.003
1924-11-06,115.2667,-1424908800000,1.1082188342215673,0.003
1924-11-07,115.2667,-1424822400000,1.1082188342215673,0.003
1924-11-08,115.2667,-1424736000000,1.1082188342215673,0.003
1924-11-09,115.2667,-1424649600000,1.1082188342215673,0.003
1924-11-10,115.2667,-1424563200000,1.1082188342215673,0.003
1924-11-11,115.2667,-1424476800000,1.1082188342215673,0.003
1924-11-12,117.3559,-1424390400000,1.1082188342215673,0.003
1924-11-13,119.4689,-1424304000000,1.1082188342215673,0.003
1924-11-14,121.6056,-1424217600000,1.1082188342215673,0.003
1924-11-15,125.951,-1424131200000,1.0667960793697497,0.004
1924-11-16,128.1598,-1424044800000,1.0667960793697497,0.004
1924-11-17,128.1598,-1423958400000,1.0667960793697497,0.004
1924-11-18,128.1598,-1423872000000,1.0667960793697497,0.004
1924-11-19,128.1598,-1423785600000,1.0667960793697497,0.004
1924-11-20,128.1598,-1423699200000,1.0667960793697497,0.004
1924-11-21,132.6503,-1423612800000,1.0667960793697497,0.004
1924-11-22,134.9323,-1423526400000,1.09142432752872,0.005
1924-11-23,132.6503,-1423440000000,1.0667960793697497,0.004
1924-11-24,132.6503,-1423353600000,1.0667960793697497,0.004
1924-11-25,132.6503,-1423267200000,1.0667960793697497,0.004
1924-11-26,132.6503,-1423180800000,1.0667960793697497,0.004
1924-11-27,134.9323,-1423094400000,1.09142432752872,0.005
1924-11-28,134.9323,-1423008000000,1.09142432752872,0.005
1924-11-29,134.9323,-1422921600000,1.09142432752872,0.005
1924-11-30,144.3068,-1422835200000,1.0794591956380302,0.006
1924-12-01,144.3068,-1422748800000,1.0794591956380302,0.006
1924-12-02,149.1437,-1422662400000,1.0612546633053326,0.008
1924-12-03,156.5885,-1422576000000,1.052904658416414,0.011
1924-12-04,159.1211,-1422489600000,1.0450337684997384,0.012
1924-12-05,164.2633,-1422403200000,1.0573910304806668,0.015
1924-12-06,164.2633,-1422316800000,1.0573910304806668,0.015
1924-12-07,172.1708,-1422230400000,1.035257976801101,0.018
1924-12-08,177.5733,-1422144000000,1.0289268884848095,0.021
1924-12-09,185.8753,-1422057600000,1.0305798487824709,0.027
1924-12-10,185.8753,-1421971200000,1.0305798487824709,0.027
1924-12-11,185.8753,-1421884800000,1.0305798487824709,0.027
1924-12-12,188.6959,-1421798400000,1.0348067567682437,0.029
1924-12-13,191.5433,-1421712000000,1.0264830079130207,0.032
1924-12-14,200.2476,-1421625600000,1.0059844593731757,0.042
1924-12-15,209.197,-1421539200000,0.9746708472695993,0.054
1924-12-16,231.0479,-1421452800000,0.9666906845571798,0.083
1924-12-17,257.7185,-1421366400000,0.9405289074563293,0.115
1924-12-18,264.675,-1421280000000,0.9456252852152608,0.126
1924-12-19,264.675,-1421193600000,0.9456252852152608,0.126
1924-12-20,261.1822,-1421107200000,0.9438473830416715,0.12
1924-12-21,264.675,-1421020800000,0.9456252852152608,0.126
1924-12-22,275.3297,-1420934400000,0.9420321081231394,0.143
1924-12-23,282.5805,-1420848000000,0.9311122250012364,0.157
1924-12-24,286.2506,-1420761600000,0.9290973620778978,0.162
1924-12-25,289.9506,-1420675200000,0.927402977303044,0.167
1924-12-26,282.5805,-1420588800000,0.9311122250012364,0.157
1924-12-27,286.2506,-1420502400000,0.9290973620778978,0.162
1924-12-28,293.6805,-1420416000000,0.9305876998139694,0.174
1924-12-29,305.0513,-1420329600000,0.9284400191251436,0.19
1924-12-30,301.2308,-1420243200000,0.9343831672722115,0.183
1924-12-31,305.0513,-1420156800000,0.9284400191251436,0.19
1925-01-01,301.2308,-1420070400000,0.9343831672722115,0.183
1925-01-02,301.2308,-1419984000000,0.9343831672722115,0.183
1925-01-03,301.2308,-1419897600000,0.9343831672722115,0.183
1925-01-04,305.0513,-1419811200000,0.9284400191251436,0.19
1925-01-05,316.6956,-1419724800000,0.930220699938836,0.208
1925-01-06,328.6161,-1419638400000,0.930968109913931,0.224
1925-01-07,353.2963,-1419552000000,0.9270838991991038,0.256
1925-01-08,387.9749,-1419465600000,0.9123926497691898,0.292
1925-01-09,379.1131,-1419379200000,0.9161450219466364,0.284
1925-01-10,415.3399,-1419292800000,0.9211624468174431,0.32
1925-01-11,488.9841,-1419206400000,0.9132783348540525,0.394
1925-01-12,458.6166,-1419120000000,0.9206200548270042,0.366
1925-01-13,520.5884,-1419033600000,0.9178281811360273,0.418
1925-01-14,629.0591,-1418947200000,0.9159860162741637,0.487
1925-01-15,635.1294,-1418860800000,0.9263032535820975,0.493
1925-01-16,629.0591,-1418774400000,0.9159860162741637,0.487
1925-01-17,581.8096,-1418688000000,0.9131025773507956,0.46
1925-01-18,576.0661,-1418601600000,0.9115652606049804,0.456
1925-01-19,581.8096,-1418515200000,0.9131025773507956,0.46
1925-01-20,593.4044,-1418428800000,0.9144774594268131,0.467
1925-01-21,599.256,-1418342400000,0.9148378931816222,0.47
1925-01-22,635.1294,-1418256000000,0.9263032535820975,0.493
1925-01-23,641.2365,-1418169600000,0.9248761544170866,0.496
1925-01-24,666.0345,-1418083200000,0.9305465079570391,0.507
1925-01-25,697.8704,-1417996800000,0.9292088949001036,0.524
1925-01-26,678.6565,-1417910400000,0.9310192633965083,0.514
1925-01-27,672.3268,-1417824000000,0.9365292555484894,0.512
1925-01-28,672.3268,-1417737600000,0.9365292555484894,0.512
1925-01-29,691.4282,-1417651200000,0.9313273563591864,0.521
1925-01-30,717.4235,-1417564800000,0.930610916732344,0.533
1925-01-31,697.8704,-1417478400000,0.9292088949001036,0.524
1925-02-01,697.8704,-1417392000000,0.9292088949001036,0.524
1925-02-02,737.3183,-1417305600000,0.9360713308049433,0.542
1925-02-03,792.06,-1417219200000,0.9410754521107954,0.566
1925-02-04,849.2947,-1417132800000,0.9394799223478499,0.592
1925-02-05,1053.074,-1417046400000,0.932534846846895,0.665
1925-02-06,1238.2939,-1416960000000,0.9400954070308627,0.712
1925-02-07,1095.466,-1416873600000,0.9261252270019528,0.676
1925-02-08,1219.8351,-1416787200000,0.9405468484288259,0.707
1925-02-09,1294.7235,-1416700800000,0.9301480654769908,0.722
1925-02-10,1192.4734,-1416614400000,0.9418678405684808,0.701
1925-02-11,1183.4396,-1416528000000,0.9342972506170338,0.699
1925-02-12,1201.5505,-1416441600000,0.9378023037902563,0.703
1925-02-13,1342.9646,-1416355200000,0.9275182126680632,0.732
1925-02-14,1219.8351,-1416268800000,0.9405468484288259,0.707
1925-02-15,1229.0427,-1416182400000,0.9400253968868169,0.709
1925-02-16,1238.2939,-1416096000000,0.9400954070308627,0.712
1925-02-17,1294.7235,-1416009600000,0.9301480654769908,0.722
1925-02-18,1266.3107,-1415923200000,0.93741985191542,0.716
1925-02-19,1247.589,-1415836800000,0.9421100851698696,0.714
1925-02-20,1247.589,-1415750400000,0.9421100851698696,0.714
1925-02-21,1266.3107,-1415664000000,0.93741985191542,0.716
1925-02-22,1285.2084,-1415577600000,0.9335704330548052,0.72
1925-02-23,1266.3107,-1415491200000,0.93741985191542,0.716
1925-02-24,1247.589,-1415404800000,0.9421100851698696,0.714
1925-02-25,1247.589,-1415318400000,0.9421100851698696,0.714
