exceedance,vicFallsFull,sioma,vicFallsOverlap,vicFallsRatio,vicFallsRatioSmoothed,ngonyeScaled,conversionFactor
0,92.0043,149.95666930382853,96.8024,0.9504340801467732,0.9504340801467732,142.52392905165814,1.549100738244388
0.001,100,151.6077989073725,111.10033560000001,0.9000872901053595,0.9000872901053595,136.4602528773752,1.3646025287737522
0.002,107.1446,152.43605499808862,124.3609608,0.8615613719188956,0.8615613719188956,131.33301667405746,1.2257548833451006
0.003,115.2667,154.09793972039233,139.0501,0.8289580518101031,0.8289580518101031,127.74072789856713,1.1082188342215673
0.004,125.951,155.76697455026624,146.0138236,0.8625964096730907,0.8625964096730907,134.36403299269935,1.0667960793697497
0.005,134.1346,160.04428054015645,146.638,0.9147328796082871,0.9147328796082871,146.39776560333385,1.09142432752872
0.006,139.5699,163.90659550855239,151.8414,0.919182120291304,0.919182120291304,150.6600119892803,1.0794591956380302
0.007,146.638,165.0737743513018,154.487,0.9491931359920253,0.9491931359920253,156.6868935465521,1.0685285774939108
0.008,148.2767904,166.78890539439266,157.162,0.9434646441251703,0.9434646441251703,157.35943527194738,1.0612546633053326
0.009,151.5999,168.51107117415808,158.9738064,0.953615588838288,0.953615588838288,160.69478436351542,1.0599926804932946
0.01,154.0815,170.24025685256404,162.0518,0.950816343909787,0.9594887404253881,163.34360961716123,1.0601117565519627
0.011,156.5885,171.10747755036653,162.601,0.9630229826384832,0.9635625716936149,164.87276110443864,1.052904658416414
0.012,159.1211,171.97644771389704,162.601,0.9785985326043506,0.9669168365278803,166.28692278082374,1.0450337684997384
0.013,161.6793,172.15668630028142,165.3653,0.977709954869613,0.9724502566726111,167.41381378061484,1.0354684476034646
0.014,161.6793,173.71962916301763,165.3653,0.977709954869613,0.9794764932569271,170.1542931824863,1.052418542030342
0.015,162.601,174.59383682956306,168.1596,0.9669444979650283,0.9847589243085724,171.93283894718692,1.0573910304806668
0.016,166.8731,174.59383682956306,168.1596,0.992349529851403,0.9885146823304732,172.588571150434,1.034250404351774
0.017,168.1596,176.31500251179452,168.1596,1,0.9925372716467268,174.9992115434423,1.0406733338057552
0.018,170.984,177.2269060366709,170.984,1,0.998790498936617,177.01254990535946,1.035257976801101
0.019,173.8388,178.10807189475102,172.9930648,1.0048888387576562,1.007639909718846,179.46880148422466,1.0323863342603876
0.02,174.8589,178.99097285853009,173.8388,1.0058680800833877,1.0116349380330054,181.07352173620643,1.035540780230268
0.021,177.5733,180.5129042432946,173.8388,1.0214825458988441,1.0121710899998808,182.70994304697962,1.0289268884848095
0.022,179.6399,180.76197305957083,174.5957632,1.0288903734406312,1.0149079143754391,183.45675707627836,1.0212472678746667
