Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,360,162.2,724.8,92460,12220,45550,124.3,16.42,61.22,0.24,0.77,0.23,0.0043,0.0054,0,0.34,46.2
2,5,765.4,227,1676,124100,20210,81530,184.6,30.07,120.4,0.16,0.81,0.19,0,0.0024,0,0.67,45.7
3,6,1251,366.3,2420,140000,42140,113100,188.2,56.64,152,0.13,0.74,0.26,0,0,0,0.84,37.9
4,7,1726,359,3484,136800,36700,111700,190.1,50.97,155.2,0.12,0.63,0.37,0,0,0,0.86,30.5
5,8,1226,248.2,2200,134900,14690,107700,181.3,19.75,144.8,0.2,0.69,0.31,0,0.0065,0,0.8,35.7
6,9,664.8,173.6,1079,113900,0,74690,158.2,0,103.7,0.25,0.74,0.26,0.014,0.019,0,0.58,42
7,10,433.3,137.7,654.4,68200,0,44460,91.66,0,59.76,0.37,0.63,0.37,0.033,0.04,0,0.33,36.4
8,11,298.2,106.5,431.2,39740,0,26040,53.42,0,35,0.45,0.54,0.46,0.06,0.12,0,0.19,29.7
9,12,207.6,72.03,296.3,26550,0,17020,36.88,0,23.64,0.48,0.5,0.5,0.12,0.069,0,0.13,29.1
10,1,163.5,58.98,223.1,20800,0,13960,27.95,0,18.77,0.44,0.52,0.48,0.13,0.077,0,0.1,29.7
11,2,170.6,82.48,229.2,23040,0,17250,32,0,23.96,0.36,0.62,0.38,0.062,0.037,0,0.13,37.5
12,3,212.5,118.6,296,39170,983.3,25300,52.65,1.322,34,0.29,0.71,0.29,0.0011,0.034,0,0.19,43.2
