Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,266,40.1,29800,23.8,179,23.3,0.914,0.297,0.2,0.62,0.26,37.5,0
0.65,261,38.9,28200,23.8,174,23.2,0.913,0.286,0.2,0.62,0.26,37.2,0
0.66,253,37.3,27500,23.7,165,23.1,0.913,0.278,0.19,0.62,0.26,36.8,0
0.67,248,35.9,26600,23.6,160,23,0.912,0.263,0.18,0.615,0.25,36.4,0
0.68,245,34.4,25500,23.6,153,22.9,0.912,0.259,0.18,0.61,0.249,36.3,0
0.69,240,34.2,24800,23.5,151,22.9,0.91,0.255,0.18,0.61,0.24,36.2,0
0.7,238,32.9,24000,23.5,147,22.8,0.909,0.252,0.17,0.61,0.237,36.1,0
0.71,234,32.6,23400,23.3,145,22.6,0.908,0.245,0.17,0.61,0.23,36,0
0.72,230,32.1,23200,23.2,143,22.4,0.908,0.243,0.165,0.6,0.22,35.9,0
0.73,225,31.2,22700,23.1,139,22.3,0.906,0.239,0.16,0.6,0.21,35.7,0
0.74,223,31,22500,23,138,22.2,0.906,0.235,0.16,0.59,0.21,35.5,0
0.75,219,30.5,22300,22.9,137,22.1,0.905,0.235,0.16,0.59,0.21,35.4,0
0.76,215,30.3,22000,22.7,135,21.8,0.904,0.231,0.16,0.582,0.21,35,0
0.77,214,29.7,21700,22.6,133,21.7,0.903,0.227,0.15,0.58,0.2,34.8,0
0.78,212,29,21100,22.5,130,21.6,0.901,0.222,0.15,0.58,0.2,34.6,0
0.79,210,28.5,20800,22.4,128,21.5,0.9,0.218,0.144,0.58,0.2,34.5,0
0.8,205,28.1,20300,22.2,126,21.1,0.899,0.212,0.14,0.58,0.19,34.4,0
0.81,203,27.9,20100,22.1,125,20.9,0.899,0.209,0.14,0.57,0.19,34,0
0.82,200,27.4,19900,22,123,20.8,0.898,0.207,0.14,0.57,0.19,33.6,0
0.83,196,26.7,19600,22,120,20.8,0.897,0.203,0.13,0.57,0.18,33.4,0
0.84,190,25.8,19200,21.9,116,20.7,0.894,0.197,0.13,0.56,0.18,32.4,0
0.85,182,25.4,18900,21.8,114,20.4,0.894,0.191,0.13,0.56,0.18,31.9,0
0.86,179,24.9,18500,21.4,112,19.8,0.893,0.187,0.12,0.56,0.17,31.3,0
0.87,178,24.7,18300,21,111,19.5,0.893,0.185,0.12,0.55,0.17,30.1,0
0.88,175,24.1,17900,20.9,109,19.1,0.892,0.182,0.12,0.55,0.17,28.1,0
0.89,172,23.5,17300,20.7,106,19.1,0.891,0.176,0.12,0.545,0.17,27.6,0
0.9,167,23,16800,20.5,104,18.7,0.891,0.17,0.11,0.54,0.16,26.3,0
0.91,163,21.8,15900,20.1,98.5,18.3,0.89,0.162,0.11,0.523,0.15,25.7,0
0.92,157,20.3,14900,20,91.4,18.1,0.889,0.151,0.11,0.51,0.15,25.3,0
0.93,150,19.6,14500,19.6,88.6,17.8,0.888,0.148,0.101,0.49,0.15,23.9,0
0.94,147,18.7,13900,19.3,84.3,17.4,0.887,0.135,0.0975,0.465,0.145,22,0
0.95,139,16.6,12000,19.2,75.1,17.3,0.872,0.121,0.091,0.45,0.14,19.8,0
0.96,130,14.8,10800,18.9,68.7,17.1,0.854,0.111,0.088,0.427,0.14,18.5,0
0.97,124,11.6,8410,18.6,56.8,16.7,0.8,0.0961,0.0838,0.385,0.13,16.4,0
0.98,113,8.71,6310,18,43.4,16.1,0.643,0.0826,0.0814,0.325,0.13,14.3,0
0.99,96.9,1.67,1200,17.4,8.64,15.5,0.142,0.0729,0.079,0.0802,0.12,4.33,0
1,70.5,0,0,16.1,0,14.2,0,0.0708,0.076,0,0.12,0,0
