Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,253.8,125.7,440.9,58960,4040,29690,79.24,5.431,39.9,0.32,0.68,0.32,0.014,0.011,0,0.22,42
2,5,443.2,175.7,939.7,107400,5963,50310,159.8,8.873,74.32,0.23,0.77,0.23,0,0.034,0,0.41,44.9
3,6,803.3,259.8,1547,141100,25500,91420,189.7,34.28,122.9,0.18,0.79,0.21,0,0,0,0.68,43.5
4,7,1282,275.3,2792,136900,24140,107800,190.1,33.52,149.8,0.14,0.71,0.29,0,0,0,0.83,36.5
5,8,916.1,200.9,1850,137700,4337,94590,185,5.83,127.1,0.24,0.72,0.28,0.016,0.0065,0,0.71,38.8
6,9,533.8,146.4,884.3,102600,0,59500,142.5,0,82.65,0.3,0.69,0.31,0.039,0.027,0,0.46,40
7,10,358.1,115.8,578.7,61450,0,34840,82.59,0,46.83,0.41,0.58,0.42,0.069,0.1,0,0.26,32.6
8,11,250.4,88.38,391.4,38280,0,20400,51.45,0,27.42,0.48,0.5,0.5,0.12,0.19,0,0.15,25.8
9,12,177.7,62.13,275.3,25380,0,13700,35.24,0,19.03,0.51,0.45,0.55,0.23,0.068,0,0.11,25.6
10,1,142.6,50.6,210.6,20400,0,11210,27.42,0,15.07,0.46,0.48,0.52,0.22,0.13,0,0.084,25.4
11,2,149.3,70.37,212,23520,0,13920,32.67,0,19.33,0.38,0.58,0.41,0.11,0.12,0,0.11,32.3
12,3,183,103.2,240.9,30490,0,20150,40.98,0,27.09,0.34,0.64,0.36,0.043,0.026,0,0.15,39.4
