date,waterYear,waterMonth,waterWeek,flowMean,eFlowMean,eFlowProportionMean,canalFlowMean,headPondLevelMean,tailwaterLevelMean,grossHeadMean,totalHeadlossMean,netHeadMean,unitEfficiencyMean,generatorEfficiencyMean,totalEfficiencyMean,unitPowerMean,generatorPowerMean,plantPowerMean,energy
1924-10-01,1924,1,1,111.4,52,0.467,59.41,990,964.5,25.5,0.0943,25.41,0,0,0,0,0,0,0
1924-10-06,1924,1,1,111.4,52,0.467,59.41,990,964.5,25.5,0.0943,25.41,0,0,0,0,0,0,0
1924-10-13,1924,1,2,111.4,52,0.467,59.41,990,964.5,25.5,0.0943,25.41,0,0,0,0,0,0,0
1924-10-20,1924,1,3,123,52,0.423,71.04,990,964.5,25.5,0.112,25.39,0.797,0.823,0.765,14.48,13.9,13.9,2335.22
1924-10-27,1924,1,4,126.9,51.43,0.405,75.52,990,964.5,25.5,0.119,25.38,0.935,0.96,0.897,17.57,16.87,16.87,2833.8
1924-11-03,1924,2,5,137.7,50,0.363,87.75,990,964.5,25.5,0.141,25.36,0.924,0.963,0.89,20.16,19.42,19.42,3263.13
1924-11-10,1924,2,6,144.1,50,0.347,94.1,990,964.5,25.5,0.152,25.35,0.917,0.966,0.886,21.45,20.72,20.72,3481.01
1924-11-17,1924,2,7,156.9,50,0.32,106.9,990,964.5,25.5,0.175,25.34,0.918,0.969,0.89,24.4,23.64,23.64,3971.97
1924-11-24,1924,2,8,184.2,50,0.272,134.2,990,964.4,25.6,0.224,25.34,0.932,0.97,0.904,31.1,30.16,30.16,5067.3
1924-12-01,1924,3,9,215,59,0.277,156,990,964.5,25.5,0.264,25.23,0.94,0.973,0.915,36.29,35.34,35.34,5937.89
1924-12-08,1924,3,10,259.4,59,0.228,200.4,990,964.7,25.3,0.344,24.92,0.954,0.98,0.935,46.72,45.73,45.73,7682.54
1924-12-15,1924,3,11,277.2,59,0.213,218.2,990,964.8,25.2,0.376,24.82,0.958,0.98,0.939,50.88,48.1,48.1,8080.76
1924-12-22,1924,3,12,303.3,59,0.196,244.3,990,964.9,25.1,0.325,24.75,0.943,0.974,0.919,39.06,36.93,53.2,8938.41
1924-12-29,1924,3,13,451.6,67,0.151,384.6,990,965.6,24.4,0.436,23.94,0.946,0.973,0.921,37.57,36.58,82.89,13926.2
1925-01-05,1924,4,14,532.1,79.71,0.149,452.4,990,966,24,0.555,23.45,0.956,0.979,0.935,47.22,45.92,96.67,16239.9
1925-01-12,1924,4,15,592.2,120,0.203,472.2,990,966.3,23.7,0.576,23.16,0.954,0.977,0.932,46.11,44.09,97.93,16452.6
1925-01-19,1924,4,16,707.6,120,0.174,587.6,990,966.7,23.3,0.68,22.59,0.95,0.974,0.926,39.01,38.03,120,20156.8
1925-01-26,1924,4,17,1109,126,0.114,982.5,990,968.2,21.8,1.32,20.44,0.955,0.98,0.936,47.01,46.01,184,30917.9
