waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1924,365,846.9,192.8,0,96.68,992.1,111.4,3452,15.5,25.6,13.6,25.4,1.87,0.0943,31.3,4.47,17.9,0.247,0.053,0.531,0,20,0,0,0.055,0,0.537,0.41,0.06,0.1,0.42,0,20,0.0547945205479452,13.4,0.14,0.57,0.43,27.1,0.6027777777777783,-0.00715123094958971,-0.09537572254335262,-0.09809090909090908
1925,365,786,192.8,0,89.73,1112,158.5,4501,13.4,25.6,11.5,25.4,1.87,0.175,35.1,4.69,16.9,0.234,0.0407,0.571,0,2,0,0,0.0055,0,0.498,0.33,0.09,0.23,0.35,0,2,0.005479452054794521,18.2,0.13,0.48,0.52,22.4,0.8455156950672645,-0.07854630715123095,0.014450867052023121,0.01090909090909091
1926,365,870.4,192.8,0,99.37,990.4,192.9,3313,15.8,25.6,13.9,25.4,1.87,0.165,31.2,4.9,18.2,0.253,0.0655,0.498,0,18,0,0,0.049,0,0.552,0.39,0.068,0.18,0.36,0,18,0.049315068493150684,13,0.16,0.58,0.42,27.9,0.37875000000000014,0.020398593200468905,-0.09826589595375729,-0.09963636363636366
1927,366,847.2,192.8,23.61,96.44,848.1,179.8,2261,18.3,25.6,16.4,25.4,1.87,0.178,26.8,4.37,16.9,0.247,0.0655,0.472,0,0,0,0,0,0,0.537,0.32,0.12,0.18,0.39,0,0,0,9.9,0.16,0.63,0.37,31.6,0.6,-0.006799531066822924,-0.2254335260115607,-0.22899999999999998
1928,365,760.1,192.8,24.42,86.77,564.5,195.2,1589,20.2,25.6,18.4,25.4,1.86,0.189,17.8,3.48,13.8,0.257,0.0931,0.499,0,0,0,0,0,0,0.482,0.18,0.18,0.23,0.41,0,0,0,4,0.2,0.78,0.22,42.7,0.9124688279301746,-0.10890973036342319,-0.48554913294797686,-0.4868181818181818
1929,365,884.7,192.8,25.76,101,720.2,188.7,2188,18.4,25.6,16.6,25.4,1.87,0.194,22.7,4.37,16.6,0.252,0.0878,0.456,0,0,0,0,0,0,0.561,0.25,0.21,0.24,0.3,0,0,0,6.1,0.19,0.73,0.27,39,0.3126923076923075,0.037162954279015295,-0.3439306358381503,-0.34527272727272723
1930,365,822.3,192.8,0,93.87,942.6,201.2,3356,15.7,25.6,13.8,25.4,1.87,0.183,29.7,4.92,16.8,0.26,0.054,0.565,0,7,0,0,0.019,0,0.522,0.29,0.13,0.28,0.3,0,7,0.019178082191780823,12.9,0.17,0.57,0.43,27.7,0.7120967741935483,-0.03599062133645961,-0.14161849710982666,-0.14309090909090907
1931,366,915,192.8,30.86,104.2,1065,236.2,3803,14.7,25.4,12.9,25.1,1.87,0.239,33.7,5.29,18.9,0.253,0.0628,0.479,0,0,0,0,0,0,0.58,0.39,0.11,0.2,0.3,0,0,0,14.8,0.16,0.56,0.44,27.2,0.19095744680851048,0.07268464243845252,-0.026011560693641578,-0.031818181818181815
1932,365,766.2,192.8,0,87.47,583.1,188.7,1617,20.1,25.6,18.3,25.4,1.86,0.165,18.4,3.48,14.2,0.262,0.0892,0.497,0,20,0,0,0.055,0,0.486,0.24,0.14,0.21,0.41,0,20,0.0547945205479452,4.2,0.19,0.77,0.23,41.6,0.9048628428927681,-0.10175849941383347,-0.4682080924855492,-0.4699090909090909
1933,365,809,192.8,23.51,92.35,1218,158.5,5589,11.6,25.6,9.78,25.4,1.87,0.175,38.4,5.18,17.7,0.241,0.0428,0.507,0,0,0,0,0,0,0.513,0.33,0.15,0.21,0.32,0,0,0,20.7,0.13,0.46,0.54,21.1,0.7795454545454543,-0.05158264947245018,0.10982658959537564,0.10727272727272727
1934,365,874.8,192.8,0,99.86,952.3,178.3,3279,15.8,25.6,14,25.4,1.87,0.148,30,4.82,17.8,0.258,0.0716,0.522,0,10,0,0,0.027,0,0.555,0.35,0.12,0.21,0.33,0,10,0.0273972602739726,12.2,0.16,0.59,0.41,29.2,0.3512500000000003,0.0255568581477139,-0.13294797687861276,-0.13427272727272732
1935,366,824.4,192.8,0,93.86,809.1,189.2,2497,17.7,25.6,15.8,25.4,1.87,0.161,25.6,4.25,16.4,0.25,0.0624,0.491,0,14,0,0,0.038,0,0.523,0.3,0.12,0.24,0.35,0,14,0.038356164383561646,9.2,0.17,0.64,0.36,32.2,0.7036290322580644,-0.03352872215709264,-0.26011560693641617,-0.26445454545454544
1936,365,847,192.8,0,96.69,1197,201.2,3600,15.2,25.6,13.3,25.4,1.87,0.176,37.7,5.58,18.7,0.258,0.0502,0.544,0,14,0,0,0.038,0,0.537,0.39,0.074,0.22,0.31,0,14,0.038356164383561646,19,0.15,0.5,0.5,22.5,0.6018518518518522,-0.007033997655334115,0.08959537572254339,0.08818181818181818
