waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1924,365,886,192.8,19.22,101.1,998.1,127.7,3456,31.5,3.86,18.5,0.2,0.0463,0.46,0,0,0,0,0,0,0.562,0.42,0.085,0.12,0.38,0,0,0,13,0.12,0.59,0.41,28.1,0.5553691275167787,-0.0022522522522522522,-0.09742120343839537,-0.1008108108108108
1925,365,821.8,192.8,26.08,93.81,1125,158.3,4582,35.5,4.04,17.5,0.194,0.0349,0.498,0,0,0,0,0,0,0.521,0.34,0.12,0.21,0.33,0,0,0,18,0.11,0.49,0.51,23.1,0.8444444444444446,-0.0745495495495496,0.01719197707736394,0.013513513513513514
1926,365,911,192.8,0,104,998.2,195.3,3284,31.5,4.25,18.8,0.212,0.0582,0.414,0,5,0,0,0.014,0,0.578,0.4,0.096,0.18,0.33,0,5,0.0136986301369863,12.7,0.13,0.6,0.4,28.9,0.3477272727272726,0.0259009009009009,-0.09742120343839537,-0.10072072072072068
1927,366,882.5,192.8,26.83,100.5,858.7,178.2,2291,27.2,3.83,17.5,0.209,0.0537,0.4,0,0,0,0,0,0,0.56,0.33,0.14,0.17,0.36,0,0,0,9.7,0.14,0.64,0.36,32.4,0.5671140939597317,-0.006193693693693694,-0.22063037249283665,-0.22639639639639636
1928,365,801.4,192.8,28.57,91.48,572.3,199.9,1571,18,2.95,14.5,0.212,0.0783,0.411,0,0,0,0,0,0,0.508,0.21,0.17,0.27,0.36,0,0,0,3.5,0.16,0.81,0.19,44.5,0.9005296610169492,-0.09752252252252255,-0.48424068767908307,-0.48441441441441446
1929,365,935.5,192.8,29.09,106.8,730.1,187.6,2220,23,3.72,17.5,0.208,0.0766,0.39,0,0,0,0,0,0,0.593,0.31,0.2,0.24,0.26,0,0,0,5.5,0.16,0.76,0.24,40.7,0.24696969696969698,0.05349099099099099,-0.34097421203438394,-0.34225225225225225
1930,365,872.4,192.8,28.9,99.59,951.1,203.8,3334,30,4.21,17.6,0.214,0.0448,0.488,0,0,0,0,0,0,0.553,0.3,0.16,0.24,0.3,0,0,0,12.4,0.14,0.59,0.41,29.1,0.6020270270270275,-0.017567567567567593,-0.14040114613180513,-0.14315315315315313
1931,366,958.7,192.8,34.6,109.1,1074,236.2,3818,34,4.52,19.7,0.211,0.0426,0.414,0,0,0,0,0,0,0.608,0.41,0.17,0.17,0.25,0,0,0,14.3,0.13,0.58,0.42,28.2,0.17433333333333317,0.07961711711711716,-0.025787965616045804,-0.032432432432432434
1932,365,818.2,192.8,0,93.4,591.3,187.6,1596,18.6,2.89,15,0.212,0.0747,0.4,0,5,0,0,0.014,0,0.519,0.25,0.15,0.21,0.39,0,5,0.0136986301369863,3.6,0.16,0.81,0.19,44,0.8549723756906076,-0.07860360360360355,-0.46704871060171915,-0.46729729729729735
1933,365,828.6,192.8,0,94.59,1232,158.3,5661,38.9,4.51,18.3,0.207,0.0373,0.438,0,0,7,0,0,0.019,0.526,0.34,0.16,0.2,0.3,0,7,0.019178082191780823,20.6,0.12,0.47,0.53,21.3,0.8234567901234568,-0.06689189189189186,0.11461318051575932,0.10990990990990991
