exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.83,273.86,0.83,23.2,4.1,3.11,2.4,54.7,87.5,0.32,186.4,0.68,186.4,0,0,0,0,-2.4,2.4,23.2,4.1,3.11,0,57.1,217,990,964.8,25.2,0.112,0.0116,0.00046,0.124,0.00491,1.0237388724035608,0.19,0.314,0.0125,24.9,0.949,0.978,0.929,42.6,41.6,42.2,341000
0.84,267.28,0.84,22.8,3.96,2.94,2.38,53.6,85.7,0.32,181.6,0.68,181.6,0,0,0,0,-2.38,2.38,22.8,3.96,2.94,0,56,211,990,964.8,25.2,0.11,0.0112,0.000443,0.121,0.00481,1,0.188,0.309,0.0122,24.9,0.949,0.978,0.927,42.1,41.1,41.1,408000
0.85,262.21,0.85,22.9,3.95,2.94,2.33,53.6,85.7,0.33,176.5,0.67,176.5,0,0,0,0,-2.33,2.33,22.9,3.95,2.94,0,55.9,206,990,964.7,25.3,0.108,0.0108,0.000426,0.119,0.00472,1,0.181,0.3,0.0119,25,0.947,0.976,0.925,40.9,39.9,39.9,461000
0.86,257.73,0.86,22.5,3.82,2.85,2.36,52.2,83.8,0.32,174,0.68,174,0,0,0,0,-2.36,2.36,22.5,3.82,2.85,0,54.6,203,990,964.7,25.3,0.107,0.0105,0.000417,0.118,0.00466,1,0.177,0.295,0.0117,25,0.946,0.975,0.923,40.3,39.3,39.3,319000
0.87,253.96,0.87,22.4,3.8,2.83,2.31,51.8,83.1,0.33,170.9,0.67,170.9,0,0,0,0,-2.31,2.31,22.4,3.8,2.83,0,54.1,200,990,964.7,25.3,0.106,0.0103,0.000406,0.116,0.0046,1,0.173,0.29,0.0115,25,0.946,0.975,0.922,39.6,38.6,38.6,275000
0.88,247.6,0.88,21.8,3.67,2.78,2.26,49.8,80.3,0.32,167.3,0.68,167.3,0,0,0,0,-2.26,2.26,21.8,3.67,2.78,0,52,196,990,964.7,25.3,0.105,0.00997,0.000394,0.115,0.00452,1,0.168,0.283,0.0112,25,0.944,0.974,0.92,38.8,37.8,37.8,356000
0.89,240.77,0.89,21.4,3.55,2.76,2.27,48.5,78.5,0.33,162.3,0.67,162.3,0,0,0,0,-2.27,2.27,21.4,3.55,2.76,0,50.7,190,990,964.6,25.4,0.103,0.00955,0.000376,0.112,0.00442,1,0.162,0.274,0.0108,25.1,0.943,0.973,0.917,37.6,36.6,36.6,246000
0.90,234.63,0.9,21,3.49,2.73,2.16,46.5,75.9,0.32,158.8,0.68,158.8,0,0,0,0,-2.16,2.16,21,3.49,2.73,0,48.6,186,990,964.6,25.4,0.101,0.00924,0.000364,0.11,0.00435,1,0.157,0.267,0.0105,25.1,0.941,0.972,0.915,36.8,35.8,35.8,465000
0.91,228.46,0.91,20.7,3.61,2.79,2.17,45.3,74.5,0.33,153.9,0.67,153.9,0,0,0,0,-2.17,2.17,20.7,3.61,2.79,0,47.5,181,990,964.6,25.4,0.0994,0.00883,0.000347,0.108,0.00426,1,0.15,0.259,0.0102,25.2,0.94,0.971,0.913,35.7,34.7,34.7,203000
0.92,222.98,0.92,20.4,3.37,2.73,2.09,43.9,72.5,0.33,150.4,0.67,150.4,0,0,0,0,-2.09,2.09,20.4,3.37,2.73,0,46,177,990,964.5,25.5,0.098,0.00854,0.000335,0.107,0.00418,1,0.146,0.252,0.0099,25.2,0.938,0.971,0.911,34.9,33.9,33.9,354000
0.93,215.56,0.93,20.3,3.34,2.73,2.07,43.1,71.5,0.33,144,0.67,144,0,0,0,0,-2.07,2.07,20.3,3.34,2.73,0,45.2,170,990,964.5,25.5,0.0957,0.00799,0.000313,0.104,0.00406,1,0.137,0.241,0.00943,25.3,0.936,0.97,0.908,33.4,32.4,32.4,257000
0.94,208.7,0.94,19.7,3.29,2.61,2.06,40.8,68.4,0.33,140.3,0.67,140.3,0,0,0,0,-2.06,2.06,19.7,3.29,2.61,0,42.8,166,990,964.5,25.5,0.0941,0.00767,0.0003,0.102,0.00398,1,0.132,0.234,0.00914,25.3,0.934,0.97,0.907,32.5,31.6,31.6,281000
0.95,203.86,0.95,19.3,3.24,2.54,2.02,38.8,65.9,0.32,138,0.68,138,0,0,0,0,-2.02,2.02,19.3,3.24,2.54,0,40.8,163,990,964.4,25.6,0.0931,0.00748,0.000292,0.101,0.00393,1,0.129,0.229,0.00897,25.3,0.934,0.97,0.906,32,31.1,31.1,352000
0.96,200.58,0.96,18.8,3.14,2.36,2.02,36.3,62.5,0.31,138.1,0.69,138.1,0,0,0,0,-2.02,2.02,18.8,3.14,2.36,0,38.3,162,990,964.4,25.6,0.0928,0.00749,0.000292,0.1,0.00392,1,0.129,0.229,0.00895,25.4,0.843,0.875,0.818,29.4,28.5,28.5,189000
0.97,195.29,0.97,17.8,3.1,2.26,2.02,32.1,57.3,0.29,138,0.71,138,0,0,0,0,-2.02,2.02,17.8,3.1,2.26,0,34.1,161,990,964.4,25.6,0.0924,0.00748,0.000292,0.0999,0.0039,1,0.129,0.229,0.00894,25.4,0.885,0.919,0.858,30.6,29.7,29.7,272000
0.98,181.33,0.98,17.2,3.03,2.2,1.93,29.3,53.7,0.3,127.6,0.7,127.6,0,0,0,0,-1.93,1.93,17.2,3.03,2.2,0,31.3,150,990,964.4,25.6,0.0885,0.00659,0.000258,0.0951,0.00372,1,0.115,0.21,0.00821,25.4,0.929,0.97,0.901,29.5,28.6,28.6,239000
0.99,162.01,0.99,16,2.91,2.14,1.58,23.7,46.3,0.29,115.7,0.71,115.7,0,0,0,0,-1.58,1.58,16,2.91,2.14,0,25.3,137,990,964.5,25.5,0.0838,0.00558,0.000219,0.0894,0.0035,1,0.0987,0.188,0.00737,25.3,0.922,0.97,0.894,26.5,25.7,25.7,250000
1.00,136.59,1,15.4,2.9,2.13,1.35,21,42.8,0.31,93.81,0.69,93.81,0,0,0,0,-1.35,1.35,15.4,2.9,2.13,0,22.4,114,990,964.5,25.5,0.0758,0.00372,0.000146,0.0796,0.00312,1,0.0691,0.149,0.00583,25.4,0.918,0.966,0.887,21.4,20.7,20.7,75400
