month,waterMonth,flowMean,flowMedian,flowMin,flowMax,canalFlowMean,canalFlowMedian,canalFlowMin,canalFlowMax,eFlowMean,eFlowMedian,eFlowMin,eFlowMax,spillFlowMean,spillFlowMedian,spillFlowMin,spillFlowMax,grossHeadMean,grossHeadMedian,grossHeadMin,grossHeadMax,netHeadMean,netHeadMedian,netHeadMin,netHeadMax,energyMax,energyMin,energyMean,energyMedian,plantPowerMax,plantPowerMin,plantPowerMean,plantPowerMedian,eFlowProportionMean,generationProportionMean,bypassProportionMean,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactorMean,specificEnergyMean,dischargeMedian,eFlowDischargeMedian,spillDischargeMedian,canalDischargeMedian
10,1,238.7,228,134.5,445.8,162.5,148,93.47,348.8,76.2,80,41,97,0,0,0,0,25.35,25.4,24.4,25.6,25.09,25.19,23.98,25.36,56360,15320,26750,24750,75.76,20.6,35.96,33.26,0.32,0.68,0.32,0,0.015,0,0.2,41.7,590.976,207.36,0,383.616
11,2,275.7,265.5,153.2,546.2,203.7,188.8,113.2,454.2,72.04,75,40,92,0,0,0,0,25.19,25.2,23.9,25.6,24.89,24.95,23.4,25.34,69580,18110,32570,30530,96.64,25.15,45.23,42.41,0.27,0.73,0.27,0,0,0,0.25,45.5,711.1152,200.88,0,505.68192
12,3,438.4,408.1,229.8,832.7,356.9,324.4,182.8,729.7,81.55,85,47,103,0,0,0,0,24.44,24.6,22.8,25.4,24.02,24.19,21.86,25.14,107000,30690,56880,52570,143.8,41.25,76.45,70.66,0.19,0.81,0.19,0,0,0,0.42,48.6,1057.7952,220.32,0,840.8448
1,4,737.5,656.3,331.5,1712,608.7,555.3,271.5,1088,98.49,101,60,124,30.33,0,0,653,23.22,23.5,20,24.9,22.45,22.83,18.23,24.64,133800,44200,90590,85620,179.9,59.41,121.8,115.1,0.14,0.84,0.16,0,0,0,0.68,47.6,1757.83392,270.5184,0,1487.31552
2,5,1369,1007,462.8,8627,866.7,869.6,391.8,1100,117.1,116,71,168,384.9,6.534,0,7359,21.27,22.15,9.13,24.3,20.04,20.97,7.37,23.84,132200,9409,103600,105200,191.4,14,152.8,154.4,0.11,0.76,0.24,0,0,0.0082,0.85,39.9,2697.1488,310.6944,17.500665599999998,2329.13664
3,6,2527,2356,617.6,7963,1027,1100,530.6,1100,169.5,168.9,87,278,1331,1080,0,6585,18.2,18.1,9.36,23.6,16.56,16.26,7.583,23.02,141100,15000,109900,115100,189.6,20.16,147.8,154.8,0.082,0.54,0.46,0,0,0.014,0.82,24.6,5699.6352,408.60288,2612.736,2661.12
4,7,2954,2948,670.2,7415,1075,1100,568.2,1100,201,191,102,313,1677,1639,0,6001,16.97,16.6,9.72,23.4,15.19,14.74,7.928,22.77,138800,19090,103200,104300,192.8,26.51,143.3,144.9,0.074,0.45,0.55,0,0,0.0057,0.8,18.9,7895.9232,511.5744,4389.8976,2946.24
5,8,2244,2278,716.3,5262,1055,1100,591.3,1100,239.5,253,125,304,949.3,924.5,0,3858,18.58,18.25,12.2,23.2,16.84,16.39,10.3,22.52,143100,65170,118000,119900,192.3,87.6,158.6,161.1,0.12,0.54,0.46,0,0,0,0.88,24,5904.576,655.776,2396.304,2851.2
6,9,1226,1201,328.4,2829,864.9,940.3,230.4,1100,186.8,185,98,260,174.2,72.7,0,1469,21.5,21.5,16.9,25,20.23,20.13,15.07,24.64,132000,36580,111200,120700,183.3,50.8,154.4,167.7,0.17,0.74,0.26,0,0,0,0.86,37.9,3216.7584,495.504,194.71968,2518.49952
7,10,613.1,573.5,242.7,1321,448.6,410.6,153.7,978.2,162.4,163,89,224,2.104,0,0,118.4,23.7,23.8,21.1,25.4,23.15,23.35,19.63,25.09,129500,25700,68320,64130,174.1,34.54,91.82,86.2,0.28,0.73,0.27,0,0,0,0.51,41.9,1486.512,422.496,0,1064.2752
8,11,393.2,381.5,198.9,711.9,260.2,247.6,121.9,538.9,133,134,77,173,0,0,0,0,24.65,24.7,23.3,25.6,24.3,24.38,22.6,25.36,82320,20260,41970,40050,110.6,27.23,56.41,53.83,0.34,0.66,0.34,0,0,0,0.31,39.9,1021.8096,358.9056,0,663.17184
9,12,289.1,281.1,151.8,505,192,181.1,94.82,384,97.02,100,57,121,0,0,0,0,25.13,25.2,24.1,25.6,24.84,24.87,23.66,25.36,59660,15120,30680,29240,82.86,21,42.61,40.61,0.34,0.66,0.34,0,0,0,0.24,40.9,752.89824,267.84,0,485.05824
