exceedance,flow,plantPower,energy,grossHead,canalFlow,netHead,totalEfficiency,totalHeadloss,eFlowProportion,generationProportion,bypassProportion,specificEnergy,shutoffProportion
0.65,413,63.3,46800,22.3,300,21.3,0.918,0.355,0.13,0.66,0.24,39.6,0
0.66,406,62.2,45700,22.2,293,21.1,0.918,0.348,0.13,0.66,0.24,39.3,0
0.67,398,60.5,44800,22.1,287,21,0.918,0.341,0.13,0.66,0.23,39,0
0.68,383,59,43600,22,280,20.7,0.918,0.336,0.13,0.66,0.23,38.8,0
0.69,376,57.1,42100,21.8,271,20.5,0.917,0.334,0.12,0.65,0.22,38.5,0
0.7,364,55.9,41200,21.7,262,20.3,0.917,0.33,0.12,0.65,0.22,38.3,0
0.71,355,54.9,40600,21.5,257,20.1,0.916,0.328,0.12,0.65,0.21,38,0
0.72,348,53.4,39300,21.4,252,19.9,0.916,0.325,0.12,0.64,0.21,37.6,0
0.73,342,51.6,38000,21.2,245,19.7,0.916,0.323,0.12,0.64,0.2,37,0
0.74,336,49.6,36600,21.1,236,19.5,0.916,0.32,0.11,0.64,0.2,36.2,0
0.75,330,48.5,35700,20.8,226,19.2,0.915,0.318,0.11,0.63,0.19,34.8,0
0.76,325,47.8,34900,20.6,220,18.9,0.915,0.317,0.11,0.63,0.19,33.7,0
0.77,315,46.9,34200,20.4,215,18.7,0.914,0.315,0.11,0.62,0.18,32.3,0
0.78,307,46.3,33700,20.1,212,18.4,0.914,0.313,0.11,0.62,0.18,30.7,0
0.79,300,45.2,33300,20,207,18.2,0.913,0.312,0.1,0.61,0.18,29.9,0
0.8,294,44.7,32400,19.7,203,17.9,0.913,0.31,0.1,0.6,0.17,27.6,0
0.81,289,43.6,31800,19.4,200,17.6,0.912,0.308,0.1,0.58,0.17,25.9,0
0.82,283,42.5,31400,19.1,192,17.2,0.912,0.306,0.095,0.558,0.16,24.3,0
0.83,279,41.9,30700,18.7,188,16.9,0.911,0.302,0.092,0.52,0.16,22.3,0
0.84,274,41.3,30000,18.4,186,16.5,0.911,0.299,0.089,0.49,0.16,20.5,0
0.85,268,40.3,29500,18.2,183,16.3,0.91,0.293,0.086,0.48,0.16,19.6,0
0.86,264,39,28300,18,178,16.1,0.909,0.287,0.081,0.46,0.15,18.7,0
0.87,258,37.2,27200,17.8,172,15.9,0.908,0.282,0.078,0.44,0.15,17.4,0
0.88,248,36.6,26500,17.5,164,15.6,0.907,0.274,0.0769,0.42,0.15,16.5,0
0.89,242,36,26200,17.3,162,15.4,0.907,0.27,0.075,0.41,0.14,15.9,0
0.9,236,35.7,25700,17,159,15.1,0.905,0.267,0.073,0.39,0.14,14.9,0
0.91,231,35.1,25500,16.6,158,14.7,0.904,0.264,0.07,0.37,0.13,13.7,0
0.92,224,34.2,25000,16.4,155,14.5,0.902,0.259,0.069,0.36,0.13,13.1,0
0.93,220,33.4,24400,16.1,151,14.2,0.9,0.253,0.066,0.35,0.13,12.2,0
0.94,214,32.5,23800,15.8,148,13.9,0.897,0.248,0.064,0.33,0.13,11.4,0
0.95,211,31.6,23100,15.4,143,13.6,0.893,0.239,0.062,0.31,0.12,10.4,0
0.96,204,29.6,21900,14.6,139,12.8,0.887,0.23,0.06,0.28,0.12,8.82,0
0.97,198,28.3,21000,14.1,132,12.2,0.869,0.219,0.058,0.26,0.11,7.64,0
0.98,187,25.7,19000,13.3,130,11.5,0.757,0.213,0.054,0.24,0.11,6.11,0
0.99,168,22,15900,12.2,122,10.3,0.433,0.202,0.05,0.21,0.1,2.55,0
1,135,0,0,9.13,93.5,7.37,0,0.148,0.019,0.13,0.09,0,0
