date,waterYear,waterMonth,waterWeek,flowMean,eFlowMean,eFlowProportionMean,canalFlowMean,headPondLevelMean,tailwaterLevelMean,grossHeadMean,totalHeadlossMean,netHeadMean,unitEfficiencyMean,generatorEfficiencyMean,totalEfficiencyMean,unitPowerMean,generatorPowerMean,plantPowerMean,energy
1924-10-01,1924,1,1,136.5,41,0.3,95.46,990,964.5,25.5,0.152,25.35,0.915,0.967,0.885,21.72,21,21,2520.21
1924-10-06,1924,1,1,136.5,41,0.3,95.46,990,964.5,25.5,0.152,25.35,0.915,0.967,0.885,21.72,21,21,3528.29
1924-10-13,1924,1,2,136.5,41,0.3,95.46,990,964.5,25.5,0.152,25.35,0.915,0.967,0.885,21.72,21,21,3528.29
1924-10-20,1924,1,3,133.9,41,0.306,92.85,990,964.5,25.5,0.147,25.35,0.918,0.966,0.887,21.2,20.47,20.47,3439.11
1924-10-27,1924,1,4,128.7,40.71,0.316,88.02,990,964.5,25.5,0.138,25.36,0.924,0.963,0.89,20.22,19.49,19.49,3273.67
1924-11-03,1924,2,5,136.1,40,0.294,96.1,990,964.5,25.5,0.152,25.35,0.915,0.967,0.885,21.85,21.13,21.13,3550.45
1924-11-10,1924,2,6,143.2,40,0.28,103.2,990,964.5,25.5,0.165,25.34,0.913,0.97,0.885,23.41,22.7,22.7,3812.86
1924-11-17,1924,2,7,156.5,40,0.256,116.5,990,964.5,25.5,0.189,25.33,0.923,0.97,0.895,26.7,25.9,25.9,4351.38
1924-11-24,1924,2,8,183.3,40,0.219,143.3,990,964.4,25.6,0.237,25.33,0.936,0.97,0.908,33.31,32.31,32.31,5428.55
1924-12-01,1924,3,9,216.2,47,0.219,169.2,990,964.5,25.5,0.284,25.21,0.945,0.974,0.92,39.51,38.51,38.51,6469.59
1924-12-08,1924,3,10,257.8,47,0.183,210.8,990,964.7,25.3,0.358,24.91,0.957,0.98,0.938,49.26,47.38,47.38,7960.06
1924-12-15,1924,3,11,276,47,0.171,229,990,964.8,25.2,0.278,24.92,0.934,0.973,0.908,33.37,32.05,50.34,8456.42
1924-12-22,1924,3,12,304,47,0.156,257,990,964.9,25.1,0.273,24.8,0.93,0.97,0.902,29.06,28.19,56.39,9472.76
1924-12-29,1924,3,13,463,54.43,0.12,408.6,990,965.7,24.3,0.468,23.85,0.949,0.974,0.925,39.83,38.82,88.07,14796.3
1925-01-05,1924,4,14,549,65.86,0.119,483.1,990,966.1,23.9,0.55,23.38,0.95,0.974,0.926,42.45,40.4,100.5,16889.4
1925-01-12,1924,4,15,628.1,101,0.161,527.1,990,966.4,23.6,0.577,23.01,0.949,0.972,0.922,37.61,36.54,109.6,18418.3
1925-01-19,1924,4,16,740,101,0.139,639,990,966.9,23.1,0.755,22.39,0.954,0.978,0.932,42.32,41.38,130.2,21878.8
1925-01-26,1924,4,17,1127,106.3,0.0945,1020,990,968.3,21.7,1.41,20.29,0.955,0.98,0.936,48.42,47.09,188.4,31647
1925-02-02,1924,5,18,1183,138,0.117,1044,990,968.5,21.5,1.49,20.04,0.955,0.98,0.936,48.96,47.73,190.9,32076.5
1925-02-09,1924,5,19,1182,138,0.116,1044,990,968.5,21.5,1.49,20.04,0.955,0.98,0.936,49,47.97,191.9,32238.3
1925-02-16,1924,5,20,1193,138,0.116,1055,990,968.5,21.5,1.53,19.96,0.955,0.98,0.936,49.28,47.89,191.6,32183.7
1925-02-23,1924,5,21,1349,141.1,0.105,1100,990,969,21,1.75,19.25,0.953,0.98,0.934,49.48,48.05,192.2,32287
1925-03-02,1924,6,22,1377,160,0.116,1100,990,969.1,20.9,1.76,19.15,0.953,0.98,0.934,49.21,48.13,192.5,32346.6
1925-03-09,1924,6,23,1429,160,0.112,1100,990,969.3,20.7,1.79,18.96,0.952,0.98,0.933,48.71,47.73,190.9,32077
1925-03-16,1924,6,24,1657,160,0.0974,1100,990,970,20,1.85,18.16,0.951,0.98,0.932,46.59,45.66,182.7,30685.4
1925-03-23,1924,6,25,2846,160,0.0576,1100,990,973.1,16.9,1.87,15,0.94,0.973,0.915,38.03,37.02,148.1,24877.7
1925-03-30,1924,6,26,3380,182.1,0.054,1100,990,974.4,15.6,1.87,13.76,0.934,0.97,0.906,34.65,33.61,134.4,22583.2
1925-04-06,1924,7,27,3140,191,0.0609,1100,990,973.8,16.2,1.87,14.28,0.937,0.97,0.909,36.08,35,140,23517.6
1925-04-13,1924,7,28,3067,191,0.0623,1100,990,973.7,16.3,1.87,14.45,0.938,0.97,0.91,36.56,35.46,141.8,23829.1
1925-04-20,1924,7,29,3218,191,0.0594,1100,990,974,16,1.87,14.1,0.936,0.97,0.908,35.58,34.52,138.1,23194.9
1925-04-27,1924,7,30,3095,233,0.0765,1100,990,973.7,16.3,1.87,14.4,0.937,0.971,0.91,36.4,35.33,141.3,23740.9
1925-05-04,1924,8,31,2656,289,0.109,1100,990,972.7,17.3,1.87,15.44,0.943,0.974,0.919,39.27,38.26,153.1,25714
1925-05-11,1924,8,32,2287,253,0.111,1100,990,971.8,18.2,1.87,16.33,0.946,0.979,0.926,41.67,40.81,163.2,27424.4
