Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,334.8,158.8,655.9,83600,11550,41940,112.4,15.52,56.38,0.25,0.75,0.25,0.0032,0.0097,0,0.31,45.7
2,5,682.9,220.9,1482,122200,18160,74820,181.8,27.02,110.5,0.17,0.81,0.19,0,0.0048,0,0.61,46.1
3,6,1271,400.2,2372,138200,47560,113300,185.7,63.92,152.3,0.13,0.73,0.27,0,0,0,0.85,37.4
4,7,1908,418.6,3766,138100,45650,111900,191.9,63.4,155.4,0.11,0.6,0.4,0,0,0,0.86,28.4
5,8,1390,289.8,2480,134600,23600,110500,180.9,31.72,148.5,0.18,0.67,0.33,0,0,0,0.82,33.7
6,9,744.4,198.2,1283,121900,4733,81720,169.3,6.573,113.5,0.24,0.76,0.24,0,0.023,0,0.63,41.8
7,10,474.1,154.9,725.5,76000,0,48840,102.1,0,65.65,0.36,0.64,0.36,0.022,0.047,0,0.36,37.2
8,11,324,121.5,475.4,46390,0,28730,62.35,0,38.62,0.44,0.55,0.45,0.041,0.15,0,0.21,30.8
9,12,227.3,86.95,329.8,30610,0,19530,42.51,0,27.12,0.46,0.52,0.48,0.081,0.12,0,0.15,31.2
10,1,175.4,68.16,244.8,23070,0,14770,31.01,0,19.85,0.43,0.53,0.47,0.1,0.21,0,0.11,29.6
11,2,177.5,88.29,241.2,23900,0,17650,33.19,0,24.52,0.36,0.63,0.37,0.044,0.096,0,0.14,37.2
12,3,215.6,123.3,300.3,39860,6151,25990,53.57,8.267,34.93,0.29,0.71,0.29,0,0.016,0,0.19,44
