exceedance,flow,plantPower,energy,grossHead,canalFlow,netHead,totalEfficiency,totalHeadloss,eFlowProportion,generationProportion,bypassProportion,specificEnergy,shutoffProportion
0,8630,193,143000,26.1,1100,25.9,0.938,1.87,0.48,0.89,0.87,51.3,1
0.01,5260,191,139000,26.1,1100,25.9,0.937,1.87,0.46,0.88,0.79,50.5,0.334
0.02,4580,188,138000,26.1,1100,25.9,0.937,1.87,0.45,0.87,0.76,50.1,0.194
0.03,4170,186,136000,26,1100,25.9,0.936,1.87,0.44,0.86,0.74,49.7,0.0343
0.04,3880,185,135000,26,1100,25.8,0.936,1.87,0.44,0.86,0.72,49.5,0
0.05,3510,183,133000,26,1100,25.8,0.936,1.87,0.44,0.85,0.69,49.1,0
0.06,3320,182,132000,26,1100,25.8,0.936,1.87,0.43,0.85,0.67,48.7,0
0.07,3180,181,131000,26,1100,25.8,0.936,1.87,0.43,0.85,0.65,48.3,0
0.08,3040,180,130000,26,1100,25.7,0.936,1.87,0.42,0.84,0.64,48.1,0
0.09,2950,179,129000,25.9,1100,25.7,0.935,1.87,0.42,0.84,0.63,48,0
0.1,2810,178,128000,25.9,1100,25.6,0.935,1.87,0.42,0.84,0.61,47.8,0
0.11,2680,175,127000,25.9,1100,25.6,0.935,1.87,0.41,0.83,0.59,47.7,0
0.12,2600,174,126000,25.8,1100,25.6,0.935,1.87,0.41,0.83,0.58,47.5,0
0.13,2510,173,125000,25.8,1100,25.5,0.935,1.87,0.4,0.82,0.56,47.3,0
0.14,2380,171,125000,25.7,1100,25.5,0.934,1.87,0.4,0.82,0.54,47.2,0
0.15,2310,170,124000,25.7,1100,25.4,0.934,1.87,0.4,0.82,0.52,47,0
0.16,2230,169,122000,25.7,1100,25.4,0.934,1.86,0.39,0.81,0.51,47,0
0.17,2100,168,121000,25.7,1100,25.4,0.934,1.86,0.39,0.81,0.48,46.8,0
0.18,1970,166,120000,25.7,1100,25.4,0.934,1.85,0.38,0.81,0.46,46.6,0
0.19,1870,165,119000,25.6,1100,25.3,0.934,1.82,0.38,0.8,0.46,46.3,0
0.2,1770,163,118000,25.6,1090,25.3,0.933,1.8,0.38,0.8,0.45,46.1,0
0.21,1680,161,117000,25.6,1090,25.3,0.933,1.78,0.37,0.79,0.44,46,0
0.22,1630,160,116000,25.6,1080,25.2,0.933,1.74,0.37,0.79,0.44,45.7,0
0.23,1540,159,115000,25.5,1070,25.2,0.933,1.72,0.36,0.78,0.44,45.5,0
