month,waterMonth,flowMean,flowMedian,flowMin,flowMax,canalFlowMean,canalFlowMedian,canalFlowMin,canalFlowMax,eFlowMean,eFlowMedian,eFlowMin,eFlowMax,spillFlowMean,spillFlowMedian,spillFlowMin,spillFlowMax,grossHeadMean,grossHeadMedian,grossHeadMin,grossHeadMax,netHeadMean,netHeadMedian,netHeadMin,netHeadMax,energyMax,energyMin,energyMean,energyMedian,plantPowerMax,plantPowerMin,plantPowerMean,plantPowerMedian,eFlowProportionMean,generationProportionMean,bypassProportionMean,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactorMean,specificEnergyMean
10,1,238.7,228,134.5,445.8,144.7,131.7,82.47,325.8,94.02,97,52,120,0,0,0,0,25.85,25.9,24.9,26.1,25.61,25.7,24.51,25.88,53450,13440,24000,22290,71.84,18.06,32.26,29.96,0.4,0.6,0.4,0,0.025,0,0.18,37.3
11,2,275.7,265.5,153.2,546.2,186.2,170.4,103.2,432.2,89.54,93,50,114,0,0,0,0,25.69,25.7,24.4,26.1,25.4,25.46,23.92,25.85,67650,16860,30160,28060,93.95,23.41,41.89,38.97,0.33,0.67,0.33,0,0.0077,0,0.23,42
12,3,438.4,408.1,229.8,832.7,337.9,305.5,170.8,706.7,100.6,104,59,126,0,0,0,0,24.94,25.1,23.3,25.9,24.53,24.7,22.38,25.65,106500,29170,54910,50350,143.2,39.21,73.81,67.68,0.24,0.77,0.23,0,0,0,0.41,46.8
1,4,737.5,656.3,331.5,1712,590.1,536.3,258.5,1079,118.4,120,73,150,29.04,0,0,640.8,23.72,24,20.5,25.4,22.97,23.34,18.75,25.16,136300,42840,89690,84520,183.2,57.58,120.6,113.6,0.17,0.81,0.19,0,0,0,0.67,47
2,5,1369,1007,462.8,8627,852.8,852.8,377.8,1100,138.7,137,85,197,377.2,4.621,0,7330,21.77,22.65,9.63,24.8,20.56,21.49,7.87,24.36,133200,7485,104200,105400,191.9,11.14,153.7,154.1,0.13,0.75,0.25,0,0,0.0089,0.85,39.9
3,6,2527,2356,617.6,7963,1021,1100,510.6,1100,194.7,193.3,107,315,1311,1054,0,6548,18.7,18.6,9.86,24.1,17.07,16.76,8.083,23.54,141200,0,111000,118300,189.8,0,149.2,159.1,0.096,0.53,0.47,0,0,0.048,0.83,24.8
4,7,2954,2948,670.2,7415,1073,1100,545.2,1100,232.6,217,125,364,1648,1605,0,5950,17.47,17.1,10.2,23.9,15.69,15.24,8.428,23.3,138800,6165,105700,108200,192.8,8.563,146.8,150.3,0.087,0.45,0.55,0,0,0.025,0.82,19.2
5,8,2244,2278,716.3,5262,1052,1100,569.3,1100,266.2,276,147,340,926.1,901.5,0,3822,19.08,18.75,12.7,23.7,17.34,16.89,10.8,23.05,143400,72100,121200,123600,192.8,96.9,162.9,166.1,0.13,0.54,0.46,0,0,0,0.9,24.4
6,9,1226,1201,328.4,2829,849.2,925.7,209.4,1100,213.7,210,119,293,163.1,64.36,0,1436,22,22,17.4,25.5,20.75,20.64,15.57,25.14,134400,33880,111600,121000,186.6,47.06,155,168.1,0.2,0.72,0.28,0,0,0,0.86,37.7
7,10,613.1,573.5,242.7,1321,424.2,387.6,134.7,959.6,187.2,186,108,256,1.739,0,0,105,24.2,24.3,21.6,25.9,23.67,23.87,20.15,25.62,130200,22750,65910,61750,175,30.58,88.58,83,0.32,0.68,0.32,0,0,0,0.49,40.2
8,11,393.2,381.5,198.9,711.9,238.5,225.3,105.9,509.9,154.7,155,93,202,0,0,0,0,25.15,25.2,23.8,26.1,24.82,24.88,23.13,25.88,79730,9504,39080,37170,107.2,12.77,52.52,49.96,0.4,0.6,0.4,0,0.0097,0,0.29,36.9
9,12,289.1,281.1,151.8,505,172.1,161.9,79.82,359,117,118,72,146,0,0,0,0,25.63,25.7,24.6,26.1,25.36,25.39,24.19,25.88,56740,12520,27790,26570,78.8,17.38,38.6,36.91,0.41,0.59,0.41,0,0.011,0,0.21,36.8
