waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1969,365,1049,192.8,43.86,119.8,1563,337.2,4991,49.3,6.13,22.7,0.202,0.0423,0.433,0,0,0,0,0,0,0.665,0.48,0.15,0.34,0.033,0,0,0,26.6,0.12,0.46,0.54,21.3,0.18531073446327684,0.4126074498567335,0.4081081081081081
1970,365,1018,192.8,42.73,116.2,1086,321.2,3153,34.2,5.26,20.3,0.229,0.0716,0.467,0,0,0,0,0,0,0.646,0.41,0.14,0.3,0.15,0,0,0,13.9,0.15,0.59,0.41,29.8,0.15028248587570622,-0.02005730659025776,-0.021621621621621623
1971,366,987.6,192.8,36.52,112.4,787.8,276.2,1856,24.9,4.77,18.3,0.249,0.0798,0.505,0,0,0,0,0,0,0.626,0.31,0.21,0.27,0.22,0,0,0,6.6,0.19,0.73,0.27,39.7,0.11593220338983054,-0.2865329512893983,-0.2902702702702703
1972,365,840.5,192.8,24.88,95.94,592.6,228.7,1241,18.7,3.87,14.8,0.26,0.101,0.516,0,0,0,0,0,0,0.533,0.21,0.21,0.27,0.32,0,0,0,3.9,0.21,0.79,0.21,44.9,-0.05028248587570622,-0.46418338108882523,-0.4661261261261261
1973,365,978,192.8,25.09,111.6,1126,208.1,2854,35.5,5.29,20.1,0.243,0.0598,0.532,0,0,0,0,0,0,0.62,0.44,0.1,0.17,0.29,0,0,0,15.4,0.15,0.57,0.43,27.5,0.10508474576271186,0.01719197707736394,0.014414414414414415
1974,365,921.7,192.8,27.17,105.2,1612,216.8,5518,50.8,6.26,20.9,0.233,0.0438,0.472,0,0,0,0,0,0,0.585,0.45,0.12,0.18,0.25,0,0,0,29.9,0.12,0.41,0.59,18.1,0.04146892655367237,0.45558739255014324,0.45225225225225224
1975,366,902.9,192.8,29.39,102.8,1583,239.5,5537,50.1,6.24,20.3,0.229,0.0435,0.459,0,0,0,0,0,0,0.573,0.41,0.15,0.28,0.17,0,0,0,29.8,0.12,0.41,0.59,18,0.020225988700564947,0.43553008595988546,0.4261261261261261
1976,365,1025,192.8,45.79,117,1143,337.2,2845,36,5.64,20.7,0.223,0.0755,0.42,0,0,0,0,0,0,0.65,0.41,0.13,0.42,0.036,0,0,0,15.3,0.16,0.57,0.43,28.5,0.15819209039548024,0.03151862464183385,0.02972972972972973
1977,365,966.1,192.8,0,110.3,1899,273.3,6342,59.9,6.47,23.4,0.196,0.0435,0.424,0,0,23,0,0,0.063,0.613,0.54,0.13,0.2,0.13,0,23,0.06301369863013699,36.5,0.11,0.39,0.61,16.1,0.09163841807909608,0.7163323782234957,0.7108108108108108
1978,365,1083,192.8,44.87,123.6,1498,341.6,5397,47.3,6.23,23,0.199,0.0547,0.431,0,0,0,0,0,0,0.687,0.48,0.19,0.32,0.016,0,0,0,24.3,0.13,0.49,0.51,22.9,0.22372881355932203,0.3553008595988538,0.34954954954954953
