waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
2013,365,987.1,192.8,0,112.7,1347,198.1,3614,42.5,5.96,21.2,0.234,0.0566,0.49,0,10,0,0,0.027,0,0.626,0.46,0.14,0.17,0.23,0,10,0.0273972602739726,21.3,0.14,0.5,0.5,23.2,0.11536723163841811,0.21776504297994273,0.21351351351351353
2014,365,926.9,192.8,26.34,105.8,704.1,207.1,1466,22.2,4.44,17.2,0.272,0.1,0.545,0,0,0,0,0,0,0.588,0.33,0.13,0.2,0.34,0,0,0,5,0.2,0.77,0.23,41.8,0.04734463276836156,-0.3638968481375358,-0.36567567567567566
2015,366,838.5,192.8,22.86,95.46,1020,174.9,2994,32.2,4.73,17.2,0.246,0.0673,0.498,0,0,0,0,0,0,0.532,0.34,0.099,0.19,0.37,0,0,0,15,0.15,0.53,0.47,26,-0.05254237288135593,-0.07736389684813742,-0.08108108108108109
2016,365,901.2,192.8,0,102.9,1087,155.5,3913,34.3,4.88,18.6,0.24,0.047,0.482,0,1,0,0,0.0027,0,0.572,0.43,0.049,0.18,0.34,0,1,0.0027397260273972603,15.7,0.14,0.54,0.46,26.3,0.018305084745762763,-0.01719197707736394,-0.02072072072072072
2017,365,900.2,192.8,22.19,102.8,1614,171.9,4829,50.9,6.01,20.7,0.223,0.0556,0.559,0,0,0,0,0,0,0.571,0.46,0.096,0.19,0.25,0,0,0,30.2,0.12,0.41,0.59,17.7,0.017175141242937904,0.4584527220630373,0.4540540540540541
2018,365,754.3,187,0,86.11,516.7,156.7,1092,16.3,3.21,13.1,0.251,0.108,0.529,0,10,0,0,0.027,0,0.478,0.15,0.23,0.22,0.4,0,10,0.0273972602739726,3.2,0.2,0.8,0.2,46.3,-0.14768361581920908,-0.5329512893982807,-0.5345045045045045
2019,366,859.9,192.8,17.46,97.9,1381,128.1,4670,43.7,5.42,18.9,0.22,0.0544,0.444,0,0,0,0,0,0,0.545,0.38,0.12,0.26,0.24,0,0,0,24.8,0.12,0.43,0.57,19.7,-0.028361581920903982,0.2521489971346706,0.24414414414414415
2020,365,968.7,192.8,34.89,110.6,1356,260.1,3732,42.8,5.96,20.8,0.236,0.051,0.471,0,0,0,0,0,0,0.614,0.45,0.096,0.22,0.23,0,0,0,22,0.14,0.49,0.51,22.6,0.09457627118644073,0.2263610315186246,0.22162162162162163
2021,365,941,192.8,33.05,107.4,1087,263.5,3102,34.3,5.49,19.1,0.252,0.0704,0.532,0,0,0,0,0,0,0.597,0.41,0.12,0.17,0.31,0,0,0,15.2,0.16,0.56,0.44,27.4,0.06327683615819209,-0.01719197707736394,-0.02072072072072072
2022,365,965.5,192.8,29.42,110.2,1152,228.8,2768,36.3,5.43,19.9,0.247,0.0618,0.519,0,0,0,0,0,0,0.612,0.44,0.077,0.2,0.28,0,0,0,16.4,0.15,0.55,0.45,26.6,0.09096045197740113,0.04011461318051572,0.03783783783783784
2023,366,732.3,144.6,28.91,83.37,507.6,217.9,875.5,16.1,3.72,12.3,0.272,0.138,0.462,0,0,0,0,0,0,0.464,0,0.44,0.21,0.36,0,0,0,3.8,0.23,0.76,0.24,45.5,-0.172542372881356,-0.5386819484240687,-0.5427027027027027
