duration_years,stDev,p50,p75,p90,p99
5,39.86082945003083,888.95,858.3062791016401,834.1082916144067,792.4618441514162
10,28.185862807837236,888.95,866.1809244356808,849.0703633923908,819.621877978981
15,23.01366061309706,888.95,869.6695218019747,855.6988072123734,831.6542195588243
18,21.008501747602388,888.95,871.0219809042658,858.2685216956137,836.3189166226819
20,19.930414725015414,888.95,871.74913955082,859.6501458072033,838.8269220757081
25,17.826304857958895,888.95,873.1683400894361,862.3466711014074,843.7218135916835
