exceedance,flowRiver,flowRiverPercentile,eFlowChannelA,eFlowChannelC,eFlowChannelD,eFlowChannelE,eFlowChannelFG,eFlowTotal,eFlowProportion,availableGenerationFlow,availableGenerationFlowProportion,canalFlow,spillFlowTotal,spillFlowChannelA,spillFlowChannelC,spillFlowChannelD,spillFlowChannelE,spillFlowChannelFG,channelFlowA,channelFlowC,channelFlowD,channelFlowE,channelFlowFG,leftChannelFlow,headPondLevel,tailwaterLevel,grossHead,leftChannelHeadloss,canalHeadloss,canalHeadlossProportion,upstreamHeadloss,upstreamHeadlossProportion,units,headlossTurbine,totalHeadloss,headlossProportion,netHead,unitEfficiency,generatorEfficiency,totalEfficiency,unitPower,generatorPower,plantPower,plantEnergy
0.00,8787.5,0.0026,66.1,12.5,14.9,17.3,169,280,0.032,8508,0.97,1100,7410,33.9,5.55,10.1,62.7,7300,100,18,25,80,7460,1240,991,981.7,9.28,0.802,0.648,0.0698,1.45,0.156,4,0.3,1.75,0.189,7.53,0,0,0,0,0,0,0
0.01,5806.7,0.01,72.3,13.5,17.4,22.4,192,318,0.055,5489,0.94,1100,4390,27.7,4.47,7.59,57.6,4290,100,18,25,80,4480,1240,990.6,978.7,11.9,0.899,0.648,0.0548,1.55,0.131,4,0.3,1.85,0.156,10,0.56,0.61,0.543,15.8,14.5,57.9,659000
0.02,4799.8,0.02,69,13,16.2,20.5,178,297,0.062,4503,0.94,1100,3400,31,5.04,8.77,59.5,3300,100,18,25,80,3480,1240,990.5,977.1,13.4,0.925,0.648,0.0485,1.57,0.118,4,0.3,1.87,0.14,11.5,0.915,0.97,0.887,28.3,27.4,110,899000
0.03,4359,0.03,67.6,13.1,16.2,20.9,172,290,0.067,4069,0.93,1100,2970,32.4,4.95,8.79,59.1,2860,100,18,25,80,3040,1240,990.5,976.3,14.2,0.926,0.648,0.0458,1.57,0.111,4,0.3,1.87,0.132,12.3,0.923,0.97,0.895,30.6,29.7,119,1080000
0.04,3961.2,0.04,66.1,12.9,15.8,20.4,169,284,0.072,3677,0.93,1100,2580,33.9,5.08,9.18,56.5,2470,100,18,25,76.9,2640,1240,990.5,975.6,14.9,0.926,0.648,0.0435,1.57,0.106,4,0.3,1.87,0.126,13,0.929,0.97,0.901,32.7,31.7,127,1180000
0.05,3663.5,0.05,64.7,12.8,15.5,19.9,164,277,0.076,3386,0.92,1100,2290,35.3,5.17,9.51,48.7,2190,100,18,25,68.6,2350,1240,990.5,975,15.5,0.926,0.648,0.0417,1.57,0.101,4,0.3,1.87,0.121,13.7,0.933,0.97,0.905,34.4,33.3,133,1100000
0.06,3454.6,0.06,63.8,13,15.5,20.2,164,276,0.08,3178,0.92,1100,2080,36.2,5.05,9.48,42.2,1990,100,18,25,62.4,2150,1240,990.5,974.5,16,0.926,0.648,0.0406,1.57,0.0985,4,0.3,1.87,0.117,14.1,0.936,0.97,0.908,35.6,34.5,138,1240000
0.07,3257.9,0.07,61.2,12.5,14.5,18.3,153,259,0.08,2998,0.92,1100,1900,38.8,5.52,10.5,38.6,1800,100,18,25,57,1960,1240,990.5,974.1,16.4,0.926,0.648,0.0395,1.57,0.096,4,0.3,1.87,0.114,14.5,0.938,0.97,0.91,36.7,35.6,143,1270000
0.08,3086.5,0.08,60.1,12.7,14.6,18.7,150,256,0.083,2830,0.92,1100,1730,39.9,5.32,10.4,33.1,1640,100,18,25,51.9,1790,1240,990.5,973.7,16.8,0.926,0.648,0.0386,1.57,0.0938,4,0.3,1.87,0.112,14.9,0.94,0.971,0.913,37.8,36.7,147,1260000
0.09,2972.3,0.09,59.4,12.7,14.5,18.8,150,255,0.086,2717,0.91,1100,1620,40.6,5.28,10.5,29.7,1530,100,18,25,48.5,1680,1240,990.5,973.4,17.1,0.926,0.648,0.038,1.57,0.0923,4,0.3,1.87,0.11,15.2,0.942,0.973,0.916,38.6,37.5,150,1310000
