Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,366.6,165.2,773.6,95750,13180,46430,128.7,17.72,62.4,0.24,0.77,0.23,0.0032,0.0043,0,0.35,46.4
2,5,730.8,227.8,1615,124500,20920,79740,185.3,31.14,117.7,0.16,0.82,0.18,0,0.0012,0,0.65,46.3
3,6,1146,354.6,2209,139400,40300,111500,187.3,54.17,149.9,0.14,0.76,0.24,0,0,0,0.83,39.7
4,7,1498,337.5,2846,137900,33880,112400,191.5,47.06,156.1,0.13,0.68,0.32,0,0,0,0.87,33.6
5,8,1087,235.8,1950,138100,11850,104900,185.6,15.93,141.1,0.2,0.72,0.28,0.0022,0.0075,0,0.78,37.7
6,9,621.9,168.9,999.1,112400,0,70700,156.1,0,98.19,0.26,0.74,0.26,0.018,0.026,0,0.55,41.9
7,10,416.5,136,633.3,66880,0,42800,89.9,0,57.53,0.37,0.62,0.38,0.033,0.045,0,0.32,36.3
8,11,290.2,106.2,418.3,39460,0,25390,53.03,0,34.13,0.45,0.55,0.45,0.06,0.14,0,0.19,29.6
9,12,207.6,77.54,303.3,27800,0,17620,38.61,0,24.47,0.47,0.52,0.49,0.11,0.054,0,0.14,30.3
10,1,164.2,63.01,233,22370,0,14260,30.07,0,19.17,0.43,0.53,0.48,0.13,0.067,0,0.11,30.4
11,2,172.1,85.55,238.7,23500,0,17480,32.64,0,24.28,0.36,0.63,0.37,0.057,0.031,0,0.13,37.8
12,3,219.8,122,323.7,42450,5341,26570,57.06,7.178,35.72,0.29,0.71,0.29,0,0.016,0,0.2,44
