ModelName,YearType,EnergyAnnual_mean,EnergyAnnual_P50,P95Power,CapFactor_mean,LowFlowShutoffProportion_mean,HighHeadShutoffProportion_mean,LowHeadShutoffProportion_mean,ShutoffDaysProportion_mean,Skew,meanVar,P50Var
Historic,Calendar,845,870,26.2,0.536,0.000367,0.00845,0,0.00895,0.029585798816568046,,
ssp2_2050_MPI-ESM1-2-HR,Calendar,731,784,14.8,0.464,0.0169,0.0293,0,0.0458,0.07250341997264022,-0.135,-0.0989
ssp2_2050_CanESM5,Calendar,673,734,0,0.427,0.0255,0.0331,0,0.0589,0.09063893016344725,-0.204,-0.156
ssp2_2050_ACCESS-ESM1-5,Calendar,722,788,0,0.458,0.0272,0.0304,0,0.0574,0.09141274238227147,-0.146,-0.0943
ssp2_2050_MIROC6,Calendar,804,843,23,0.51,0.00367,0.0136,0,0.0171,0.048507462686567165,-0.0485,-0.031
ssp2_2050_CNRM-CM6-1,Calendar,631,699,0,0.401,0.0344,0.0421,0,0.0774,0.10776545166402536,-0.253,-0.197
ssp2_2050_NESM3,Calendar,788,832,22.4,0.499,0.007,0.0136,0,0.0207,0.05583756345177665,-0.0675,-0.0437
ssp2_2050_MRI-ESM2-0,Calendar,708,765,13.8,0.449,0.0166,0.0314,0,0.0482,0.08050847457627118,-0.162,-0.121
ssp2_2050_FGOALS-g3,Calendar,766,817,19.2,0.486,0.00903,0.0237,0,0.0326,0.06657963446475196,-0.0935,-0.0609
ssp2_2050_HadGEM3-GC31-LL,Calendar,647,724,0,0.41,0.0359,0.0372,0,0.0733,0.11901081916537867,-0.234,-0.168
ssp2_2050_UKESM1-0-LL,Calendar,744,800,14.7,0.472,0.0168,0.029,0,0.0457,0.07526881720430108,-0.12,-0.0805
ssp2_2085_MPI-ESM1-2-HR,Calendar,593,659,0,0.376,0.0488,0.0568,0,0.105,0.11129848229342328,-0.298,-0.243
ssp2_2085_CanESM5,Calendar,610,670,0,0.387,0.0458,0.0541,0,0.0998,0.09836065573770492,-0.278,-0.23
ssp2_2085_ACCESS-ESM1-5,Calendar,752,813,13.7,0.477,0.0214,0.0284,0,0.0493,0.08111702127659574,-0.11,-0.0655
ssp2_2085_MIROC6,Calendar,792,828,22,0.502,0.004,0.0159,0,0.0201,0.045454545454545456,-0.0627,-0.0483
ssp2_2085_CNRM-CM6-1,Calendar,690,758,0,0.438,0.0269,0.0318,0,0.0586,0.09855072463768116,-0.183,-0.129
ssp2_2085_NESM3,Calendar,748,800,19,0.474,0.0121,0.0226,0,0.0345,0.06951871657754011,-0.115,-0.0805
ssp2_2085_MRI-ESM2-0,Calendar,706,746,0,0.448,0.0191,0.0335,0,0.0523,0.056657223796033995,-0.164,-0.143
ssp2_2085_FGOALS-g3,Calendar,669,741,0,0.424,0.034,0.0337,0,0.0678,0.10762331838565023,-0.208,-0.148
ssp2_2085_HadGEM3-GC31-LL,Calendar,678,745,0,0.43,0.0354,0.035,0,0.0701,0.09882005899705015,-0.198,-0.144
ssp2_2085_UKESM1-0-LL,Calendar,725,780,0,0.46,0.0196,0.0312,0,0.0504,0.07586206896551724,-0.142,-0.103
