Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,505.3,206.6,1134,126600,22280,63840,170.2,29.94,85.8,0.2,0.81,0.19,0,0,0,0.48,47.4
2,5,1007,276.5,2139,129200,28940,96060,192.3,43.06,141.8,0.14,0.8,0.2,0,0,0,0.79,42.8
3,6,1531,461.3,2971,140800,57120,118300,189.3,76.77,159.1,0.12,0.68,0.32,0,0,0,0.88,34
4,7,2003,433.1,3681,137700,47900,111900,191.2,66.53,155.4,0.11,0.58,0.42,0,0,0,0.86,27.2
5,8,1453,291.6,2517,134800,23890,112000,181.2,32.11,150.6,0.18,0.66,0.34,0,0,0,0.84,32.8
6,9,776.8,200.8,1299,122000,5803,84640,169.5,8.059,117.6,0.24,0.76,0.24,0,0.021,0,0.65,41.7
7,10,489.4,155,725.2,75960,0,50480,102.1,0,67.85,0.36,0.64,0.36,0.02,0.046,0,0.38,37.4
8,11,331.5,119.9,472.5,45990,0,29680,61.81,0,39.89,0.44,0.55,0.45,0.041,0.12,0,0.22,31.5
9,12,232.6,86.3,332.6,31060,0,19680,43.14,0,27.33,0.46,0.52,0.48,0.069,0.13,0,0.15,30.9
10,1,180.4,68.78,248.6,23400,0,14820,31.45,0,19.92,0.44,0.53,0.47,0.09,0.22,0,0.11,29.1
11,2,185.1,92.3,250.4,25460,667.2,18280,35.36,0.9266,25.38,0.36,0.63,0.37,0.032,0.1,0,0.14,37.2
12,3,240.9,133.4,369.1,47310,11660,29790,63.59,15.67,40.04,0.27,0.73,0.27,0,0.0022,0,0.22,45.5
