WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,755.6,192.8,27.69,115.3,1121,196.6,2779,26.4,4.17,15.6,0.233,0.0781,0.489,0,0,0,0,0,0,0.479,0.33,0.093,0.17,0.16,0,0,0,10.8,0.16,0.59,0.41,28.6
1993,365,785.2,192.8,21.46,89.64,647.4,169.6,1992,20.4,3.72,14.8,0.255,0.0919,0.513,0,0,0,0,0,0,0.498,0.24,0.13,0.23,0.4,0,0,0,5.6,0.18,0.73,0.27,38.5
1994,365,302.6,116.8,0,34.54,262.6,92.19,670.2,8.28,2.87,5.27,0.407,0.16,0.781,47,44,0,0.13,0.12,0,0.192,0,0.055,0.16,0.66,0.13,91,0.2493150684931507,3.01,0.35,0.64,0.36,36.5
1995,366,407.1,157.8,0,46.34,325.5,80.98,915.7,10.3,2.87,7.25,0.376,0.117,0.642,50,40,0,0.14,0.11,0,0.258,0.025,0.13,0.2,0.51,0.14,90,0.2465753424657534,3.05,0.28,0.7,0.3,39.5
1996,365,726.1,192.8,0,82.89,557.2,105,1574,17.6,3.43,13.7,0.281,0.0941,0.495,0,36,0,0,0.099,0,0.461,0.25,0.12,0.16,0.47,0,36,0.09863013698630137,3.9,0.19,0.78,0.22,41.3
1997,365,726.7,192.8,19.81,82.96,532.5,162.5,1471,16.8,3.16,13.2,0.253,0.0921,0.449,0,0,0,0,0,0,0.461,0.23,0.11,0.17,0.49,0,0,0,3.6,0.19,0.79,0.21,43.3
1998,365,857.7,192.8,20.04,97.91,898.5,142.5,2807,28.3,4.49,17.4,0.241,0.0755,0.493,0,0,0,0,0,0,0.544,0.35,0.11,0.17,0.38,0,0,0,10.9,0.16,0.61,0.39,30.3
1999,366,740.4,192.8,0,84.29,673.5,190.3,2328,21.3,3.92,14.2,0.273,0.0618,0.542,0,10,0,0,0.027,0,0.47,0.21,0.16,0.18,0.45,0,10,0.0273972602739726,7.1,0.18,0.67,0.33,34.8
2000,365,865.8,192.8,23.58,98.84,1151,179.7,3540,36.3,5.33,18.6,0.238,0.07,0.486,0,0,0,0,0,0,0.549,0.36,0.13,0.18,0.33,0,0,0,17.7,0.15,0.51,0.49,23.9
2001,365,719.2,192.8,19.9,82.1,509.6,161.9,1227,16.1,3.34,12.7,0.263,0.109,0.447,0,0,0,0,0,0,0.456,0.15,0.17,0.27,0.41,0,0,0,3.4,0.21,0.79,0.21,44.7
2002,365,778.2,192.8,18.87,88.84,656.3,137,2291,20.7,3.9,14.7,0.26,0.0646,0.488,0,0,0,0,0,0,0.494,0.27,0.12,0.2,0.41,0,0,0,6,0.19,0.71,0.29,37.6
2003,366,810.1,192.8,23.8,92.22,1056,202.7,4002,33.4,5,17.1,0.256,0.0534,0.474,0,0,0,0,0,0,0.514,0.33,0.1,0.16,0.4,0,0,0,16.3,0.15,0.51,0.49,24.3
2004,365,580.6,188.5,0,66.28,418.8,130.2,1137,13.2,3.05,10.2,0.292,0.11,0.553,0,19,0,0,0.052,0,0.368,0.066,0.21,0.2,0.53,0,19,0.052054794520547946,3,0.23,0.77,0.23,44
2005,365,758.8,192.8,0,86.63,680,105.9,1939,21.4,3.84,14.8,0.275,0.0763,0.526,0,20,0,0,0.055,0,0.481,0.25,0.14,0.17,0.44,0,20,0.0547945205479452,6.6,0.18,0.69,0.31,35.5
2006,365,850.8,192.8,0,97.13,1182,187.3,3371,37.3,5.23,18.6,0.243,0.0611,0.515,0,6,0,0,0.016,0,0.54,0.39,0.093,0.16,0.36,0,6,0.01643835616438356,18.7,0.14,0.5,0.5,22.8
2007,366,825.9,192.8,0,94.02,845.8,200.2,2615,26.7,4.03,16.5,0.245,0.0632,0.474,0,1,0,0,0.0027,0,0.524,0.31,0.11,0.21,0.37,0,1,0.0027397260273972603,10.2,0.15,0.62,0.38,30.9
2008,365,819.1,192.8,21.87,93.51,781.5,171.8,2626,24.6,4.09,16,0.249,0.0574,0.503,0,0,0,0,0,0,0.519,0.28,0.11,0.25,0.35,0,0,0,8.6,0.17,0.65,0.35,33.3
2009,365,865,192.8,0,98.74,1330,191.4,3858,42,5.63,19.4,0.235,0.0619,0.507,0,9,0,0,0.025,0,0.549,0.4,0.11,0.23,0.26,0,9,0.024657534246575342,22.6,0.13,0.46,0.54,20.6
2010,365,912.4,192.8,26.63,104.2,1202,228.1,3346,37.9,5.43,19.7,0.247,0.0648,0.502,0,0,0,0,0,0,0.579,0.42,0.093,0.17,0.31,0,0,0,18.2,0.14,0.52,0.48,24.1
2011,366,784.8,192.8,21.19,89.35,577.4,168.2,1449,18.3,3.43,14.3,0.254,0.0955,0.474,0,0,0,0,0,0,0.498,0.19,0.18,0.23,0.4,0,0,0,4,0.19,0.78,0.22,42.9
2012,365,850.1,192.8,22.88,97.04,839.7,155.9,2740,26.5,4.17,17,0.243,0.0704,0.537,0,0,0,0,0,0,0.539,0.34,0.11,0.16,0.4,0,0,0,9.5,0.16,0.64,0.36,32.1
2013,365,915,192.8,23.38,104.4,955.7,178.9,2556,30.1,4.83,18.7,0.242,0.0771,0.503,0,0,0,0,0,0,0.58,0.39,0.11,0.16,0.34,0,0,0,11.4,0.16,0.62,0.38,30.4
2014,365,840.8,192.8,0,95.98,684.9,185.7,1685,21.6,4.04,16.1,0.265,0.0837,0.52,0,10,0,0,0.027,0,0.533,0.29,0.12,0.17,0.42,0,10,0.0273972602739726,5.5,0.19,0.75,0.25,38.9
2015,366,835.2,192.8,20.77,95.08,782.4,167.1,2295,24.7,4.18,16.4,0.25,0.0819,0.541,0,0,0,0,0,0,0.53,0.3,0.12,0.21,0.37,0,0,0,8.3,0.17,0.66,0.34,33.8
2016,365,830.2,192.8,0,94.77,1088,170.4,3771,34.3,5.2,17.7,0.243,0.0502,0.525,0,10,0,0,0.027,0,0.526,0.34,0.13,0.2,0.34,0,10,0.0273972602739726,16.6,0.15,0.52,0.48,24.2
2017,365,892.7,192.8,26.57,101.9,1127,228.9,3316,35.5,5.37,18.9,0.239,0.0663,0.479,0,0,0,0,0,0,0.566,0.36,0.14,0.23,0.27,0,0,0,16.6,0.15,0.53,0.47,25.1
2018,365,599.8,159.1,0,68.47,433.4,129.4,945.6,13.7,3.2,10.5,0.295,0.104,0.557,0,18,0,0,0.049,0,0.38,0.03,0.25,0.18,0.54,0,18,0.049315068493150684,3.2,0.23,0.77,0.23,43.8
2019,366,803.3,192.8,0,91.45,1092,111.6,3728,34.5,5.06,17.5,0.256,0.0624,0.518,0,13,0,0,0.036,0,0.509,0.36,0.096,0.17,0.38,0,13,0.03561643835616438,17,0.15,0.51,0.49,23.3
2020,365,945.9,192.8,24.05,108,1137,205.4,2823,35.8,5.4,20,0.25,0.0626,0.54,0,0,0,0,0,0,0.6,0.43,0.11,0.16,0.3,0,0,0,15.8,0.15,0.56,0.44,26.4
2021,365,864,192.8,26,98.63,833.3,223.2,2445,26.3,4.57,17.1,0.255,0.0614,0.501,0,0,0,0,0,0,0.548,0.31,0.13,0.21,0.35,0,0,0,9.2,0.17,0.65,0.35,32.9
2022,92,83.41,94.08,0,37.77,274.7,196.4,540.6,2.18,0.71,1.47,0.352,0.187,0.494,0,13,0,0,0.036,0,0.0529,0,0,0.063,0.19,0,13,0.03561643835616438,0.71,0.33,0.67,0.33,38.3
