Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,385.1,172.6,806.4,101300,16290,49060,136.2,21.9,65.94,0.23,0.78,0.22,0,0,0,0.37,46.8
2,5,897.5,243.5,1989,128000,23990,90200,190.5,35.71,133.2,0.14,0.81,0.19,0,0,0,0.74,44.3
3,6,1289,360.9,2515,142600,41240,115700,191.7,55.44,155.5,0.13,0.74,0.26,0,0,0,0.86,37.8
4,7,1475,321.7,2792,138400,31440,111800,192.2,43.67,155.2,0.13,0.68,0.32,0,0,0,0.86,34
5,8,979.5,222.1,1807,135600,11740,100500,182.3,15.77,135.1,0.21,0.74,0.26,0.0011,0,0,0.75,39.3
6,9,573.8,162.5,920.7,106700,4198,65470,148.1,5.831,90.94,0.27,0.73,0.27,0.014,0,0,0.51,42.4
7,10,389.8,129.6,590.7,63200,0,40640,84.95,0,54.62,0.38,0.62,0.38,0.033,0,0,0.3,37.4
8,11,275.1,101.8,394.6,38790,0,25750,52.14,0,34.61,0.45,0.54,0.46,0.052,0,0,0.19,33.4
9,12,197.1,73.31,273,24990,0,17220,34.72,0,23.92,0.47,0.51,0.49,0.1,0,0,0.13,31.6
10,1,156.2,58.74,210.8,20380,0,14710,27.39,0,19.78,0.43,0.54,0.46,0.12,0,0,0.11,32.9
11,2,166.9,83.03,223.7,23040,2538,17590,32,3.525,24.44,0.35,0.64,0.36,0.038,0,0,0.14,39.5
12,3,215.3,120.8,310,41390,9558,26030,55.63,12.85,34.98,0.29,0.71,0.29,0,0,0,0.19,44.3
