Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,394.2,180.2,800.9,98920,16820,50460,133,22.61,67.83,0.22,0.78,0.22,0,0.0032,0,0.38,47.1
2,5,849.6,249.3,1845,126100,24820,88330,187.7,36.94,130.4,0.15,0.82,0.18,0,0,0,0.72,45.1
3,6,1413,433.1,2637,142300,52710,117800,191.2,70.85,158.4,0.12,0.71,0.29,0,0,0,0.88,35.6
4,7,1993,435.3,3777,138400,48240,112200,192.2,67,155.8,0.11,0.59,0.41,0,0,0,0.87,27.3
5,8,1421,300.8,2472,133400,25330,112100,179.3,34.04,150.7,0.18,0.67,0.33,0,0,0,0.84,33.4
6,9,769.3,207.9,1248,122600,7703,84560,170.3,10.7,117.5,0.23,0.76,0.24,0,0.018,0,0.65,42.1
7,10,494.5,162,717.3,76930,0,51720,103.4,0,69.52,0.35,0.65,0.35,0.015,0.023,0,0.39,38
8,11,339.2,127.4,475.2,46380,0,30610,62.34,0,41.14,0.43,0.56,0.44,0.031,0.088,0,0.23,31.8
9,12,239.4,93.42,327.8,30260,0,20760,42.03,0,28.83,0.45,0.54,0.46,0.057,0.044,0,0.16,32
10,1,184.7,74.26,242.8,22730,0,15650,30.55,0,21.03,0.43,0.54,0.46,0.071,0.11,0,0.12,30.1
11,2,185.9,94.17,241.7,24600,666.6,18780,34.17,0.9259,26.08,0.35,0.64,0.36,0.026,0.057,0,0.14,38.1
12,3,230.5,131.1,328.8,42210,11240,28250,56.73,15.11,37.97,0.28,0.72,0.28,0,0.0022,0,0.21,45.1
