Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,418,60.1,44700,22.4,291,21.4,0.918,0.357,0.16,0.61,0.286,36,0
0.65,413,59,43800,22.3,279,21.3,0.918,0.35,0.16,0.606,0.28,35.7,0
0.66,406,57.5,42500,22.2,272,21.1,0.918,0.344,0.15,0.6,0.27,35.6,0
0.67,398,56.2,41500,22.1,266,21,0.917,0.34,0.15,0.6,0.27,35.3,0
0.68,383,54.6,40200,22,260,20.8,0.917,0.336,0.15,0.59,0.26,35.1,0
0.69,376,52.8,39000,21.8,252,20.5,0.916,0.333,0.14,0.59,0.26,35,0
0.7,364,51.6,38000,21.7,242,20.3,0.916,0.329,0.14,0.59,0.25,34.7,0
0.71,355,50.6,37300,21.5,237,20.1,0.916,0.327,0.14,0.58,0.25,34.5,0
0.72,348,49.4,36200,21.4,232,19.9,0.915,0.325,0.14,0.58,0.24,34.2,0
0.73,342,47.7,35000,21.2,225,19.7,0.914,0.322,0.137,0.58,0.24,33.7,0
0.74,336,46,33500,21.1,217,19.5,0.914,0.321,0.13,0.577,0.23,33.4,0
0.75,330,44.2,32600,20.8,206,19.2,0.913,0.318,0.13,0.57,0.23,32.5,0
0.76,325,43.3,31800,20.6,200,18.9,0.912,0.316,0.13,0.57,0.22,31.5,0
0.77,315,42.5,30800,20.4,194,18.7,0.912,0.314,0.13,0.56,0.22,30.4,0
0.78,307,41.8,30500,20.1,191,18.4,0.911,0.31,0.12,0.56,0.21,29.9,0
0.79,300,41.1,30000,20,186,18.1,0.91,0.307,0.12,0.56,0.21,28.2,0
0.8,294,40.3,29500,19.7,183,17.9,0.91,0.304,0.12,0.55,0.2,26.4,0
0.81,289,39.4,28900,19.4,180,17.6,0.909,0.298,0.12,0.54,0.2,25.2,0
0.82,283,38.4,28200,19.1,174,17.2,0.908,0.295,0.11,0.54,0.19,23.8,0
0.83,279,37.7,27400,18.7,170,16.9,0.908,0.291,0.11,0.52,0.19,21.9,0
0.84,274,36.9,26900,18.4,167,16.5,0.907,0.286,0.1,0.49,0.19,20.2,0
