year,energy
1924,865205.6677849048
1925,796978.5151762122
1926,886399.3961323614
1927,857306.5980905265
1928,769728.1109204608
1929,903220.2320376005
1930,844564.5516935018
1931,929505.7801926939
1932,782403.3378128145
1933,805071.6751409156
1934,890117.5531678553
1935,837330.7356612879
1936,869406.3704670394
1937,870738.2498524885
1938,852500.8069914876
1939,921898.87014585
1940,896900.8296687291
1941,784718.7842866716
1942,838472.8189943341
1943,876403.4274573664
1944,828057.7705001698
1945,896425.0081454054
1946,865051.9977769597
1947,774703.8583221666
1948,660351.1960186347
1949,783446.7089490013
1950,876001.4640070933
1951,833105.103554118
1952,841831.4348776304
1953,934208.4772087161
1954,948330.8580079767
1955,876309.6372127804
1956,812895.8440897259
1957,760203.595847919
1958,968867.4334454793
1959,847610.1075494876
1960,826678.9827243873
1961,897681.1568175312
1962,842649.4710783848
1963,1054643.7764471467
1964,923488.3222530583
1965,880493.1168793594
1966,919529.9460761042
1967,890470.1368428657
1968,813960.980223671
1969,1019597.9582630595
1970,994623.0564010578
1971,968910.4547940786
1972,825214.1274110221
1973,954485.1662044876
1974,874916.378265257
1975,868932.2810075126
1976,999026.1660528454
1977,908534.5970151704
1978,1051574.5819518939
1979,1041072.1909695071
1980,959279.3258404646
1981,816813.6467430877
1982,868364.4979556646
1983,829966.548821939
1984,872966.3816145575
1985,792357.1141780607
1986,941581.1781841672
1987,859249.0350922793
1988,877076.07350218
1989,773019.8502324806
1990,816881.4377916016
1991,708559.8256866107
1992,795692.761012182
1993,718053.7631025092
1994,567904.1361332797
1995,514531.47534837644
1996,767952.9218633298
1997,815733.0931485645
1998,831358.1900412738
1999,792574.8794529185
2000,852429.1603347196
2001,884626.1803724329
2002,865746.5741420349
2003,839764.0133791964
2004,872390.8465415043
2005,879014.1237102223
2006,870073.4892628302
2007,926150.9905715971
2008,837574.8354682892
2009,896822.8697636734
2010,907729.133799029
2011,946112.6398967854
2012,874701.8891487626
2013,960578.2834876446
2014,914957.0365251671
2015,817526.0249153051
2016,879116.8036813809
2017,873639.917331141
2018,739101.0875085667
2019,837127.7486003074
2020,942345.1107098685
2021,916310.4035859945
2022,939645.9251019128
2023,717803.3400264346
