Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
10,1,238.7,134.5,445.8,52360,13180,23590,70.38,17.72,31.71,0.4,0.6,0.4,0,0.025,0,0.18,36.6
11,2,275.7,153.2,546.2,66310,16510,29630,92.09,22.93,41.15,0.33,0.67,0.33,0,0.0077,0,0.23,41.3
12,3,438.4,229.8,832.7,105000,28640,53870,141.1,38.49,72.4,0.24,0.77,0.23,0,0,0,0.4,45.9
1,4,737.5,331.5,1712,133200,42040,87860,179,56.51,118.1,0.17,0.81,0.19,0,0,0,0.66,46.1
2,5,1369,462.8,8627,131500,5029,101900,188.9,7.484,150.3,0.13,0.75,0.25,0,0,0.0093,0.83,39.1
3,6,2527,617.6,7963,140100,0,106600,188.3,0,143.3,0.095,0.53,0.47,0,0,0.065,0.8,24.1
4,7,2954,670.2,7415,138800,0,100500,192.8,0,139.5,0.087,0.45,0.55,0,0,0.052,0.78,18.6
5,8,2244,716.3,5262,142500,35890,117100,191.5,48.24,157.4,0.13,0.54,0.46,0,0,0.0077,0.87,23.7
6,9,1226,328.4,2829,131100,33280,109000,182.1,46.22,151.4,0.2,0.72,0.28,0,0,0,0.84,36.9
7,10,613.1,242.7,1321,127100,22320,64540,170.8,30,86.74,0.32,0.68,0.32,0,0,0,0.48,39.4
8,11,393.2,198.9,711.9,78090,9321,38500,105,12.53,51.75,0.4,0.61,0.39,0,0.0097,0,0.29,36.4
9,12,289.1,151.8,505,55550,12250,27420,77.15,17.02,38.08,0.41,0.59,0.41,0,0.0067,0,0.21,36.4
