waterYear,flowMean,flowMin,flowMax,flowMedian,volume,peakWeek,peaks,peakWeeks,flowMeanVariance,flowMinVariance,flowMeanExceedance,flowMaxExceedance,flowMinExceedance
1976,1133,335,2831,703,13040817,32,2,"28,32",0.032816773017319965,NaN,0.4102661596958174,0.6604282800815772,0.02
1977,1882,274,6348,1051,21663754,29,1,29,0.715587967183227,NaN,0.0367826086956521,0.046967976379741025,0.1301282051282052
1978,1480,338,5326,859,17032555,29,1,29,0.34913400182315407,NaN,0.18478260869565236,0.18492957746478886,0
1979,1304,312,3068,845,15045726,28,3,"19,21,28",0.18869644484958978,NaN,0.28534246575342453,0.6096336499321574,0.041688654353561956
1980,1151,284,3452,667,13251957,31,2,"27,31",0.049225159525979945,NaN,0.3928870292887029,0.48,0.08
1981,589,243,1437,456,6774748,29,1,29,-0.463081130355515,NaN,0.8929824561403509,0.901472471190781,0.25
1982,606,222,1117,523,6970397,26,2,"26,30",-0.44758432087511396,NaN,0.8806499999999999,0.9565719788155994,0.38043478260869557
1983,653,212,1808,449,7534599,27,1,27,-0.4047402005469462,NaN,0.8495049504950495,0.8341471571906355,0.45
1984,728,199,1953,486,8377223,31,2,"19,31",-0.33637192342752964,NaN,0.7958333333333333,0.8044811320754717,0.57
1985,749,201,3050,440,8620715,30,1,30,-0.31722880583409296,NaN,0.7826993865030675,0.6184255319148936,0.53
1986,793,240,2077,602,9131147,27,1,27,-0.27711941659070194,NaN,0.7361764705882354,0.784493927125506,0.28
1987,774,225,2467,457,8928826,30,2,"22,30",-0.2944393801276208,NaN,0.7616,0.7183333333333334,0.33
1988,1328,209,3812,637,15281889,31,2,"25,31",0.2105742935278031,NaN,0.2607228915662651,0.36,0.49
1989,535,212,1028,440,6156168,34,3,"20,26,34",-0.512306289881495,NaN,0.9528662420382166,0.9667214571301643,0.45
1990,771,199,2294,422,8874466,25,1,25,-0.29717411121239745,NaN,0.7702790697674419,0.739802513464991,0.57
1991,479,175,905,451,5530083,25,2,"12,25",-0.5633546034639927,NaN,0.9687822878228782,0.98,0.8369565217391305
1992,873,164,3573,408,10051929,30,1,30,-0.2041932543299909,NaN,0.6720454545454545,0.44082278481012654,0.8805982905982906
1993,575,156,1839,325,6618327,26,1,26,-0.47584320875113945,NaN,0.9218947368421052,0.8267820069204153,0.9407514450867052
1994,410,133,1232,270,4721583,28,1,28,-0.626253418413856,NaN,0.9890800367985281,0.9380041580041579,0.9652422907488987
1995,360,115,819,275,4154118,31,2,"16,31",-0.6718322698268003,NaN,1,1,0.9787692307692307
1996,547,103,1400,365,6298221,32,2,"20,32",-0.5013673655423884,NaN,0.9464809384164222,0.9120441988950276,0.9897674418604651
1997,1091,157,3525,513,12557019,27,1,27,-0.0054694621695533276,NaN,0.46790697674418613,0.4642444152431013,0.92
1998,1055,174,3421,515,12145401,30,1,30,-0.03828623518687329,NaN,0.5205383580080754,0.5122794117647059,0.8454545454545455
1999,858,194,3411,442,9902657,28,1,28,-0.2178669097538742,NaN,0.6857894736842105,0.5204566210045662,0.65
2000,1217,140,3677,593,14003727,31,2,"25,31",0.10938924339106655,NaN,0.34339622641509465,0.40360824742268037,0.9581081081081081
2001,795,195,2029,542,9148712,32,1,32,-0.27529626253418416,NaN,0.7297080291970803,0.7925196850393701,0.59
2002,1073,194,3846,596,12348614,30,1,30,-0.02187784867821331,NaN,0.5,0.34808988764044946,0.65
2003,1317,189,4339,620,15206545,26,2,"26,30",0.20054694621695535,NaN,0.27151202749140896,0.3103966556484542,0.73
2004,632,194,1337,458,7269578,32,2,"26,32",-0.4238833181403829,NaN,0.8693838862559242,0.9227835051546391,0.65
2005,960,157,2684,566,11051719,29,1,29,-0.12488605287146765,NaN,0.6094674556213018,0.682772319521572,0.92
2006,1457,210,4543,690,16772302,22,1,22,0.3281677301731996,NaN,0.20277475516866164,0.2616318785578748,0.47904761904761906
2007,1300,237,3367,809,15007123,22,2,"22,29",0.18505013673655424,NaN,0.2913223140495867,0.5358536585365854,0.296153846153846
2008,1504,182,5796,731,17313089,25,1,25,0.37101185050136737,NaN,0.16304347826086957,0.09724832214765099,0.7855263157894736
2009,1685,213,5149,854,19401156,30,2,"25,30",0.536007292616226,NaN,0.08941176470588241,0.2128135888501743,0.43647058823529417
2010,1682,225,4356,934,19359161,29,1,29,0.5332725615314494,NaN,0.09111570247933887,0.3067547723935388,0.33
2011,1210,244,3544,689,13966794,30,1,30,0.10300820419325434,NaN,0.36,0.4574105621805793,0.23954545454545462
2012,1337,223,3615,690,15384706,23,2,"23,29",0.2187784867821331,NaN,0.25,0.41643916913946594,0.3697777777777778
2013,1341,195,3575,809,15430909,28,2,"28,32",0.22242479489516864,NaN,0.23724137931034503,0.4391973244147157,0.59
2014,697,209,1460,542,8024074,34,2,"29,34",-0.3646308113035551,NaN,0.8161061946902655,0.89456906729634,0.49
2015,1013,176,2976,482,11696963,30,1,30,-0.07657247037374658,NaN,0.5414285714285714,0.6303162393162394,0.8275675675675677
2016,1082,157,3890,566,12453993,27,1,27,-0.013673655423883319,NaN,0.4787692307692307,0.32994305599493834,0.92
