Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0.64,321,47.6,35100,22.9,217,22.1,0.917,0.316,0.17,0.61,0.29,35.3,0
0.65,316,46.9,34700,22.9,211,22,0.916,0.314,0.16,0.6,0.286,34.9,0
0.66,304,46.3,34000,22.7,208,21.9,0.916,0.311,0.16,0.6,0.28,34.8,0
0.67,297,45.5,32900,22.6,204,21.7,0.915,0.31,0.16,0.6,0.28,34.6,0
0.68,296,43.7,32100,22.5,198,21.5,0.915,0.309,0.159,0.59,0.279,34.6,0
0.69,292,41.5,30900,22.4,187,21.3,0.914,0.305,0.15,0.59,0.26,34.4,0
0.7,285,41.2,30700,22.3,184,21.2,0.914,0.301,0.15,0.58,0.257,34.2,0
0.71,279,40.7,29700,22.1,181,20.9,0.913,0.296,0.141,0.58,0.25,34.1,0
0.72,276,39.5,29300,22,175,20.8,0.912,0.293,0.14,0.58,0.25,33.7,0
0.73,273,38,28100,21.9,169,20.7,0.911,0.29,0.14,0.58,0.24,33.4,0
0.74,268,37.1,27300,21.6,166,20.2,0.91,0.288,0.13,0.57,0.24,33.1,0
0.75,261,36.4,26300,21.4,162,19.9,0.91,0.279,0.13,0.57,0.237,32.5,0
0.76,253,35.6,25700,21.1,159,19.7,0.909,0.277,0.13,0.57,0.23,31.1,0
0.77,247,34.9,25400,21.1,156,19.6,0.908,0.267,0.13,0.57,0.23,30.7,0
0.78,245,33.4,24300,21,149,19.4,0.908,0.256,0.12,0.56,0.22,30.1,0
0.79,242,33.2,24000,20.8,148,19.1,0.906,0.255,0.12,0.56,0.22,29.4,0
0.8,241,33,23800,20.5,147,18.9,0.906,0.253,0.12,0.56,0.218,28.7,0
0.81,234,32.1,23400,20.1,144,18.4,0.905,0.246,0.12,0.552,0.21,28.1,0
0.82,230,31.8,23200,20.1,142,18.2,0.904,0.243,0.12,0.55,0.21,27.1,0
0.83,226,31.4,23000,19.9,140,18.1,0.903,0.24,0.12,0.55,0.2,26,0
0.84,224,31,22500,19.7,138,17.9,0.902,0.234,0.11,0.54,0.2,25.2,0
0.85,220,30,22200,19.5,136,17.7,0.901,0.23,0.11,0.53,0.19,23.1,0
0.86,218,29.4,21700,19.3,133,17.4,0.899,0.225,0.1,0.52,0.19,22.1,0
0.87,213,29,21000,18.9,131,17,0.898,0.223,0.0993,0.51,0.18,20.6,0
0.88,210,28.7,20800,18.6,129,16.7,0.896,0.221,0.0942,0.49,0.17,19.5,0
0.89,208,27.4,20400,18.2,129,16.4,0.893,0.218,0.091,0.46,0.17,18.4,0
0.9,205,27.1,19700,18,128,16.1,0.891,0.215,0.0899,0.43,0.16,16.7,0
0.91,199,25.8,18800,17.5,123,15.6,0.888,0.208,0.0883,0.41,0.16,15.7,0
0.92,195,23.8,17700,17.2,121,15.4,0.888,0.203,0.086,0.4,0.15,14.9,0
0.93,192,22.8,16900,16.8,119,15,0.884,0.201,0.0831,0.38,0.15,14.1,0
0.94,180,22.1,16000,16.8,115,14.8,0.866,0.193,0.081,0.37,0.14,13.7,0
0.95,170,21.1,15500,16.6,110,14.7,0.814,0.182,0.0789,0.35,0.14,12.3,0
0.96,162,20.1,14700,16,101,14.2,0.7,0.164,0.0764,0.334,0.14,11,0
0.97,154,19.1,13700,15.6,92.2,13.7,0.668,0.151,0.0738,0.308,0.13,9.84,0
0.98,147,16.1,12000,15,86.2,13.1,0.62,0.14,0.071,0.29,0.13,7.93,0
0.99,124,11,8090,13.9,70.4,12,0.45,0.113,0.069,0.25,0.12,6.88,0
1,98.2,0,0,13.4,8.36,11.6,0,0.0729,0.062,0.085,0.11,0,0
