date,waterYear,waterMonth,waterWeek,flowMean,eFlowMean,eFlowProportionMean,canalFlowMean,headPondLevelMean,tailwaterLevelMean,grossHeadMean,totalHeadlossMean,netHeadMean,unitEfficiencyMean,generatorEfficiencyMean,totalEfficiencyMean,unitPowerMean,generatorPowerMean,plantPowerMean,energy
1924-10-01,1924,1,1,111.4,52,0.467,59.41,990,964.5,25.5,0.0958,25.4,0.797,0.96,0.765,11.8,11.33,11.33,1359.53
1924-10-06,1924,1,1,111.4,52,0.467,59.41,990,964.5,25.5,0.0958,25.4,0.797,0.96,0.765,11.8,11.33,11.33,1903.34
1924-10-13,1924,1,2,111.4,52,0.467,59.41,990,964.5,25.5,0.0958,25.4,0.797,0.96,0.765,11.8,11.33,11.33,1903.34
1924-10-20,1924,1,3,123,52,0.423,71.04,990,964.5,25.5,0.108,25.39,0.832,0.96,0.799,14.75,14.16,14.16,2378.16
1924-10-27,1924,1,4,126.9,51.43,0.405,75.52,990,964.5,25.5,0.113,25.39,0.845,0.96,0.811,15.88,15.25,15.25,2561.45
1924-11-03,1924,2,5,137.7,50,0.363,87.75,990,964.5,25.5,0.131,25.37,0.87,0.961,0.837,19,18.26,18.26,3068.34
1924-11-10,1924,2,6,144.1,50,0.347,94.1,990,964.5,25.5,0.142,25.36,0.878,0.964,0.846,20.54,19.81,19.81,3327.43
1924-11-17,1924,2,7,156.9,50,0.32,106.9,990,964.5,25.5,0.166,25.35,0.891,0.969,0.863,23.69,22.95,22.95,3854.84
1924-11-24,1924,2,8,184.2,50,0.272,134.2,990,964.4,25.6,0.224,25.34,0.911,0.97,0.883,30.38,29.47,29.47,4950.77
1924-12-01,1924,3,9,215,59,0.277,156,990,964.5,25.5,0.284,25.21,0.919,0.973,0.895,35.47,34.54,34.54,5802.52
1924-12-08,1924,3,10,259.4,59,0.228,200.4,990,964.7,25.3,0.413,24.85,0.935,0.98,0.916,45.65,44.74,44.74,7516.51
