Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,323,163.9,626.9,82250,13150,40270,110.5,17.67,54.12,0.26,0.75,0.25,0,0.0065,0,0.3,45.4
2,5,656.4,230.7,1438,122900,20190,71780,182.9,30.04,106,0.17,0.81,0.19,0,0.0036,0,0.59,46.1
3,6,1306,460.2,2619,141400,56970,114400,190.1,76.57,153.8,0.13,0.73,0.27,0,0,0,0.85,37.6
4,7,1398,416.5,2592,136900,45420,110900,190.1,63.08,154,0.13,0.7,0.3,0,0,0,0.86,35.8
5,8,952.8,268.8,1836,136100,20020,97510,183,26.91,131.1,0.22,0.74,0.26,0,0,0,0.73,39.7
6,9,569.4,196.6,946,109500,3557,64670,152.1,4.94,89.81,0.27,0.73,0.27,0,0.026,0,0.5,42.2
7,10,388.1,157,616.9,65420,0,39380,87.93,0,52.94,0.37,0.62,0.38,0.019,0.084,0,0.29,35.5
8,11,274.2,124.4,414.8,39670,0,23580,53.32,0,31.69,0.44,0.54,0.46,0.073,0.16,0,0.18,28.8
9,12,196.6,91.32,294.5,28410,0,16080,39.46,0,22.34,0.46,0.5,0.5,0.13,0.084,0,0.12,28.8
10,1,157,74.72,226.1,21430,0,13520,28.81,0,18.18,0.43,0.52,0.48,0.14,0.077,0,0.1,29.8
11,2,163.8,93.54,230.7,22180,325.3,16100,30.8,0.4519,22.36,0.36,0.62,0.38,0.054,0.06,0,0.12,36.4
12,3,201.9,127.2,274.6,35780,10400,23810,48.09,13.97,32,0.31,0.7,0.3,0,0.0086,0,0.18,43.2
