year,energy
1924,831046.8090326294
1925,765238.6144043831
1926,860891.2946034304
1927,827935.7665955271
1928,746983.6178378761
1929,868653.2290061293
1930,809305.6066139272
1931,893347.4994220719
1932,762787.4970740749
1933,777280.2166247943
1934,859313.4428998488
1935,813262.2325850746
1936,831365.947358793
1937,839483.5790851563
1938,824159.079359535
1939,888030.6299538626
1940,866122.205998009
1941,759257.9580544541
1942,808952.5066788889
1943,846153.8632869797
1944,794462.7233445117
1945,870979.7338963097
1946,829107.5413138424
1947,750846.9732101848
1948,634576.3937280278
1949,753917.0375188101
1950,842034.2354449988
1951,803242.570455181
1952,808429.6421330615
1953,896169.5306183975
1954,913174.7911569654
1955,842198.0905061272
1956,774997.2584947216
1957,728712.4117955135
1958,931700.7482654767
1959,816157.2954646639
1960,794791.2171210652
1961,863978.2318988165
1962,809431.4574536456
1963,1016962.3179373388
1964,887215.3908972027
1965,850109.3499733616
1966,887158.5084071455
1967,858871.3727499198
1968,780692.1089307257
1969,977086.2845898736
1970,954066.0146001093
1971,934050.4029720409
1972,797923.1228463562
1973,919077.9487624367
1974,845557.0678193794
1975,834452.2234224854
1976,958929.8052604974
1977,877477.0921785155
1978,1008823.0977084301
1979,999308.0872624393
1980,920372.3426215517
1981,789510.6907553009
1982,836099.8281921854
1983,800322.1562371913
1984,842862.613540099
1985,767439.0434500388
1986,902649.3932855473
1987,832841.2880191607
1988,841499.8233911925
1989,744427.3099243477
1990,791371.8359775251
1991,674459.3607089949
1992,770267.519861987
1993,694435.5525129919
1994,557949.5771316745
1995,491449.8413958915
1996,737107.2473247936
1997,784999.9243814663
1998,799072.161586239
1999,767105.4733493945
2000,819993.15303262
2001,852114.4052014761
2002,837234.5465397489
2003,810772.6146662956
2004,850495.4620339631
2005,851333.4428056288
2006,834894.0460416684
2007,893036.9836408718
2008,807391.0724065986
2009,864157.832162018
2010,867758.8486264121
2011,905120.6637913059
2012,841477.5818678833
2013,927059.3787392039
2014,885519.5998437458
2015,787312.6215184499
2016,850994.7641027515
