Exceedance,Power
0,194
0.01,191
0.02,189
0.03,187
0.04,185
0.05,183
0.06,181
0.07,179
0.08,178
0.09,176
0.1,174
0.11,172
0.12,170
0.13,168
0.14,166
0.15,165
0.16,162
0.17,161
0.18,159
0.19,158
0.2,156
0.21,154
0.22,152
0.23,150
0.24,147
0.25,145
0.26,144
0.27,142
0.28,140
0.29,138
0.3,137
0.31,135
0.32,132
0.33,130
0.34,128
0.35,126
0.36,124
0.37,121
0.38,118
0.39,115
0.4,113
0.41,110
0.42,107
0.43,104
0.44,101
0.45,98.3
0.46,95.8
0.47,94.3
0.48,92.5
0.49,90.1
0.5,86.9
0.51,83.7
0.52,80.5
0.53,77.9
0.54,75.1
0.55,72.8
0.56,70.6
0.57,68.3
0.58,66.4
0.59,64.6
0.6,62.8
0.61,60.9
0.62,59.4
0.63,57.5
0.64,56.1
0.65,54.2
0.66,52.9
0.67,51.1
0.68,49.6
0.69,48.6
0.7,47.7
0.71,47.3
0.72,46.5
0.73,46
0.74,45
0.75,43.7
0.76,42.6
0.77,41.4
0.78,40.3
0.79,39.2
0.8,38.2
0.81,37.1
0.82,36.3
0.83,35.4
0.84,34.4
0.85,33.7
0.86,33
0.87,32
0.88,31.2
0.89,30.3
0.9,29.6
0.91,28.7
0.92,28.1
0.93,27.4
0.94,26.6
0.95,25.8
0.96,24.4
0.97,23
0.98,20.9
0.99,0
1,0
