date,waterYear,waterMonth,waterWeek,flowMean,eFlowMean,eFlowProportionMean,canalFlowMean,headPondLevelMean,tailwaterLevelMean,grossHeadMean,totalHeadlossMean,netHeadMean,unitEfficiencyMean,generatorEfficiencyMean,totalEfficiencyMean,unitPowerMean,generatorPowerMean,plantPowerMean,energy
1924-10-01,1924,1,1,136.5,52,0.381,84.46,990,964.5,25.5,0.135,25.36,0.928,0.962,0.893,19.49,18.75,18.75,2250.21
1924-10-06,1924,1,1,136.5,52,0.381,84.46,990,964.5,25.5,0.135,25.36,0.928,0.962,0.893,19.49,18.75,18.75,3150.29
1924-10-13,1924,1,2,136.5,52,0.381,84.46,990,964.5,25.5,0.135,25.36,0.928,0.962,0.893,19.49,18.75,18.75,3150.29
1924-10-20,1924,1,3,133.9,52,0.389,81.85,990,964.5,25.5,0.131,25.37,0.931,0.961,0.895,18.96,18.23,18.23,3062.39
1924-10-27,1924,1,4,128.7,51.43,0.4,77.31,990,964.5,25.5,0.122,25.38,0.937,0.96,0.9,18.03,17.31,17.31,2908.69
1924-11-03,1924,2,5,136.1,50,0.368,86.1,990,964.5,25.5,0.138,25.36,0.926,0.963,0.891,19.83,19.09,19.09,3206.8
1924-11-10,1924,2,6,143.2,50,0.349,93.16,990,964.5,25.5,0.151,25.35,0.918,0.966,0.886,21.26,20.53,20.53,3448.57
1924-11-17,1924,2,7,156.5,50,0.32,106.5,990,964.5,25.5,0.174,25.34,0.917,0.969,0.889,24.27,23.53,23.53,3952.54
1924-11-24,1924,2,8,183.3,50,0.273,133.3,990,964.4,25.6,0.222,25.34,0.932,0.97,0.904,30.87,29.94,29.94,5030.73
1924-12-01,1924,3,9,216.2,59,0.275,157.2,990,964.5,25.5,0.266,25.23,0.94,0.973,0.915,36.57,35.61,35.61,5983.27
1924-12-08,1924,3,10,257.8,59,0.229,198.8,990,964.7,25.3,0.341,24.93,0.954,0.98,0.935,46.36,45.43,45.43,7631.99
1924-12-15,1924,3,11,276,59,0.214,217,990,964.8,25.2,0.373,24.82,0.958,0.98,0.939,50.59,48.99,48.99,8230.76
1924-12-22,1924,3,12,304,59,0.195,245,990,964.9,25.1,0.326,24.75,0.943,0.974,0.919,39.15,37.79,54.14,9096.23
1924-12-29,1924,3,13,463,67,0.148,396,990,965.7,24.3,0.454,23.87,0.948,0.973,0.922,38.53,37.52,85.19,14312.2
1925-01-05,1924,4,14,549,79.71,0.145,469.3,990,966.1,23.9,0.581,23.35,0.956,0.979,0.935,48.75,47.52,100.1,16811.1
1925-01-12,1924,4,15,628.1,120,0.191,508.1,990,966.4,23.6,0.572,23.02,0.949,0.972,0.922,38.71,37.59,105.6,17744.7
1925-01-19,1924,4,16,740,120,0.165,620,990,966.9,23.1,0.734,22.41,0.953,0.976,0.93,41.03,40.06,126.1,21190.8
1925-01-26,1924,4,17,1127,126,0.112,1001,990,968.3,21.7,1.38,20.32,0.955,0.98,0.936,47.59,46.64,186.5,31339
1925-02-02,1924,5,18,1183,162,0.137,1021,990,968.5,21.5,1.43,20.09,0.955,0.98,0.936,48.01,47.05,188.2,31615.2
1925-02-09,1924,5,19,1182,162,0.137,1020,990,968.5,21.5,1.43,20.1,0.955,0.98,0.936,48.02,47.06,188.2,31625.6
1925-02-16,1924,5,20,1193,162,0.136,1031,990,968.5,21.5,1.47,20.02,0.955,0.98,0.936,48.34,47.37,189.5,31831.8
1925-02-23,1924,5,21,1349,165,0.123,1095,990,969,21,1.76,19.24,0.953,0.98,0.934,49.24,48.26,193,32428
1925-03-02,1924,6,22,1377,183,0.133,1100,990,969.1,20.9,1.78,19.13,0.953,0.98,0.934,49.15,48.17,192.7,32370.7
