waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,grossHeadMin,grossHeadMax,netHeadMin,netHeadMax,headlossMax,headlossMin,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1943,366,877.2,196.5,0,99.86,934.2,176.4,2529,17.6,25.6,15.7,25.4,1.87,0.172,29.5,4.61,17.9,0.245,0.0799,0.452,0,2,0,0,0.0055,0,0.556,0.37,0.1,0.16,0.37,0,2,0.005479452054794521,11.6,0.16,0.61,0.39,29.7,0.43999999999999917,0.011764705882352993,-0.15472779369627504,-0.15837837837837834
1944,365,828.5,196.4,25.08,94.58,1005,195.3,3909,14.5,25.6,12.6,25.4,1.87,0.194,31.7,4.82,17.1,0.253,0.0597,0.547,0,0,0,0,0,0,0.525,0.32,0.12,0.22,0.35,0,0,0,14.6,0.15,0.54,0.46,26.1,0.75,-0.04440599769319493,-0.09169054441260743,-0.0945945945945946
1945,365,899.7,197.5,0,102.7,687.4,197.9,1571,20.3,25.6,18.4,25.4,1.86,0.176,21.7,4.04,16.9,0.262,0.0957,0.482,0,4,0,0,0.011,0,0.571,0.38,0.077,0.18,0.37,0,4,0.010958904109589041,4.8,0.19,0.78,0.22,41.5,0.3241721854304634,0.0377162629757786,-0.37822349570200575,-0.3807207207207207
1946,365,866.6,194.9,27.68,98.93,1252,196.6,4776,12.9,25.6,11,25.4,1.87,0.208,39.5,5.45,18.8,0.236,0.0463,0.478,0,0,0,0,0,0,0.55,0.37,0.13,0.23,0.27,0,0,0,20.7,0.14,0.48,0.52,21.9,0.5794117647058825,-0.00046136101499420675,0.13180515759312325,0.12792792792792793
1947,366,840.6,196.8,32.26,95.7,1722,259.4,6157,10.9,25.3,9.02,25,1.87,0.243,54.5,6.27,20.3,0.232,0.0388,0.487,0,0,0,0,0,0,0.533,0.42,0.12,0.22,0.24,0,0,0,34.2,0.12,0.37,0.63,15.4,0.6976851851851852,-0.03044982698961935,0.5616045845272207,0.5513513513513514
1948,365,663.9,155.4,0,75.79,468.3,196.6,919.2,22.4,25.6,21.5,25.4,1.02,0.178,14.8,3.37,11.4,0.264,0.131,0.463,0,5,0,0,0.014,0,0.421,0.014,0.24,0.41,0.33,0,5,0.0136986301369863,3.4,0.23,0.77,0.23,44.9,0.9637029799706888,-0.23425605536332184,-0.5759312320916905,-0.5781081081081082
1949,365,783.5,195.1,21.38,89.44,1388,170.2,5234,12.2,25.6,10.3,25.4,1.87,0.161,43.8,5.33,18.1,0.24,0.031,0.544,0,0,0,0,0,0,0.497,0.37,0.11,0.18,0.35,0,0,0,25.7,0.12,0.41,0.59,17.9,0.8875,-0.09630911188004614,0.25501432664756446,0.25045045045045045
1950,365,876,197.1,0,100,1237,196.6,4481,13.4,25.6,11.6,25.4,1.87,0.168,39,5.5,19,0.245,0.0529,0.505,0,3,0,0,0.0082,0,0.556,0.38,0.15,0.2,0.27,0,3,0.00821917808219178,20,0.14,0.49,0.51,22.5,0.4557142857142854,0.010380622837370242,0.11747851002865334,0.11441441441441441
1951,366,866.8,195.8,30.91,98.68,1606,254.6,6157,10.9,25.3,9.02,25,1.87,0.24,50.8,5.65,20.5,0.229,0.0392,0.478,0,0,0,0,0,0,0.55,0.46,0.044,0.22,0.27,0,0,0,30.3,0.11,0.4,0.6,17.1,0.5764705882352953,-0.00023068050749716894,0.45558739255014324,0.44684684684684683
1952,365,863,197.7,26.65,98.51,1504,216.8,5874,11.2,25.5,9.38,25.3,1.87,0.204,47.4,5.96,19.7,0.235,0.0444,0.481,0,0,0,0,0,0,0.547,0.39,0.12,0.28,0.21,0,0,0,27.7,0.13,0.42,0.58,18.2,0.6076923076923078,-0.00461361014994233,0.35816618911174786,0.35495495495495494
