Exceedance,Power,Energy
0,193,4630
0.01,193,4630
0.02,193,4620
0.03,191,4590
0.04,190,4560
0.05,188,4520
0.06,186,4470
0.07,184,4410
0.08,181,4350
0.09,179,4290
0.1,176,4230
0.11,174,4170
0.12,171,4110
0.13,168,4030
0.14,166,3980
0.15,163,3920
0.16,162,3880
0.17,159,3820
0.18,157,3760
0.19,153,3670
0.2,145,3470
0.21,145,3470
0.22,143,3420
0.23,138,3320
0.24,134,3220
0.25,130,3110
0.26,125,3000
0.27,120,2880
0.28,115,2760
0.29,111,2650
0.3,106,2550
0.31,103,2470
0.32,96.4,2310
0.33,96.4,2310
0.34,94.8,2280
0.35,91.6,2200
0.36,88.5,2120
0.37,85.1,2040
0.38,81.3,1950
0.39,77.3,1860
0.4,73.7,1770
0.41,70.4,1690
0.42,67.7,1620
0.43,65,1560
0.44,62.3,1500
0.45,60,1440
0.46,58,1390
0.47,56,1340
0.48,54,1300
0.49,52.2,1250
0.5,50.3,1210
0.51,48.2,1160
0.52,48.2,1160
0.53,47.5,1140
0.54,46,1100
0.55,44.6,1070
0.56,43.3,1040
0.57,42,1010
0.58,40.8,980
0.59,39.6,950
0.6,38.5,924
0.61,37.5,900
0.62,36.5,876
0.63,35.8,859
0.64,35.1,842
0.65,34.3,823
0.66,33.5,804
0.67,32.7,785
0.68,32,769
0.69,31.4,753
0.7,30.7,737
0.71,30.1,723
0.72,29.6,709
0.73,29.1,698
0.74,28.6,687
0.75,28.1,675
0.76,27.6,662
0.77,27.1,649
0.78,26.5,637
0.79,26,624
0.8,25.5,612
0.81,25,600
0.82,24.5,589
0.83,24,575
0.84,23.4,562
0.85,22.8,546
0.86,22,528
0.87,21.2,509
0.88,20.3,487
0.89,19.4,465
0.9,18.4,441
0.91,17.6,423
0.92,15.9,383
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
